company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofplantpropertyandequipment
Charter Communications Inc,CHTR,0J0XRGZE3PBRFEZ7MV65,1091667,2010.0,Q4,2009-10-01,2010-12-31,,,20000000.0,,174000000.0,390000000.0,101000000.0,,358000000.0,-931000000.0,-208000000.0,506000000.0,-931000000.0,-208000000.0,506000000.0,-633000000.0,-85000000.0,-85000000.0,80000000.0,,53000000.0,,,-261000000.0,-1283000000.0,-6000000.0,,
Charter Communications Inc,CHTR,0J0XRGZE3PBRFEZ7MV65,1091667,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 08:08:15+00:00,,74000000.0,,735000000.0,1524000000.0,452000000.0,,3115000000.0,-1463000000.0,-1170000000.0,1928000000.0,-1463000000.0,-1170000000.0,1928000000.0,-705000000.0,-237000000.0,-237000000.0,115000000.0,,39000000.0,,,-1209000000.0,-4434000000.0,-6000000.0,-138000000.0,
Charter Communications Inc,CHTR,0J0XRGZE3PBRFEZ7MV65,1091667,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-01 08:32:34+00:00,0.0,54000000.0,,561000000.0,1134000000.0,351000000.0,,2757000000.0,-532000000.0,-962000000.0,1422000000.0,-532000000.0,-962000000.0,1422000000.0,-72000000.0,-152000000.0,-152000000.0,35000000.0,,-14000000.0,,,-948000000.0,-3151000000.0,0.0,-138000000.0,
Charter Communications Inc,CHTR,0J0XRGZE3PBRFEZ7MV65,1091667,2010.0,Q3,2009-10-01,2010-09-30,,,18000000.0,,224000000.0,385000000.0,141000000.0,,1132000000.0,483000000.0,-309000000.0,441000000.0,483000000.0,-309000000.0,441000000.0,615000000.0,-95000000.0,-95000000.0,-8000000.0,,-10000000.0,,,-299000000.0,-649000000.0,,,
Charter Communications Inc,CHTR,0J0XRGZE3PBRFEZ7MV65,1091667,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-02 08:57:18+00:00,,36000000.0,,337000000.0,749000000.0,210000000.0,,1625000000.0,-1015000000.0,-653000000.0,981000000.0,-1015000000.0,-653000000.0,981000000.0,-687000000.0,-57000000.0,-57000000.0,43000000.0,,-4000000.0,,,-649000000.0,-2502000000.0,0.0,-138000000.0,
Charter Communications Inc,CHTR,0J0XRGZE3PBRFEZ7MV65,1091667,2010.0,Q2,2010-04-01,2010-06-30,,,18000000.0,,185000000.0,380000000.0,98000000.0,,1625000000.0,-315000000.0,-323000000.0,451000000.0,-315000000.0,-323000000.0,451000000.0,-187000000.0,-81000000.0,-81000000.0,36000000.0,,16000000.0,,,-339000000.0,-1802000000.0,,-138000000.0,
Charter Communications Inc,CHTR,0J0XRGZE3PBRFEZ7MV65,1091667,2010.0,Q1,2010-01-01,2010-03-31,2011-05-03 08:09:01+00:00,,18000000.0,,152000000.0,369000000.0,112000000.0,,0.0,-700000000.0,-330000000.0,530000000.0,-700000000.0,-330000000.0,530000000.0,-500000000.0,24000000.0,24000000.0,7000000.0,,-20000000.0,,,-310000000.0,-700000000.0,0.0,,
Charter Communications Inc,CHTR,0J0XRGZE3PBRFEZ7MV65,1091667,2011.0,Q4,2010-10-01,2011-12-31,,,7000000.0,,250000000.0,411000000.0,48000000.0,,1686000000.0,-165000000.0,-262000000.0,425000000.0,-165000000.0,-262000000.0,425000000.0,-2000000.0,-67000000.0,-67000000.0,26000000.0,5000000.0,64000000.0,,,-326000000.0,-1446000000.0,-410000000.0,,
Charter Communications Inc,CHTR,0J0XRGZE3PBRFEZ7MV65,1091667,2011.0,FY,2011-01-01,2011-12-31,2014-02-21 08:04:50+00:00,,34000000.0,,899000000.0,1592000000.0,304000000.0,,5489000000.0,-373000000.0,-1366000000.0,1737000000.0,-373000000.0,-1366000000.0,1737000000.0,-2000000.0,-369000000.0,-369000000.0,176000000.0,5000000.0,33000000.0,,,-1399000000.0,-5134000000.0,-733000000.0,,
Charter Communications Inc,CHTR,0J0XRGZE3PBRFEZ7MV65,1091667,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-11-06 08:09:29+00:00,,27000000.0,,649000000.0,1181000000.0,256000000.0,,3803000000.0,-208000000.0,-1104000000.0,1312000000.0,-208000000.0,-1104000000.0,1312000000.0,0.0,-302000000.0,-302000000.0,150000000.0,,-31000000.0,,,-1073000000.0,-3688000000.0,-323000000.0,,
