company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingrevenue,otherincome,otheroperatingexpenses,sgaexpense,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Charter Communications Inc,CHTR,0J0XRGZE3PBRFEZ7MV65,1091667,2010.0,Q4,2010-10-01,2010-12-31,,-1.46,-1.46,770000000.0,-1.46,167000000.0,-166000000.0,-166000000.0,-166000000.0,,3555000000.0,,25000000.0,2227000000.0,3555000000.0,532000000.0,3022000000.0,533000000.0,-532000000.0,1000000.0,3555000000.0,113138461.0,113400000.0,113400000.0
Charter Communications Inc,CHTR,0J0XRGZE3PBRFEZ7MV65,1091667,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 08:08:15+00:00,-2.09,-2.09,1524000000.0,-2.09,295000000.0,-237000000.0,-237000000.0,-237000000.0,,7059000000.0,-4000000.0,25000000.0,4486000000.0,7059000000.0,962000000.0,6035000000.0,1024000000.0,-966000000.0,58000000.0,7059000000.0,113138461.0,113400000.0,113400000.0
Charter Communications Inc,CHTR,0J0XRGZE3PBRFEZ7MV65,1091667,2010.0,Q2,2010-04-01,2010-06-30,2011-08-02 08:57:18+00:00,-0.72,-0.72,380000000.0,-0.72,83000000.0,-81000000.0,-81000000.0,-81000000.0,,1771000000.0,1000000.0,,1137000000.0,1771000000.0,253000000.0,1517000000.0,254000000.0,-252000000.0,2000000.0,1771000000.0,113110882.0,112500000.0,112500000.0
Charter Communications Inc,CHTR,0J0XRGZE3PBRFEZ7MV65,1091667,2010.0,Q1,2010-01-01,2010-03-31,2011-05-03 08:09:01+00:00,0.21,0.21,369000000.0,0.21,19000000.0,24000000.0,24000000.0,24000000.0,,1735000000.0,-3000000.0,,1115000000.0,1735000000.0,205000000.0,1484000000.0,251000000.0,-208000000.0,43000000.0,1735000000.0,114300000.0,113020967.0,114883134.0
Charter Communications Inc,CHTR,0J0XRGZE3PBRFEZ7MV65,1091667,2011.0,Q4,2011-10-01,2011-12-31,,-2.42,-2.42,1209000000.0,-2.42,220000000.0,-259000000.0,-259000000.0,-259000000.0,,5434000000.0,-5000000.0,7000000.0,3446000000.0,5434000000.0,806000000.0,4662000000.0,772000000.0,-811000000.0,-39000000.0,5434000000.0,108948554.0,108800000.0,108800000.0
Charter Communications Inc,CHTR,0J0XRGZE3PBRFEZ7MV65,1091667,2011.0,FY,2011-01-01,2011-12-31,2014-02-21 08:04:50+00:00,-3.39,-3.39,1592000000.0,-3.39,299000000.0,-369000000.0,-369000000.0,-369000000.0,,7204000000.0,-5000000.0,7000000.0,4564000000.0,7204000000.0,1106000000.0,6163000000.0,1041000000.0,-1111000000.0,-70000000.0,7204000000.0,108948554.0,108800000.0,108800000.0
Charter Communications Inc,CHTR,0J0XRGZE3PBRFEZ7MV65,1091667,2011.0,Q3YTD,2011-01-01,2011-09-30,,-2.74,-2.74,1181000000.0,-2.74,232000000.0,-302000000.0,-302000000.0,-302000000.0,,5370000000.0,-4000000.0,1000000.0,3412000000.0,5370000000.0,842000000.0,4594000000.0,776000000.0,-846000000.0,-70000000.0,5370000000.0,108420169.0,107600000.0,107600000.0
Charter Communications Inc,CHTR,0J0XRGZE3PBRFEZ7MV65,1091667,2011.0,Q3TTM,2010-10-01,2011-09-30,,-3.48,-3.48,1571000000.0,-3.48,316000000.0,-387000000.0,-387000000.0,-387000000.0,,7154000000.0,-5000000.0,-730000000.0,5258000000.0,7154000000.0,1121000000.0,6099000000.0,1055000000.0,-1126000000.0,-71000000.0,7154000000.0,108420169.0,107600000.0,107600000.0
Charter Communications Inc,CHTR,0J0XRGZE3PBRFEZ7MV65,1091667,2011.0,Q2,2011-04-01,2011-06-30,2011-08-02 16:13:29+00:00,-0.98,-0.98,393000000.0,-0.98,81000000.0,-107000000.0,-107000000.0,-107000000.0,,1791000000.0,-2000000.0,,1128000000.0,1791000000.0,294000000.0,1521000000.0,270000000.0,-296000000.0,-26000000.0,1791000000.0,109265876.0,109200000.0,109200000.0
Charter Communications Inc,CHTR,0J0XRGZE3PBRFEZ7MV65,1091667,2011.0,Q2YTD,2011-01-01,2011-06-30,,-1.95,-1.95,776000000.0,-1.95,160000000.0,-217000000.0,-217000000.0,-217000000.0,,3561000000.0,-2000000.0,,2246000000.0,3561000000.0,594000000.0,3022000000.0,539000000.0,-596000000.0,-57000000.0,3561000000.0,109265876.0,109200000.0,109200000.0
