company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2008.0,FY,2008-02-03,2009-01-31,2011-03-28 16:34:07+00:00,-106000000.0,64000000.0,11000000.0,130000000.0,-29000000.0,64000000.0,2000000.0,,-185000000.0,-272000000.0,383000000.0,-185000000.0,-272000000.0,383000000.0,-103000000.0,-80000000.0,-79000000.0,-1000000.0,268000000.0,,3000000.0,,-93000000.0,-23000000.0,-146000000.0,-94000000.0,,,
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2009.0,Q4,2009-11-01,2010-01-30,,,6000000.0,6000000.0,27000000.0,-13000000.0,153000000.0,1000000.0,,-23000000.0,-13000000.0,206000000.0,-23000000.0,-13000000.0,206000000.0,157000000.0,23000000.0,23000000.0,,3000000.0,,,,-24000000.0,,-19000000.0,,,6000000.0,
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2009.0,FY,2009-02-01,2010-01-30,2012-03-26 16:52:52+00:00,,19000000.0,12000000.0,112000000.0,18000000.0,120000000.0,3000000.0,,-94000000.0,-72000000.0,346000000.0,-94000000.0,-72000000.0,346000000.0,197000000.0,48000000.0,47000000.0,1000000.0,67000000.0,,1000000.0,-1000000.0,-94000000.0,,-89000000.0,-3000000.0,,16000000.0,
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2009.0,Q3,2009-08-02,2009-10-31,,,3000000.0,,29000000.0,11000000.0,30000000.0,1000000.0,,-22000000.0,-23000000.0,57000000.0,-22000000.0,-23000000.0,57000000.0,23000000.0,-6000000.0,-6000000.0,,4000000.0,,,,-23000000.0,,-23000000.0,,,,
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2009.0,Q3YTD,2009-02-01,2009-10-31,2010-12-08 17:11:24+00:00,,13000000.0,6000000.0,85000000.0,31000000.0,-33000000.0,2000000.0,,-71000000.0,-59000000.0,140000000.0,-71000000.0,-59000000.0,140000000.0,40000000.0,25000000.0,24000000.0,1000000.0,64000000.0,,1000000.0,-1000000.0,-70000000.0,,-70000000.0,-3000000.0,,10000000.0,
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2009.0,Q2YTD,2009-02-01,2009-08-01,2010-09-08 17:29:31+00:00,,10000000.0,6000000.0,56000000.0,20000000.0,-63000000.0,1000000.0,,-49000000.0,-36000000.0,83000000.0,-49000000.0,-36000000.0,83000000.0,17000000.0,31000000.0,30000000.0,1000000.0,60000000.0,,1000000.0,-1000000.0,-47000000.0,,-47000000.0,-3000000.0,,10000000.0,
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2010.0,Q4,2010-10-31,2011-01-29,,,21000000.0,6000000.0,27000000.0,2000000.0,107000000.0,5000000.0,,-30000000.0,-15000000.0,205000000.0,-30000000.0,-15000000.0,205000000.0,162000000.0,57000000.0,57000000.0,,14000000.0,2000000.0,,,-23000000.0,,-24000000.0,,-14000000.0,9000000.0,
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2010.0,FY,2010-01-31,2011-01-29,2013-04-01 16:54:03+00:00,,53000000.0,12000000.0,106000000.0,2000000.0,51000000.0,13000000.0,,-127000000.0,-87000000.0,326000000.0,-127000000.0,-87000000.0,326000000.0,114000000.0,169000000.0,169000000.0,,0.0,3000000.0,1000000.0,,-93000000.0,,-97000000.0,,-50000000.0,9000000.0,
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2010.0,Q3TTM,2009-11-01,2010-10-30,,,38000000.0,12000000.0,106000000.0,-13000000.0,97000000.0,9000000.0,,-120000000.0,-85000000.0,327000000.0,-120000000.0,-85000000.0,327000000.0,109000000.0,135000000.0,135000000.0,,-11000000.0,1000000.0,1000000.0,,-94000000.0,,-92000000.0,,-36000000.0,6000000.0,
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2010.0,Q3,2010-08-01,2010-10-30,,,9000000.0,,27000000.0,19000000.0,,4000000.0,,-34000000.0,-21000000.0,58000000.0,-34000000.0,-21000000.0,58000000.0,22000000.0,52000000.0,52000000.0,,-21000000.0,1000000.0,1000000.0,,-23000000.0,,-22000000.0,,-16000000.0,,
