company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2008.0,FY,2008-02-03,2009-01-31,2011-03-28 16:34:07+00:00,-0.52,-0.52,0.6,130000000.0,-0.52,259000000.0,-21000000.0,-80000000.0,-79000000.0,-1000000.0,-80000000.0,3777000000.0,5237000000.0,8000000.0,,,,1174000000.0,3777000000.0,1460000000.0,5000000.0,,1563000000.0,-103000000.0,3000000.0,-100000000.0,5237000000.0,153800000.0,153800000.0,153800000.0
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2009.0,FY,2009-02-01,2010-01-30,2012-03-26 16:52:52+00:00,0.3,0.3,0.6,112000000.0,0.3,41000000.0,26000000.0,48000000.0,47000000.0,1000000.0,48000000.0,3522000000.0,4854000000.0,3000000.0,,,,1099000000.0,3522000000.0,1332000000.0,10000000.0,,1252000000.0,80000000.0,-7000000.0,73000000.0,4854000000.0,156000000.0,156000000.0,156000000.0
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2009.0,Q3,2009-08-02,2009-10-31,2010-12-08 17:11:24+00:00,-0.04,-0.04,,29000000.0,-0.04,36000000.0,-7000000.0,-6000000.0,-6000000.0,,-6000000.0,885000000.0,1214000000.0,,,,,274000000.0,885000000.0,329000000.0,3000000.0,,339000000.0,-10000000.0,-3000000.0,-13000000.0,1214000000.0,150000000.0,156400000.0,156400000.0
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2009.0,Q2,2009-05-03,2009-08-01,2010-09-08 17:29:31+00:00,0.0,0.0,,28000000.0,0.0,,-1000000.0,0.0,-1000000.0,1000000.0,,819000000.0,1099000000.0,,-1000000.0,,,252000000.0,819000000.0,280000000.0,3000000.0,,279000000.0,1000000.0,-3000000.0,-2000000.0,1099000000.0,,155900000.0,155900000.0
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2010.0,FY,2010-01-31,2011-01-29,2013-04-01 16:54:03+00:00,1.08,1.08,0.6,106000000.0,1.07,10000000.0,88000000.0,169000000.0,169000000.0,,169000000.0,3533000000.0,5049000000.0,4000000.0,,,,1138000000.0,3533000000.0,1516000000.0,9000000.0,,1254000000.0,262000000.0,-5000000.0,257000000.0,5049000000.0,156500000.0,155700000.0,156700000.0
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2010.0,Q4,2010-10-31,2011-01-29,,0.71,0.36,0.6,27000000.0,0.36,10000000.0,33000000.0,57000000.0,57000000.0,,57000000.0,962000000.0,1392000000.0,2000000.0,,,,303000000.0,962000000.0,430000000.0,2000000.0,,340000000.0,90000000.0,,90000000.0,1392000000.0,156500000.0,155700000.0,156700000.0
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2010.0,Q3YTD,2010-01-31,2010-10-30,,0.37,0.72,,79000000.0,0.71,,55000000.0,112000000.0,112000000.0,,112000000.0,2571000000.0,3657000000.0,2000000.0,,,,835000000.0,2571000000.0,1086000000.0,7000000.0,,914000000.0,172000000.0,-5000000.0,167000000.0,3657000000.0,157600000.0,155400000.0,156200000.0
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2010.0,Q3,2010-08-01,2010-10-30,2011-12-07 16:41:28+00:00,0.33,0.33,,27000000.0,0.33,,21000000.0,52000000.0,52000000.0,,52000000.0,892000000.0,1280000000.0,1000000.0,,,,287000000.0,892000000.0,388000000.0,2000000.0,,314000000.0,74000000.0,-1000000.0,73000000.0,1280000000.0,157600000.0,155400000.0,156200000.0
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2010.0,Q2,2010-05-02,2010-07-31,2011-09-07 16:49:30+00:00,0.04,0.04,,26000000.0,0.04,,4000000.0,6000000.0,6000000.0,,6000000.0,791000000.0,1096000000.0,1000000.0,,,,268000000.0,791000000.0,305000000.0,2000000.0,,294000000.0,11000000.0,-1000000.0,10000000.0,1096000000.0,150000000.0,156100000.0,156900000.0
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2010.0,Q2YTD,2010-01-31,2010-07-31,,0.04,0.39,,52000000.0,0.38,,34000000.0,60000000.0,60000000.0,,60000000.0,1679000000.0,2377000000.0,1000000.0,,,,548000000.0,1679000000.0,698000000.0,5000000.0,,600000000.0,98000000.0,-4000000.0,94000000.0,2377000000.0,150000000.0,156100000.0,156900000.0
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2010.0,Q1,2010-01-31,2010-05-01,2011-06-08 16:33:01+00:00,,0.35,,26000000.0,0.34,,30000000.0,54000000.0,54000000.0,,54000000.0,888000000.0,1281000000.0,,,,,280000000.0,888000000.0,393000000.0,3000000.0,,306000000.0,87000000.0,-3000000.0,84000000.0,1281000000.0,,156500000.0,157300000.0
Foot Locker Inc,FL,549300X383CBNP6MTV94,850209,2011.0,FY,2011-01-30,2012-01-28,2014-03-31 16:51:43+00:00,1.81,1.81,0.66,110000000.0,1.8,5000000.0,157000000.0,278000000.0,278000000.0,,278000000.0,3827000000.0,5623000000.0,4000000.0,,,,1244000000.0,3827000000.0,1796000000.0,6000000.0,,1359000000.0,437000000.0,-2000000.0,435000000.0,5623000000.0,153600000.0,153000000.0,154400000.0
