company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,investmentbankingincome,longtermdebtinterestexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,nonoperatingincome,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,salariesandemployeebenefitsexpense,servicechargesondepositsincome,totalinterestexpense,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Federated Investors Inc,FII,R05X5UQ874RGFF7HHD84,1056288,2008.0,FY,2008-01-01,2008-12-31,2011-02-22 16:49:47+00:00,49764000.0,2.2,2.2,3.69,2.18,128168000.0,775381000.0,2750000.0,28867000.0,231433000.0,228625000.0,2808000.0,224317000.0,7116000.0,-2750000.0,46079000.0,-1632000.0,,500609000.0,448299000.0,237186000.0,,2750000.0,862505000.0,1223680000.0,356793000.0,1220930000.0,102000000.0,102000000.0,102900000.0
Federated Investors Inc,FII,R05X5UQ874RGFF7HHD84,1056288,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 13:46:01+00:00,,1.93,1.93,0.96,1.92,118278000.0,749823000.0,,22459000.0,208540000.0,208540000.0,,197292000.0,11248000.0,,47979000.0,-2409000.0,,521857000.0,426127000.0,254428000.0,,,846723000.0,1175950000.0,326818000.0,1175950000.0,99923000.0,99923000.0,99923000.0
Federated Investors Inc,FII,R05X5UQ874RGFF7HHD84,1056288,2009.0,Q3,2009-07-01,2009-09-30,2010-11-01 11:54:57+00:00,9057000.0,0.56,0.56,0.24,0.56,34604000.0,190012000.0,,4845000.0,60287000.0,60287000.0,,56986000.0,3301000.0,,12059000.0,158000.0,,110677000.0,38324000.0,62232000.0,65267000.0,,198870000.0,293603000.0,94891000.0,293603000.0,101800000.0,101800000.0,101800000.0
Federated Investors Inc,FII,R05X5UQ874RGFF7HHD84,1056288,2009.0,Q2,2009-04-01,2009-06-30,2010-07-28 11:43:44+00:00,8941000.0,0.52,0.52,0.24,0.52,31712000.0,193757000.0,,5931000.0,56083000.0,56083000.0,,53274000.0,2809000.0,,11498000.0,-270000.0,,128850000.0,45623000.0,63609000.0,67514000.0,,218829000.0,306894000.0,87795000.0,306894000.0,102500000.0,102500000.0,102500000.0
Federated Investors Inc,FII,R05X5UQ874RGFF7HHD84,1056288,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 17:23:53+00:00,,1.73,1.73,2.22,1.73,111957000.0,639404000.0,,21571000.0,189163000.0,189163000.0,,179114000.0,10049000.0,,45786000.0,-8671000.0,,331942000.0,312539000.0,242853000.0,,,642152000.0,951943000.0,301120000.0,951943000.0,99925000.0,99925000.0,99925000.0
Federated Investors Inc,FII,R05X5UQ874RGFF7HHD84,1056288,2010.0,Q4,2010-10-01,2010-12-31,,-9273000.0,0.47,0.47,0.24,0.47,29345000.0,165174000.0,,6086000.0,48630000.0,48630000.0,,46401000.0,2229000.0,,11799000.0,-1057000.0,,101288000.0,80142000.0,56384000.0,,,166284000.0,245316000.0,77975000.0,245316000.0,99925000.0,99925000.0,99925000.0
Federated Investors Inc,FII,R05X5UQ874RGFF7HHD84,1056288,2010.0,Q3,2010-07-01,2010-09-30,2011-10-31 16:45:26+00:00,2987000.0,0.42,0.42,0.24,0.42,26477000.0,163783000.0,,5416000.0,48063000.0,48063000.0,,43056000.0,5007000.0,,11203000.0,-548000.0,,86092000.0,78390000.0,61387000.0,,,167085000.0,242173000.0,74540000.0,242173000.0,99916000.0,99916000.0,99916000.0
Federated Investors Inc,FII,R05X5UQ874RGFF7HHD84,1056288,2010.0,Q3YTD,2010-01-01,2010-09-30,,9273000.0,1.26,1.26,1.98,1.26,82612000.0,474230000.0,,15485000.0,140533000.0,140533000.0,,132713000.0,7820000.0,,33987000.0,-7614000.0,,230654000.0,232397000.0,186469000.0,,,475868000.0,706627000.0,223145000.0,706627000.0,99916000.0,99916000.0,99916000.0
Federated Investors Inc,FII,R05X5UQ874RGFF7HHD84,1056288,2010.0,Q2YTD,2010-01-01,2010-06-30,,6286000.0,0.84,0.84,1.74,0.84,56135000.0,310447000.0,,10069000.0,92470000.0,92470000.0,,89657000.0,2813000.0,,22784000.0,-7066000.0,,144562000.0,154007000.0,125082000.0,,,308783000.0,464454000.0,148605000.0,464454000.0,99943000.0,99943000.0,99943000.0
Federated Investors Inc,FII,R05X5UQ874RGFF7HHD84,1056288,2010.0,Q2,2010-04-01,2010-06-30,2011-08-03 15:54:03+00:00,3114000.0,0.46,0.46,0.24,0.46,29293000.0,155954000.0,,5484000.0,48275000.0,48275000.0,,47650000.0,625000.0,,10730000.0,-6293000.0,,67609000.0,75530000.0,60686000.0,,,147623000.0,231484000.0,77568000.0,231484000.0,99943000.0,99943000.0,99943000.0
Federated Investors Inc,FII,R05X5UQ874RGFF7HHD84,1056288,2010.0,Q1,2010-01-01,2010-03-31,2011-05-02 16:31:54+00:00,3172000.0,0.38,0.38,1.5,0.38,26842000.0,154493000.0,,4585000.0,44195000.0,44195000.0,,42007000.0,2188000.0,,12054000.0,-773000.0,,76953000.0,78477000.0,64396000.0,,,161160000.0,232970000.0,71037000.0,232970000.0,110500000.0,110500000.0,110500000.0
Federated Investors Inc,FII,R05X5UQ874RGFF7HHD84,1056288,2011.0,Q4,2011-10-01,2011-12-31,,,0.35,0.35,0.24,0.35,21811000.0,138225000.0,,7197000.0,38624000.0,38624000.0,,36942000.0,1682000.0,,12094000.0,-1426000.0,,74635000.0,-142174000.0,60620000.0,220356000.0,,154546000.0,216407000.0,60435000.0,216407000.0,100609000.0,100609000.0,100609000.0
Federated Investors Inc,FII,R05X5UQ874RGFF7HHD84,1056288,2011.0,FY,2011-01-01,2011-12-31,2014-02-21 16:06:54+00:00,,1.45,1.45,0.96,1.45,91288000.0,586340000.0,,25587000.0,155083000.0,155083000.0,,150906000.0,4177000.0,,47660000.0,-11084000.0,,318973000.0,88418000.0,245439000.0,220356000.0,,637659000.0,895114000.0,246371000.0,895114000.0,100609000.0,100609000.0,100609000.0
Federated Investors Inc,FII,R05X5UQ874RGFF7HHD84,1056288,2011.0,Q3YTD,2011-01-01,2011-09-30,,,1.1,1.1,0.72,1.1,69477000.0,448115000.0,,18390000.0,116459000.0,116459000.0,,113964000.0,2495000.0,,35566000.0,-9658000.0,,244338000.0,230592000.0,184819000.0,,,483113000.0,678707000.0,185936000.0,678707000.0,100684000.0,100684000.0,100684000.0
Federated Investors Inc,FII,R05X5UQ874RGFF7HHD84,1056288,2011.0,Q3TTM,2010-10-01,2011-09-30,,-9273000.0,1.57,1.57,0.96,1.57,98822000.0,613289000.0,,24476000.0,165089000.0,165089000.0,,160365000.0,4724000.0,,47365000.0,-10715000.0,,345626000.0,310734000.0,241203000.0,,,649397000.0,924023000.0,263911000.0,924023000.0,100684000.0,100684000.0,100684000.0
Federated Investors Inc,FII,R05X5UQ874RGFF7HHD84,1056288,2011.0,Q3,2011-07-01,2011-09-30,2012-10-26 16:52:01+00:00,,0.37,0.37,0.24,0.37,23165000.0,139399000.0,,6696000.0,38520000.0,38520000.0,,38320000.0,200000.0,,12027000.0,-5326000.0,,70384000.0,74649000.0,57930000.0,,,147037000.0,214048000.0,61685000.0,214048000.0,100684000.0,100684000.0,100684000.0
