company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Costco Wholesale Corp,COST,29DX7H14B9S6O3FD6V18,909832,2008.0,FY,2007-09-03,2008-08-31,2010-10-15 18:40:36+00:00,,615000000.0,106000000.0,653000000.0,-7000000.0,170000000.0,306000000.0,5353000000.0,-643000000.0,-1717000000.0,2206000000.0,-643000000.0,-1717000000.0,2206000000.0,-161000000.0,1295000000.0,1295000000.0,88000000.0,90000000.0,-14000000.0,-265000000.0,-1878000000.0,-1599000000.0,-5232000000.0,-895000000.0,1726000000.0,48000000.0
Costco Wholesale Corp,COST,29DX7H14B9S6O3FD6V18,909832,2009.0,Q4,2009-05-11,2009-08-30,,,249000000.0,-2000000.0,241000000.0,27000000.0,-91000000.0,-51000000.0,45000000.0,-179000000.0,-323000000.0,549000000.0,-179000000.0,-323000000.0,549000000.0,74000000.0,378000000.0,378000000.0,21000000.0,43000000.0,-12000000.0,-166000000.0,-415000000.0,-353000000.0,-50000000.0,,455000000.0,2000000.0
Costco Wholesale Corp,COST,29DX7H14B9S6O3FD6V18,909832,2009.0,FY,2008-09-01,2009-08-30,2011-10-14 17:04:24+00:00,,565000000.0,104000000.0,728000000.0,-14000000.0,73000000.0,,1669000000.0,-439000000.0,-1101000000.0,2092000000.0,-439000000.0,-1101000000.0,2092000000.0,538000000.0,1099000000.0,1099000000.0,192000000.0,49000000.0,-15000000.0,-305000000.0,-1806000000.0,-1250000000.0,-1783000000.0,-69000000.0,1963000000.0,7000000.0
Costco Wholesale Corp,COST,29DX7H14B9S6O3FD6V18,909832,2009.0,Q3,2009-02-08,2009-05-10,,,140000000.0,54000000.0,171000000.0,13000000.0,257000000.0,20000000.0,265000000.0,-109000000.0,-219000000.0,693000000.0,-109000000.0,-219000000.0,693000000.0,378000000.0,212000000.0,212000000.0,53000000.0,65000000.0,1000000.0,-70000000.0,-390000000.0,-226000000.0,-387000000.0,-2000000.0,395000000.0,1000000.0
Costco Wholesale Corp,COST,29DX7H14B9S6O3FD6V18,909832,2009.0,Q3YTD,2008-09-01,2009-05-10,2010-06-10 14:48:48+00:00,,316000000.0,106000000.0,487000000.0,-41000000.0,164000000.0,51000000.0,1624000000.0,-260000000.0,-778000000.0,1543000000.0,-260000000.0,-778000000.0,1543000000.0,464000000.0,721000000.0,721000000.0,171000000.0,6000000.0,-3000000.0,-139000000.0,-1391000000.0,-897000000.0,-1733000000.0,-69000000.0,1508000000.0,5000000.0
Costco Wholesale Corp,COST,29DX7H14B9S6O3FD6V18,909832,2009.0,Q2,2008-11-24,2009-02-15,,,148000000.0,-1000000.0,161000000.0,9000000.0,414000000.0,29000000.0,338000000.0,-127000000.0,-257000000.0,865000000.0,-127000000.0,-257000000.0,865000000.0,490000000.0,243000000.0,243000000.0,47000000.0,-86000000.0,-3000000.0,-69000000.0,-358000000.0,-296000000.0,-339000000.0,,396000000.0,4000000.0
Costco Wholesale Corp,COST,29DX7H14B9S6O3FD6V18,909832,2009.0,Q2YTD,2008-09-01,2009-02-15,2010-03-17 13:53:28+00:00,,176000000.0,52000000.0,316000000.0,-54000000.0,-93000000.0,31000000.0,1359000000.0,-151000000.0,-559000000.0,850000000.0,-151000000.0,-559000000.0,850000000.0,86000000.0,509000000.0,509000000.0,118000000.0,-59000000.0,-4000000.0,-69000000.0,-1001000000.0,-671000000.0,-1346000000.0,-67000000.0,1113000000.0,4000000.0
Costco Wholesale Corp,COST,29DX7H14B9S6O3FD6V18,909832,2009.0,Q1,2008-09-01,2008-11-23,2009-12-18 12:50:27+00:00,,28000000.0,53000000.0,155000000.0,-63000000.0,-507000000.0,2000000.0,1021000000.0,-24000000.0,-302000000.0,-15000000.0,-24000000.0,-302000000.0,-15000000.0,-404000000.0,266000000.0,266000000.0,71000000.0,27000000.0,-1000000.0,0.0,-643000000.0,-375000000.0,-1007000000.0,-67000000.0,717000000.0,0.0
Costco Wholesale Corp,COST,29DX7H14B9S6O3FD6V18,909832,2010.0,Q4,2010-05-10,2010-08-29,,,291000000.0,,246000000.0,,-117000000.0,,1000000.0,-707000000.0,-1103000000.0,611000000.0,-707000000.0,-1103000000.0,611000000.0,-1199000000.0,437000000.0,437000000.0,45000000.0,-85000000.0,-10000000.0,-180000000.0,-1472000000.0,-411000000.0,-8000000.0,-435000000.0,789000000.0,1000000.0
Costco Wholesale Corp,COST,29DX7H14B9S6O3FD6V18,909832,2010.0,FY,2009-08-31,2010-08-29,2012-10-19 17:26:26+00:00,,637000000.0,110000000.0,795000000.0,11000000.0,522000000.0,,119000000.0,-719000000.0,-2015000000.0,2780000000.0,-719000000.0,-2015000000.0,2780000000.0,57000000.0,1323000000.0,1323000000.0,140000000.0,208000000.0,-8000000.0,-338000000.0,-2693000000.0,-1055000000.0,-157000000.0,-551000000.0,1737000000.0,4000000.0
