company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,allowanceforloanandleaselosses,aoci,cashandequivalents,commonequity,fedfundspurchased,fedfundssold,goodwill,intangibleassets,interestbearingdeposits,interestbearingdepositsatotherbanks,loansandleases,loansheldforsale,longtermdebt,mortgageservicingrights,netloansandleases,noncontrollinginterests,noninterestbearingdeposits,otherassets,otherequity,otherlongtermliabilities,othershorttermpayables,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2008.0,FY,,2008-12-31,2010-03-10 17:38:28+00:00,3917000000.0,-3949000000.0,4471000000.0,10589000000.0,5153000000.0,1856000000.0,8868000000.0,2820000000.0,155717000000.0,14859000000.0,175489000000.0,4366000000.0,47087000000.0,,171572000000.0,2226000000.0,37148000000.0,37071000000.0,7918000000.0,14379000000.0,3949000000.0,11461000000.0,,291081000000.0,25422000000.0,25422000000.0,27648000000.0,263433000000.0,291081000000.0,0.0,45198000000.0,-597000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2009.0,FY,,2009-12-31,2011-03-01 14:09:01+00:00,5072000000.0,-1962000000.0,4288000000.0,11299000000.0,3998000000.0,2390000000.0,9505000000.0,3404000000.0,142538000000.0,4488000000.0,157543000000.0,2539000000.0,35263000000.0,,152471000000.0,2625000000.0,44384000000.0,32627000000.0,7974000000.0,7523000000.0,3590000000.0,13144000000.0,,269863000000.0,29942000000.0,29942000000.0,32567000000.0,237296000000.0,269863000000.0,0.0,58151000000.0,-513000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2009.0,Q3,,2009-09-30,2009-11-06 13:59:48+00:00,4810000000.0,-1947000000.0,3426000000.0,11208000000.0,3996000000.0,2427000000.0,9286000000.0,3448000000.0,140784000000.0,1129000000.0,160608000000.0,3509000000.0,37914000000.0,,155798000000.0,2735000000.0,43025000000.0,35896000000.0,7960000000.0,10433000000.0,3592000000.0,12179000000.0,,271407000000.0,28928000000.0,28928000000.0,31663000000.0,239744000000.0,271407000000.0,0.0,56488000000.0,-472000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2009.0,Q2,,2009-06-30,2009-08-10 15:49:18+00:00,4569000000.0,-3101000000.0,3797000000.0,11125000000.0,3921000000.0,1814000000.0,9206000000.0,3684000000.0,148633000000.0,10190000000.0,165009000000.0,4662000000.0,40760000000.0,,160440000000.0,2173000000.0,41806000000.0,34067000000.0,7947000000.0,15167000000.0,,11758000000.0,,279754000000.0,27294000000.0,27294000000.0,29467000000.0,250287000000.0,279754000000.0,0.0,51894000000.0,-435000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2010.0,Q3,,2010-09-30,2010-11-09 08:50:15+00:00,5231000000.0,146000000.0,3724000000.0,14688000000.0,4661000000.0,2094000000.0,8166000000.0,2352000000.0,133118000000.0,415000000.0,150127000000.0,3275000000.0,35102000000.0,,144896000000.0,2624000000.0,46065000000.0,30795000000.0,646000000.0,5387000000.0,3134000000.0,15114000000.0,,260133000000.0,30042000000.0,30042000000.0,32666000000.0,227467000000.0,260133000000.0,0.0,64416000000.0,-552000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2010.0,Q2,,2010-06-30,2010-08-09 12:24:32+00:00,5336000000.0,-442000000.0,3558000000.0,14657000000.0,3690000000.0,2209000000.0,9410000000.0,2728000000.0,134487000000.0,5028000000.0,154342000000.0,2756000000.0,36737000000.0,,149006000000.0,2613000000.0,44312000000.0,32401000000.0,646000000.0,8722000000.0,2757000000.0,14073000000.0,,261695000000.0,28377000000.0,28377000000.0,30990000000.0,230705000000.0,261695000000.0,0.0,54599000000.0,-557000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2010.0,Q1,,2010-03-31,2010-05-07 14:44:59+00:00,5319000000.0,-1288000000.0,3563000000.0,14621000000.0,5511000000.0,1367000000.0,9425000000.0,3289000000.0,139401000000.0,607000000.0,157266000000.0,2691000000.0,36950000000.0,,151947000000.0,2616000000.0,43122000000.0,33306000000.0,645000000.0,8039000000.0,2939000000.0,13340000000.0,,265396000000.0,26818000000.0,26818000000.0,29434000000.0,235962000000.0,265396000000.0,0.0,59201000000.0,-500000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2011.0,FY,,2011-12-31,2013-02-28 18:10:21+00:00,4347000000.0,-105000000.0,4105000000.0,14755000000.0,2984000000.0,2205000000.0,8285000000.0,1859000000.0,128918000000.0,1169000000.0,159014000000.0,2936000000.0,29449000000.0,,154667000000.0,3193000000.0,59048000000.0,32832000000.0,,5114000000.0,4175000000.0,18253000000.0,4271000000.0,271205000000.0,32416000000.0,34053000000.0,37246000000.0,233959000000.0,271205000000.0,1637000000.0,63147000000.0,-487000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2011.0,Q3,,2011-09-30,2011-11-08 10:35:22+00:00,4507000000.0,397000000.0,3982000000.0,14736000000.0,3105000000.0,1806000000.0,8207000000.0,1949000000.0,132552000000.0,2773000000.0,154543000000.0,2491000000.0,31997000000.0,,150036000000.0,3023000000.0,55180000000.0,33161000000.0,1636000000.0,5807000000.0,3587000000.0,17985000000.0,,269470000000.0,34219000000.0,34219000000.0,37242000000.0,232228000000.0,269470000000.0,0.0,65065000000.0,-535000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2011.0,Q2,,2011-06-30,2011-08-08 15:29:09+00:00,4627000000.0,69000000.0,3865000000.0,14707000000.0,3812000000.0,2357000000.0,8182000000.0,2412000000.0,129208000000.0,4508000000.0,150319000000.0,2679000000.0,31364000000.0,,145692000000.0,2638000000.0,52683000000.0,31933000000.0,648000000.0,7675000000.0,3502000000.0,17344000000.0,,263117000000.0,32235000000.0,32235000000.0,34873000000.0,228244000000.0,263117000000.0,0.0,61489000000.0,-533000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2011.0,Q1,,2011-03-31,2011-05-09 08:14:55+00:00,4759000000.0,-309000000.0,3389000000.0,14738000000.0,4079000000.0,2240000000.0,8146000000.0,2618000000.0,133283000000.0,1359000000.0,149387000000.0,2980000000.0,30917000000.0,,144628000000.0,2585000000.0,48707000000.0,30772000000.0,647000000.0,5597000000.0,3078000000.0,16640000000.0,,259378000000.0,31132000000.0,31132000000.0,33717000000.0,225661000000.0,259378000000.0,0.0,63246000000.0,-584000000.0
