company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,depositsinterestexpense,dilutedeps,incometaxexpense,investmentbankingincome,investmentsecuritiesinterestincome,loansandleaseinterestincome,longtermdebtinterestexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,otherinterestincome,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,preferreddividends,provisionforcreditlosses,salariesandemployeebenefitsexpense,servicechargesondepositsincome,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,trustfeeincome,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2007.0,FY,2007-01-01,2007-12-31,2010-03-10 17:38:28+00:00,4.4,4.4,2053000000.0,4.32,561000000.0,,1429000000.0,4232000000.0,1144000000.0,113000000.0,1491000000.0,1363000000.0,128000000.0,1467000000.0,24000000.0,2947000000.0,565000000.0,-5000000.0,483000000.0,713000000.0,1159000000.0,2236000000.0,0.0,315000000.0,1815000000.0,,3197000000.0,6144000000.0,3652000000.0,2944000000.0,1924000000.0,5891000000.0,,333400000.0,331000000.0,334000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 14:09:01+00:00,2.49,2.49,1485000000.0,2.44,298000000.0,,1746000000.0,4138000000.0,962000000.0,123000000.0,914000000.0,796000000.0,118000000.0,946000000.0,-32000000.0,3854000000.0,611000000.0,106000000.0,417000000.0,392000000.0,1185000000.0,1944000000.0,,1517000000.0,1766000000.0,,2447000000.0,6301000000.0,3685000000.0,2442000000.0,1094000000.0,6296000000.0,,379900000.0,344000000.0,346000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2008.0,Q3,2008-07-01,2008-09-30,2009-11-06 13:59:48+00:00,0.72,0.72,340000000.0,0.7,74000000.0,,447000000.0,1024000000.0,234000000.0,38000000.0,259000000.0,259000000.0,,248000000.0,11000000.0,1000000000.0,180000000.0,-74000000.0,103000000.0,198000000.0,344000000.0,297000000.0,0.0,190000000.0,569000000.0,,574000000.0,1574000000.0,1131000000.0,654000000.0,333000000.0,1654000000.0,233000000.0,344400000.0,345000000.0,347000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2009.0,Q4,2009-10-01,2009-12-31,,-2.19,-2.19,-1407000000.0,-2.17,-342000000.0,,-2045000000.0,-6759000000.0,-1003000000.0,-174000000.0,-1296000000.0,-1255000000.0,-41000000.0,-952000000.0,-33000000.0,-6737000000.0,-1055000000.0,27000000.0,-343000000.0,-761000000.0,-2485000000.0,-3871000000.0,-311000000.0,-2881000000.0,-3150000000.0,,-2410000000.0,-9147000000.0,-6864000000.0,-4605000000.0,-1597000000.0,-11342000000.0,,,,
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2009.0,Q3,2009-07-01,2009-09-30,2010-11-09 08:50:15+00:00,1.01,1.01,387000000.0,1.0,185000000.0,,684000000.0,2091000000.0,277000000.0,58000000.0,559000000.0,540000000.0,19000000.0,427000000.0,20000000.0,2224000000.0,342000000.0,39000000.0,113000000.0,252000000.0,746000000.0,1338000000.0,112000000.0,914000000.0,1068000000.0,,664000000.0,2888000000.0,2214000000.0,1629000000.0,725000000.0,3853000000.0,,422800000.0,460000000.0,461000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2009.0,Q3YTD,2009-01-01,2009-09-30,,2.19,2.19,1407000000.0,2.17,342000000.0,,2045000000.0,6759000000.0,1003000000.0,174000000.0,1296000000.0,1255000000.0,41000000.0,952000000.0,33000000.0,6737000000.0,1055000000.0,-27000000.0,343000000.0,761000000.0,2485000000.0,3871000000.0,311000000.0,2881000000.0,3150000000.0,,2410000000.0,9147000000.0,6864000000.0,4605000000.0,1597000000.0,11342000000.0,,422800000.0,460000000.0,461000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2009.0,Q2,2009-04-01,2009-06-30,2010-08-09 12:24:32+00:00,0.14,0.14,474000000.0,0.14,29000000.0,,672000000.0,2203000000.0,333000000.0,59000000.0,207000000.0,195000000.0,12000000.0,65000000.0,9000000.0,2193000000.0,356000000.0,27000000.0,125000000.0,264000000.0,991000000.0,1319000000.0,133000000.0,1087000000.0,1086000000.0,,807000000.0,3000000000.0,2492000000.0,1610000000.0,224000000.0,3803000000.0,,464300000.0,451000000.0,453000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.18,1.18,1020000000.0,1.17,157000000.0,,1361000000.0,4668000000.0,726000000.0,116000000.0,737000000.0,715000000.0,22000000.0,525000000.0,13000000.0,4513000000.0,713000000.0,-66000000.0,230000000.0,509000000.0,1739000000.0,2533000000.0,199000000.0,1967000000.0,2082000000.0,,1746000000.0,6259000000.0,4650000000.0,2976000000.0,872000000.0,7489000000.0,,464300000.0,451000000.0,453000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2009.0,Q1,2009-01-01,2009-03-31,2010-05-07 14:44:59+00:00,1.04,1.04,546000000.0,1.03,128000000.0,,689000000.0,2465000000.0,393000000.0,57000000.0,530000000.0,520000000.0,10000000.0,460000000.0,4000000.0,2320000000.0,357000000.0,-93000000.0,105000000.0,245000000.0,748000000.0,1214000000.0,66000000.0,880000000.0,996000000.0,,939000000.0,3259000000.0,2158000000.0,1366000000.0,648000000.0,3686000000.0,,442300000.0,443000000.0,444000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2010.0,Q4,2010-10-01,2010-12-31,,1.56,1.56,205000000.0,1.54,301000000.0,,602000000.0,1962000000.0,265000000.0,70000000.0,820000000.0,820000000.0,,805000000.0,-13000000.0,2201000000.0,370000000.0,113000000.0,107000000.0,441000000.0,868000000.0,1148000000.0,28000000.0,442000000.0,1032000000.0,,470000000.0,2671000000.0,2340000000.0,1702000000.0,1121000000.0,3903000000.0,,519100000.0,517000000.0,520000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2010.0,FY,2010-01-01,2010-12-31,2013-02-28 18:10:21+00:00,5.8,5.8,963000000.0,5.74,1037000000.0,,2389000000.0,8276000000.0,957000000.0,266000000.0,3397000000.0,3024000000.0,373000000.0,3011000000.0,-15000000.0,9230000000.0,1398000000.0,261000000.0,485000000.0,1082000000.0,3043000000.0,4603000000.0,401000000.0,2502000000.0,3906000000.0,,1920000000.0,11150000000.0,8613000000.0,5946000000.0,4061000000.0,15176000000.0,,519100000.0,517000000.0,520000000.0
PNC Financial Services Group Inc,PNC,CFGNEKW0P8842LEUIA51,713676,2010.0,Q3,2010-07-01,2010-09-30,2011-11-08 10:35:22+00:00,2.08,2.08,233000000.0,2.07,179000000.0,,592000000.0,1996000000.0,253000000.0,81000000.0,1103000000.0,775000000.0,328000000.0,1097000000.0,2000000.0,2215000000.0,329000000.0,121000000.0,113000000.0,112000000.0,789000000.0,1150000000.0,4000000.0,486000000.0,959000000.0,,486000000.0,2701000000.0,2158000000.0,1383000000.0,954000000.0,3598000000.0,,527400000.0,523000000.0,526000000.0
