company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 15:22:50+00:00,66200000.0,98800000.0,1300000.0,678200000.0,307800000.0,800000000.0,181200000.0,-1855000000.0,1750300000.0,181200000.0,-1855000000.0,1750300000.0,77800000.0,679300000.0,679300000.0,326600000.0,-12000000.0,-105200000.0,-5617400000.0,,-809400000.0,0.0,3663600000.0
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 14:00:07+00:00,68800000.0,48800000.0,-1100000.0,238400000.0,4400000.0,0.0,-1049500000.0,-424700000.0,1326100000.0,-1049500000.0,-424700000.0,1326100000.0,-149200000.0,553200000.0,553200000.0,465700000.0,-10000000.0,-103500000.0,-4466000000.0,,-240400000.0,-700000000.0,3992500000.0
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2008.0,Q4,2008-10-01,2008-12-31,,18200000.0,48800000.0,5100000.0,-4900000.0,800000.0,,-135100000.0,-223900000.0,304500000.0,-135100000.0,-223900000.0,304500000.0,-49400000.0,41800000.0,41800000.0,249400000.0,-10100000.0,-24800000.0,-973600000.0,,-101000000.0,,700900000.0
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2008.0,Q3,2008-07-01,2008-09-30,,16100000.0,,-6400000.0,33600000.0,1400000.0,,-353300000.0,44600000.0,320300000.0,-353300000.0,44600000.0,320300000.0,5200000.0,108000000.0,108000000.0,162600000.0,200000.0,-26100000.0,-903300000.0,,21200000.0,-350000000.0,947900000.0
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-04 10:02:27+00:00,50600000.0,,-6200000.0,243300000.0,3600000.0,0.0,-914400000.0,-200800000.0,1021600000.0,-914400000.0,-200800000.0,1021600000.0,-99800000.0,511400000.0,511400000.0,216300000.0,100000.0,-78700000.0,-3492400000.0,,-139400000.0,-700000000.0,3291600000.0
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-05 16:06:34+00:00,34500000.0,,200000.0,209700000.0,2200000.0,,-561100000.0,-245400000.0,701300000.0,-561100000.0,-245400000.0,701300000.0,-105000000.0,403400000.0,403400000.0,53700000.0,-100000.0,-52600000.0,-2589100000.0,,-160600000.0,-350000000.0,2343700000.0
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2009.0,Q4,2009-10-01,2009-12-31,,19500000.0,,-100000.0,125000000.0,1700000.0,,-57300000.0,-475000000.0,383400000.0,-57300000.0,-475000000.0,383400000.0,-149000000.0,199400000.0,199400000.0,39500000.0,-1000000.0,-27400000.0,-1415500000.0,,-30600000.0,,940500000.0
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2009.0,Q3TTM,2008-10-01,2009-09-30,,73200000.0,48800000.0,5300000.0,158800000.0,7100000.0,346800000.0,-79300000.0,-962800000.0,1158100000.0,-79300000.0,-962800000.0,1158100000.0,121300000.0,695000000.0,695000000.0,231100000.0,-10600000.0,-101900000.0,-3781200000.0,,-320700000.0,,2769600000.0
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2009.0,Q3,2009-07-01,2009-09-30,,18900000.0,,-100000.0,19300000.0,4600000.0,346800000.0,258800000.0,-332300000.0,245500000.0,258800000.0,-332300000.0,245500000.0,171900000.0,221100000.0,221100000.0,-13800000.0,,-27200000.0,-945900000.0,,-65400000.0,,613600000.0
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-03 10:16:22+00:00,55000000.0,,200000.0,163700000.0,6300000.0,346800000.0,55800000.0,-738900000.0,853600000.0,55800000.0,-738900000.0,853600000.0,170700000.0,653200000.0,653200000.0,-18300000.0,-500000.0,-77100000.0,-2807600000.0,,-219700000.0,0.0,2068700000.0
