company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otherincome,otheroperatingexpenses,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Mosaic Co,MOS,2YD5STGSJNMUB7H76907,1285785,2010.0,Q4,2010-03-01,2010-05-31,,-0.47,-0.47,,-0.47,,-83200000.0,-211500000.0,-220800000.0,-208400000.0,-3100000.0,-2637700000.0,-3166900000.0,9300000.0,3500000.0,,,-194900000.0,-2637700000.0,-529200000.0,-26800000.0,,-194900000.0,-334300000.0,30300000.0,-304000000.0,-3166900000.0,,,
Mosaic Co,MOS,2YD5STGSJNMUB7H76907,1285785,2010.0,Q3YTD,2009-06-01,2010-02-28,,0.47,0.47,,0.47,,83200000.0,211500000.0,220800000.0,208400000.0,3100000.0,2637700000.0,3166900000.0,-9300000.0,-3500000.0,,,194900000.0,2637700000.0,529200000.0,26800000.0,,194900000.0,334300000.0,-30300000.0,304000000.0,3166900000.0,,,
Mosaic Co,MOS,2YD5STGSJNMUB7H76907,1285785,2010.0,Q2YTD,2009-06-01,2009-11-30,,0.47,0.47,,0.47,,83200000.0,211500000.0,220800000.0,208400000.0,3100000.0,2637700000.0,3166900000.0,-9300000.0,-3500000.0,,,194900000.0,2637700000.0,529200000.0,26800000.0,,194900000.0,334300000.0,-30300000.0,304000000.0,3166900000.0,449200000.0,445000000.0,446500000.0
Mosaic Co,MOS,2YD5STGSJNMUB7H76907,1285785,2010.0,Q2,2009-09-01,2009-11-30,2011-01-06 15:25:10+00:00,0.24,0.24,,0.24,,50400000.0,109000000.0,120800000.0,107800000.0,1200000.0,1402700000.0,1709700000.0,-11800000.0,-17000000.0,,,106900000.0,1402700000.0,307000000.0,11900000.0,0.0,106900000.0,200100000.0,-28900000.0,171200000.0,1709700000.0,449200000.0,445000000.0,446500000.0
Mosaic Co,MOS,2YD5STGSJNMUB7H76907,1285785,2010.0,Q1,2009-06-01,2009-08-31,2010-10-29 12:23:56+00:00,0.23,0.23,,0.23,,32800000.0,102500000.0,100000000.0,100600000.0,1900000.0,1235000000.0,1457200000.0,2500000.0,13500000.0,,,88000000.0,1235000000.0,222200000.0,14900000.0,,88000000.0,134200000.0,-1400000.0,132800000.0,1457200000.0,437400000.0,444600000.0,446300000.0
Mosaic Co,MOS,2YD5STGSJNMUB7H76907,1285785,2011.0,Q4,2011-03-01,2011-05-31,,5.64,5.64,0.2,5.62,,752800000.0,2513500000.0,2518500000.0,2514600000.0,-1100000.0,6816000000.0,9937800000.0,-5000000.0,-73400000.0,,,457600000.0,6816000000.0,3121800000.0,,680500000.0,457600000.0,2664200000.0,607100000.0,3271300000.0,9937800000.0,445900000.0,446000000.0,447500000.0
Mosaic Co,MOS,2YD5STGSJNMUB7H76907,1285785,2011.0,FY,2010-06-01,2011-05-31,2014-02-18 17:03:46+00:00,5.64,5.64,0.2,5.62,0.0,752800000.0,2513500000.0,2518500000.0,2514600000.0,-1100000.0,6816000000.0,9937800000.0,-5000000.0,-73400000.0,,,457600000.0,6816000000.0,3121800000.0,,680500000.0,457600000.0,2664200000.0,607100000.0,3271300000.0,9937800000.0,445900000.0,446000000.0,447500000.0
Mosaic Co,MOS,2YD5STGSJNMUB7H76907,1285785,2011.0,Q3TTM,2010-03-01,2011-02-28,,-0.47,-0.47,,-0.47,,-83200000.0,-211500000.0,-220800000.0,-208400000.0,-3100000.0,-2637700000.0,-3166900000.0,9300000.0,3500000.0,,,-194900000.0,-2637700000.0,-529200000.0,-26800000.0,,-194900000.0,-334300000.0,30300000.0,-304000000.0,-3166900000.0,,,
Mosaic Co,MOS,2YD5STGSJNMUB7H76907,1285785,2011.0,Q2TTM,2009-12-01,2010-11-30,,-0.47,-0.47,,-0.47,,-83200000.0,-211500000.0,-220800000.0,-208400000.0,-3100000.0,-2637700000.0,-3166900000.0,9300000.0,3500000.0,,,-194900000.0,-2637700000.0,-529200000.0,-26800000.0,,-194900000.0,-334300000.0,30300000.0,-304000000.0,-3166900000.0,,,
Mosaic Co,MOS,2YD5STGSJNMUB7H76907,1285785,2011.0,Q1TTM,2009-09-01,2010-08-31,,-0.23,-0.23,,-0.23,,-32800000.0,-102500000.0,-100000000.0,-100600000.0,-1900000.0,-1235000000.0,-1457200000.0,-2500000.0,-13500000.0,,,-88000000.0,-1235000000.0,-222200000.0,-14900000.0,,-88000000.0,-134200000.0,1400000.0,-132800000.0,-1457200000.0,,,
Mosaic Co,MOS,2YD5STGSJNMUB7H76907,1285785,2012.0,Q4,2012-03-01,2012-05-31,,2.39,2.39,0.28,2.38,,393700000.0,1033300000.0,1025100000.0,1033300000.0,,4221800000.0,5903800000.0,8200000.0,7900000.0,,,281600000.0,4221800000.0,1682000000.0,8200000.0,18700000.0,281600000.0,1400400000.0,18400000.0,1418800000.0,5903800000.0,434700000.0,435200000.0,436500000.0
