company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Iqvia Holdings Inc,IQV,,1478242,2011.0,FY,2011-01-01,2011-12-31,2014-02-13 11:01:39+00:00,2.08,2.08,,2.05,12295000.0,15105000.0,240327000.0,240327000.0,241772000.0,-1445000.0,3185787000.0,4327748000.0,70757000.0,-9073000.0,22116000.0,762299000.0,3185787000.0,1141961000.0,155442000.0,3939000.0,796710000.0,345251000.0,-160576000.0,184675000.0,4327748000.0,116200000.0,116232000.0,117936000.0
Iqvia Holdings Inc,IQV,,1478242,2012.0,Q4,2012-10-01,2012-12-31,,0.3,0.3,,0.3,,20013000.0,34836000.0,34836000.0,34974000.0,-138000.0,961303000.0,1278588000.0,-236000.0,-1156000.0,7222000.0,215636000.0,961303000.0,317285000.0,39658000.0,1472000.0,222858000.0,94427000.0,-39342000.0,55085000.0,1278588000.0,116000000.0,115710000.0,117796000.0
Iqvia Holdings Inc,IQV,,1478242,2012.0,FY,2012-01-01,2012-12-31,2015-02-12 10:51:32+00:00,1.53,1.53,,1.51,,93364000.0,176631000.0,176631000.0,177546000.0,-915000.0,3632582000.0,4865513000.0,2567000.0,3572000.0,18741000.0,817755000.0,3632582000.0,1232931000.0,135646000.0,3067000.0,836496000.0,396435000.0,-129007000.0,267428000.0,4865513000.0,116000000.0,115710000.0,117796000.0
Iqvia Holdings Inc,IQV,,1478242,2012.0,Q3YTD,2012-01-01,2012-09-30,,1.23,1.23,,1.21,,73351000.0,141795000.0,141795000.0,142572000.0,-777000.0,2671279000.0,3586925000.0,2803000.0,4728000.0,11519000.0,602119000.0,2671279000.0,915646000.0,95988000.0,1595000.0,613638000.0,302008000.0,-89665000.0,212343000.0,3586925000.0,115800000.0,115691000.0,117835000.0
Iqvia Holdings Inc,IQV,,1478242,2012.0,Q3,2012-07-01,2012-09-30,2013-10-31 12:12:09+00:00,0.45,0.45,,0.44,,21542000.0,51975000.0,51975000.0,52098000.0,-123000.0,898092000.0,1199574000.0,896000.0,-3850000.0,-434000.0,192780000.0,898092000.0,301482000.0,33513000.0,848000.0,192346000.0,109136000.0,-36515000.0,72621000.0,1199574000.0,115800000.0,115691000.0,117835000.0
Iqvia Holdings Inc,IQV,,1478242,2012.0,Q2YTD,2012-01-01,2012-06-30,,0.78,0.78,,0.77,,51809000.0,89820000.0,89820000.0,90474000.0,-654000.0,1773187000.0,2387351000.0,1907000.0,8578000.0,11953000.0,409339000.0,1773187000.0,614164000.0,62475000.0,747000.0,421292000.0,192872000.0,-53150000.0,139722000.0,2387351000.0,115100000.0,115670000.0,117706000.0
Iqvia Holdings Inc,IQV,,1478242,2012.0,Q2,2012-04-01,2012-06-30,2013-08-01 09:40:08+00:00,0.41,0.41,,0.4,,27558000.0,47012000.0,47012000.0,47201000.0,-189000.0,914075000.0,1230767000.0,334000.0,6159000.0,12263000.0,203544000.0,914075000.0,316692000.0,33130000.0,322000.0,215807000.0,100885000.0,-26649000.0,74236000.0,1230767000.0,115100000.0,115670000.0,117706000.0
Iqvia Holdings Inc,IQV,,1478242,2012.0,Q1,2012-01-01,2012-03-31,2013-05-13 19:49:59+00:00,0.37,0.37,,0.37,,24251000.0,42808000.0,42808000.0,43273000.0,-465000.0,859112000.0,1156584000.0,1573000.0,2419000.0,-310000.0,205795000.0,859112000.0,297472000.0,29345000.0,425000.0,205485000.0,91987000.0,-26501000.0,65486000.0,1156584000.0,117000000.0,115808000.0,117551000.0
Iqvia Holdings Inc,IQV,,1478242,2013.0,FY,2013-01-01,2013-12-31,2016-02-11 09:44:13+00:00,1.83,1.83,,1.77,0.0,95965000.0,226027000.0,226027000.0,226591000.0,-564000.0,3762631000.0,5099545000.0,-1124000.0,185000.0,14071000.0,860510000.0,3762631000.0,1336914000.0,143339000.0,3937000.0,874581000.0,462333000.0,-139217000.0,323116000.0,5099545000.0,123800000.0,124147000.0,127862000.0
Iqvia Holdings Inc,IQV,,1478242,2013.0,Q4,2013-10-01,2013-12-31,,0.58,0.58,,0.56,,27558000.0,72934000.0,72934000.0,72996000.0,-62000.0,1017202000.0,1379185000.0,450000.0,1563000.0,2174000.0,232797000.0,1017202000.0,361983000.0,30114000.0,1581000.0,234971000.0,127012000.0,-26970000.0,100042000.0,1379185000.0,123800000.0,124147000.0,127862000.0
Iqvia Holdings Inc,IQV,,1478242,2013.0,Q3YTD,2013-01-01,2013-09-30,,1.25,1.25,,1.21,,68407000.0,153093000.0,153093000.0,153595000.0,-502000.0,2745429000.0,3720360000.0,-1574000.0,-1378000.0,11897000.0,627713000.0,2745429000.0,974931000.0,113225000.0,2356000.0,639610000.0,335321000.0,-112247000.0,223074000.0,3720360000.0,128400000.0,128923000.0,133267000.0
