company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accumulateddepreciation,aoci,capitalleaseobligations,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxliabilities,goodwill,grossppe,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,othertaxespayable,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
ONEOK Inc,OKE,2T3D6M0JSY48PSZI1Q41,1039684,2008.0,FY,,2008-12-31,2010-10-12 17:03:54+00:00,1122761000.0,1265300000.0,2212850000.0,-70616000.0,,510058000.0,,1302369000.0,,1038226000.0,9476619000.0,4112581000.0,755492000.0,858966000.0,7263769000.0,1079369000.0,,890815000.0,743278000.0,682808000.0,,,690973000.0,761363000.0,,,,1553033000.0,2388195000.0,,13126062000.0,2088170000.0,3377602000.0,4193764000.0,2088170000.0,3167539000.0,9958523000.0,13126062000.0,2484691000.0,5764759000.0,,-696616000.0
ONEOK Inc,OKE,2T3D6M0JSY48PSZI1Q41,1039684,2009.0,FY,,2009-12-31,2011-02-22 16:32:52+00:00,1240207000.0,1437994000.0,2352142000.0,-118613000.0,,29399000.0,,1323564000.0,,1030560000.0,10145800000.0,4334204000.0,765163000.0,583127000.0,7793658000.0,1238268000.0,,1037665000.0,537944000.0,948620000.0,,,649838000.0,671440000.0,,,,1685710000.0,1150085000.0,,12827683000.0,2207194000.0,2588464000.0,3338912000.0,2207194000.0,3445462000.0,9382221000.0,12827683000.0,2445561000.0,6043309000.0,,-683467000.0
ONEOK Inc,OKE,2T3D6M0JSY48PSZI1Q41,1039684,2009.0,Q3,,2009-09-30,2009-11-05 14:59:22+00:00,766580000.0,726719000.0,2311810000.0,-118540000.0,,52180000.0,,1318390000.0,,1032476000.0,10010406000.0,4340211000.0,774347000.0,657403000.0,7698596000.0,1260160000.0,,893213000.0,420660000.0,785671000.0,,,667089000.0,751810000.0,,,,1636572000.0,1092210000.0,,12029470000.0,2139615000.0,1856962000.0,2644461000.0,2139615000.0,3399775000.0,8629695000.0,12029470000.0,2473912000.0,5985234000.0,,-696807000.0
ONEOK Inc,OKE,2T3D6M0JSY48PSZI1Q41,1039684,2009.0,Q2,,2009-06-30,2009-08-06 13:54:37+00:00,826414000.0,771196000.0,2289760000.0,-82960000.0,,47038000.0,0.0,1309363000.0,,1034393000.0,9880620000.0,4346285000.0,735394000.0,564530000.0,7590860000.0,1250473000.0,,867015000.0,411151000.0,652514000.0,,,679161000.0,770514000.0,,,,1632795000.0,958115000.0,,11833723000.0,2162393000.0,1793915000.0,2437043000.0,2162393000.0,3412866000.0,8420857000.0,11833723000.0,2448948000.0,5983814000.0,,-696805000.0
ONEOK Inc,OKE,2T3D6M0JSY48PSZI1Q41,1039684,2010.0,FY,,2010-12-31,2012-02-21 16:08:31+00:00,1212323000.0,1283891000.0,2540873000.0,-108802000.0,,30341000.0,0.0,1393899000.0,,1022894000.0,9853821000.0,3686542000.0,1188124000.0,706912000.0,7312948000.0,1472218000.0,,1171997000.0,244375000.0,726808000.0,59525000.0,12209000.0,595474000.0,568364000.0,,,,1826800000.0,1200091000.0,54691000.0,12499175000.0,2448623000.0,2379735000.0,3151431000.0,2448623000.0,3920841000.0,8578334000.0,12499175000.0,2806492000.0,5426903000.0,,-663274000.0
ONEOK Inc,OKE,2T3D6M0JSY48PSZI1Q41,1039684,2010.0,Q3,,2010-09-30,2010-11-03 15:34:56+00:00,885017000.0,858819000.0,2490417000.0,-90268000.0,,50483000.0,,1383884000.0,,1024810000.0,9629389000.0,3692043000.0,1194087000.0,703677000.0,7138972000.0,1480916000.0,,1127023000.0,375797000.0,742308000.0,,,583108000.0,618351000.0,,,,1794842000.0,969616000.0,,11929753000.0,2414479000.0,1988776000.0,2596941000.0,2414479000.0,3895395000.0,8034358000.0,11929753000.0,2802005000.0,5437417000.0,,-673979000.0
ONEOK Inc,OKE,2T3D6M0JSY48PSZI1Q41,1039684,2010.0,Q2,,2010-06-30,2010-08-05 13:18:11+00:00,830015000.0,904325000.0,2457162000.0,-103486000.0,,103251000.0,,1376317000.0,,1026726000.0,10304502000.0,3697585000.0,757232000.0,572941000.0,7847340000.0,1483345000.0,,1053931000.0,297738000.0,722368000.0,,,610358000.0,622213000.0,,,,1788501000.0,1323225000.0,,12119911000.0,2387229000.0,1878255000.0,2875608000.0,2387229000.0,3870574000.0,8249337000.0,12119911000.0,2394316000.0,5373729000.0,,-674103000.0
ONEOK Inc,OKE,2T3D6M0JSY48PSZI1Q41,1039684,2010.0,Q1,,2010-03-31,2010-04-29 12:23:18+00:00,965015000.0,1202293000.0,2411431000.0,-105564000.0,,167433000.0,,1366816000.0,,1028643000.0,10205835000.0,4103333000.0,762435000.0,397254000.0,7794404000.0,1498944000.0,,1033396000.0,341748000.0,903281000.0,,,634982000.0,641306000.0,,,,1793548000.0,803220000.0,,12329192000.0,2380697000.0,2108728000.0,2671516000.0,2380697000.0,3879641000.0,8449551000.0,12329192000.0,2426060000.0,5778035000.0,,-674103000.0
ONEOK Inc,OKE,2T3D6M0JSY48PSZI1Q41,1039684,2011.0,FY,,2011-12-31,2013-02-26 16:58:41+00:00,1341718000.0,1339933000.0,2733601000.0,-206121000.0,,65953000.0,0.0,1419643000.0,,1014127000.0,11177934000.0,4529551000.0,1223398000.0,549915000.0,8444333000.0,1561159000.0,,1446591000.0,248595000.0,685269000.0,74136000.0,12815000.0,695965000.0,674586000.0,,,,1960374000.0,1206373000.0,40280000.0,13696635000.0,2238573000.0,2318812000.0,3246175000.0,2238573000.0,3799732000.0,9896903000.0,13696635000.0,2933490000.0,6650728000.0,,-935323000.0
ONEOK Inc,OKE,2T3D6M0JSY48PSZI1Q41,1039684,2011.0,Q3,,2011-09-30,2011-11-02 15:03:44+00:00,1241633000.0,1141132000.0,2690104000.0,-174573000.0,,148407000.0,0.0,1405316000.0,,1016044000.0,10709417000.0,4532053000.0,1224397000.0,658059000.0,8019313000.0,1496100000.0,,1386959000.0,308144000.0,719878000.0,,,599327000.0,593288000.0,,,,1903056000.0,1015253000.0,56301000.0,13171124000.0,2185960000.0,2312043000.0,2976764000.0,2185960000.0,3682060000.0,9489064000.0,13171124000.0,2839768000.0,6512300000.0,,-947839000.0
ONEOK Inc,OKE,2T3D6M0JSY48PSZI1Q41,1039684,2011.0,Q1,,2011-03-31,2011-05-04 14:56:11+00:00,1131922000.0,1280125000.0,2597547000.0,-135137000.0,,870086000.0,,1385515000.0,,1020977000.0,10036440000.0,4976458000.0,1186588000.0,407671000.0,7438893000.0,1457934000.0,,1223250000.0,237892000.0,751484000.0,,,597364000.0,581222000.0,,,,1901279000.0,418242000.0,,13039596000.0,2499084000.0,2795774000.0,2301648000.0,2499084000.0,3957018000.0,9082578000.0,13039596000.0,2804929000.0,6780930000.0,,-652573000.0
ONEOK Inc,OKE,2T3D6M0JSY48PSZI1Q41,1039684,2012.0,FY,,2012-12-31,2014-02-25 17:04:24+00:00,1333489000.0,1349371000.0,2974651000.0,-216798000.0,,583618000.0,0.0,1327156000.0,,996206000.0,13088991000.0,6515372000.0,1221405000.0,517014000.0,10114340000.0,2102841000.0,,1592802000.0,266080000.0,651480000.0,,,758664000.0,701657000.0,,,,2059024000.0,828025000.0,48577000.0,15855275000.0,2129609000.0,2764660000.0,2812994000.0,2129609000.0,4232450000.0,11622825000.0,15855275000.0,2976275000.0,8809831000.0,,-1039773000.0
ONEOK Inc,OKE,2T3D6M0JSY48PSZI1Q41,1039684,2012.0,Q3,,2012-09-30,2012-10-31 16:22:32+00:00,1153750000.0,984724000.0,2914496000.0,-240476000.0,,978825000.0,0.0,1339503000.0,,998122000.0,12404878000.0,6517464000.0,1218282000.0,644719000.0,9490382000.0,2109853000.0,,1539960000.0,277438000.0,597476000.0,0.0,0.0,701491000.0,692211000.0,,,,2015008000.0,687887000.0,70324000.0,15364307000.0,2065706000.0,2956030000.0,2439113000.0,2065706000.0,4175559000.0,11188748000.0,15364307000.0,2917895000.0,8749635000.0,,-1048329000.0
