company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
F5 Networks Inc,FFIV,,1048695,2008.0,FY,2007-10-01,2008-09-30,2010-11-23 11:33:44+00:00,-995000.0,48804000.0,,23623000.0,35893000.0,18502000.0,,-181719000.0,13710000.0,193692000.0,-181719000.0,13710000.0,193692000.0,25683000.0,74331000.0,74331000.0,59845000.0,-221000.0,1216000.0,-494082000.0,-27923000.0,,-200000000.0,535494000.0,
F5 Networks Inc,FFIV,,1048695,2009.0,Q4,2009-07-01,2009-09-30,,,48586000.0,,5975000.0,8385000.0,3362000.0,,-19963000.0,-16573000.0,58616000.0,-19963000.0,-16573000.0,58616000.0,22080000.0,28350000.0,28350000.0,15906000.0,800000.0,8000.0,-85163000.0,-3437000.0,,-24125000.0,72019000.0,
F5 Networks Inc,FFIV,,1048695,2009.0,FY,2008-10-01,2009-09-30,2011-11-21 20:23:12+00:00,-706000.0,48586000.0,,26407000.0,25346000.0,18688000.0,,-70706000.0,-99109000.0,201981000.0,-70706000.0,-99109000.0,201981000.0,32166000.0,91535000.0,91535000.0,58693000.0,-1958000.0,13000.0,-414857000.0,-11669000.0,,-87436000.0,328110000.0,
F5 Networks Inc,FFIV,,1048695,2009.0,Q3YTD,2008-10-01,2009-06-30,2010-08-06 12:44:18+00:00,-706000.0,,,20432000.0,16961000.0,15326000.0,,-50743000.0,-82536000.0,143365000.0,-50743000.0,-82536000.0,143365000.0,10086000.0,63185000.0,63185000.0,42787000.0,-2758000.0,5000.0,-329694000.0,-8232000.0,,-63311000.0,256091000.0,
F5 Networks Inc,FFIV,,1048695,2010.0,Q4,2010-07-01,2010-09-30,,,67120000.0,,5910000.0,12060000.0,2332000.0,,-7555000.0,-54708000.0,86391000.0,-7555000.0,-54708000.0,86391000.0,24128000.0,48235000.0,48235000.0,20186000.0,10113000.0,2556000.0,-305931000.0,-2506000.0,,-20000000.0,251173000.0,
F5 Networks Inc,FFIV,,1048695,2010.0,FY,2009-10-01,2010-09-30,2012-11-21 12:00:43+00:00,,67120000.0,,23833000.0,66772000.0,31670000.0,,-16798000.0,-238223000.0,313612000.0,-16798000.0,-238223000.0,313612000.0,58591000.0,151153000.0,151153000.0,71854000.0,26532000.0,2530000.0,-877003000.0,-12625000.0,,-75000000.0,648875000.0,
F5 Networks Inc,FFIV,,1048695,2010.0,Q3TTM,2009-07-01,2010-06-30,,,48586000.0,,23898000.0,63097000.0,32700000.0,,-29206000.0,-200088000.0,285837000.0,-29206000.0,-200088000.0,285837000.0,56543000.0,131268000.0,131268000.0,67574000.0,17219000.0,-18000.0,-656235000.0,-13556000.0,,-79125000.0,469721000.0,
F5 Networks Inc,FFIV,,1048695,2010.0,Q3,2010-04-01,2010-06-30,,,,,5835000.0,10102000.0,10189000.0,,-3092000.0,-75838000.0,75309000.0,-3092000.0,-75838000.0,75309000.0,-3621000.0,40495000.0,40495000.0,18877000.0,6719000.0,-4000.0,-239662000.0,-3279000.0,,-20000000.0,167107000.0,
F5 Networks Inc,FFIV,,1048695,2010.0,Q3YTD,2009-10-01,2010-06-30,2011-08-05 12:58:16+00:00,,,,17923000.0,54712000.0,29338000.0,,-9243000.0,-183515000.0,227221000.0,-9243000.0,-183515000.0,227221000.0,34463000.0,102918000.0,102918000.0,51668000.0,16419000.0,-26000.0,-571072000.0,-10119000.0,,-55000000.0,397702000.0,
F5 Networks Inc,FFIV,,1048695,2010.0,Q2,2010-01-01,2010-03-31,,,,,6094000.0,21607000.0,5422000.0,,-9563000.0,-66679000.0,77920000.0,-9563000.0,-66679000.0,77920000.0,1678000.0,33144000.0,33144000.0,17075000.0,5015000.0,-21000.0,-211738000.0,-3192000.0,,-20000000.0,148272000.0,
