company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
F5 Networks Inc,FFIV,,1048695,2008.0,FY,2007-10-01,2008-09-30,2010-11-23 11:33:44+00:00,0.9,0.9,0.89,43933000.0,237175000.0,74331000.0,74331000.0,74331000.0,149018000.0,650173000.0,18950000.0,5271000.0,103394000.0,,56001000.0,149018000.0,501155000.0,401841000.0,99314000.0,18950000.0,118264000.0,650173000.0,82600000.0,82290000.0,83428000.0
F5 Networks Inc,FFIV,,1048695,2009.0,FY,2008-10-01,2009-09-30,2011-11-21 20:23:12+00:00,1.16,1.16,1.14,40113000.0,225193000.0,91535000.0,91535000.0,91535000.0,142726000.0,653079000.0,9724000.0,,103664000.0,4329000.0,55243000.0,142726000.0,510353000.0,388429000.0,121924000.0,9724000.0,131648000.0,653079000.0,78900000.0,78842000.0,80073000.0
F5 Networks Inc,FFIV,,1048695,2009.0,Q3,2009-04-01,2009-06-30,2010-08-06 12:44:18+00:00,,0.29,0.29,11556000.0,55427000.0,22776000.0,22776000.0,22776000.0,33665000.0,158231000.0,3027000.0,,25070000.0,0.0,12764000.0,33665000.0,124566000.0,93261000.0,31305000.0,3027000.0,34332000.0,158231000.0,,78603000.0,79612000.0
F5 Networks Inc,FFIV,,1048695,2010.0,Q4,2010-07-01,2010-09-30,,0.97,0.6,0.59,28136000.0,80696000.0,48235000.0,48235000.0,48235000.0,46828000.0,254274000.0,68000.0,,31571000.0,,18876000.0,46828000.0,207446000.0,131143000.0,76303000.0,68000.0,76371000.0,254274000.0,79600000.0,79609000.0,81049000.0
F5 Networks Inc,FFIV,,1048695,2010.0,FY,2009-10-01,2010-09-30,2012-11-21 12:00:43+00:00,1.9,1.9,1.86,86474000.0,293201000.0,151153000.0,151153000.0,151153000.0,171952000.0,881972000.0,7625000.0,,118314000.0,,68503000.0,171952000.0,710020000.0,480018000.0,230002000.0,7625000.0,237627000.0,881972000.0,79600000.0,79609000.0,81049000.0
F5 Networks Inc,FFIV,,1048695,2010.0,Q3YTD,2009-10-01,2010-06-30,,0.93,1.3,1.27,58338000.0,212505000.0,102918000.0,102918000.0,102918000.0,125124000.0,627698000.0,7557000.0,,86743000.0,,49627000.0,125124000.0,502574000.0,348875000.0,153699000.0,7557000.0,161256000.0,627698000.0,79400000.0,79864000.0,81031000.0
F5 Networks Inc,FFIV,,1048695,2010.0,Q3,2010-04-01,2010-06-30,2011-08-05 12:58:16+00:00,0.51,0.51,0.5,23195000.0,77219000.0,40495000.0,40495000.0,40495000.0,44579000.0,230474000.0,3561000.0,,30889000.0,,17658000.0,44579000.0,185895000.0,125766000.0,60129000.0,3561000.0,63690000.0,230474000.0,79400000.0,79864000.0,81031000.0
F5 Networks Inc,FFIV,,1048695,2010.0,Q2YTD,2009-10-01,2010-03-31,,0.42,0.79,0.77,35143000.0,135286000.0,62423000.0,62423000.0,62423000.0,80545000.0,397224000.0,3996000.0,,55854000.0,,31969000.0,80545000.0,316679000.0,223109000.0,93570000.0,3996000.0,97566000.0,397224000.0,78900000.0,79394000.0,80737000.0
F5 Networks Inc,FFIV,,1048695,2010.0,Q2,2010-01-01,2010-03-31,2011-05-06 12:11:35+00:00,0.42,0.42,0.41,19005000.0,69644000.0,33144000.0,33144000.0,33144000.0,41416000.0,206068000.0,2291000.0,,29134000.0,,16016000.0,41416000.0,164652000.0,114794000.0,49858000.0,2291000.0,52149000.0,206068000.0,78900000.0,79394000.0,80737000.0
F5 Networks Inc,FFIV,,1048695,2010.0,Q1,2009-10-01,2009-12-31,2011-02-07 14:45:44+00:00,,0.37,0.36,16138000.0,65642000.0,29279000.0,29279000.0,29279000.0,39129000.0,191156000.0,1705000.0,,26720000.0,,15953000.0,39129000.0,152027000.0,108315000.0,43712000.0,1705000.0,45417000.0,191156000.0,,78906000.0,80333000.0
