company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Lowe's Companies Inc,LOW,WAFCR4OKGSC504WU3E95,60667,2007.0,FY,2007-02-03,2008-02-01,2010-03-31 17:03:22+00:00,1.89,1.89,0.29,1366000000.0,1.86,1702000000.0,2809000000.0,2809000000.0,2809000000.0,31556000000.0,48283000000.0,141000000.0,10515000000.0,31556000000.0,16727000000.0,194000000.0,12022000000.0,4705000000.0,-194000000.0,4511000000.0,48283000000.0,1486200000.0,1486200000.0,1510200000.0
Lowe's Companies Inc,LOW,WAFCR4OKGSC504WU3E95,60667,2008.0,FY,2008-02-02,2009-01-30,2011-03-29 08:26:52+00:00,1.5,1.5,0.335,1539000000.0,1.49,1311000000.0,2195000000.0,2195000000.0,2195000000.0,31729000000.0,48230000000.0,,11176000000.0,31729000000.0,16501000000.0,280000000.0,12715000000.0,3786000000.0,-280000000.0,3506000000.0,48230000000.0,1457000000.0,1457000000.0,1457000000.0
Lowe's Companies Inc,LOW,WAFCR4OKGSC504WU3E95,60667,2008.0,Q3,2008-08-02,2008-10-31,2009-12-01 16:40:03+00:00,0.33,0.33,0.085,385000000.0,0.33,290000000.0,488000000.0,488000000.0,488000000.0,7743000000.0,11728000000.0,31000000.0,2726000000.0,7743000000.0,3985000000.0,65000000.0,3142000000.0,843000000.0,-65000000.0,778000000.0,11728000000.0,1478800000.0,1459000000.0,1461000000.0
Lowe's Companies Inc,LOW,WAFCR4OKGSC504WU3E95,60667,2008.0,Q2,2008-05-03,2008-08-01,2009-09-01 17:09:07+00:00,0.64,0.64,0.085,381000000.0,0.63,559000000.0,938000000.0,938000000.0,938000000.0,9527000000.0,14509000000.0,21000000.0,3014000000.0,9527000000.0,4982000000.0,69000000.0,3416000000.0,1566000000.0,-69000000.0,1497000000.0,14509000000.0,1465600000.0,1455000000.0,1470000000.0
Lowe's Companies Inc,LOW,WAFCR4OKGSC504WU3E95,60667,2009.0,Q4,2009-10-31,2010-01-29,,-0.74,-0.74,-0.18,-811000000.0,-0.74,-641000000.0,-1103000000.0,-1103000000.0,-1103000000.0,-16506000000.0,-25219000000.0,,-6005000000.0,-16506000000.0,-8713000000.0,-153000000.0,-6816000000.0,-1897000000.0,153000000.0,-1744000000.0,-25219000000.0,,,
Lowe's Companies Inc,LOW,WAFCR4OKGSC504WU3E95,60667,2009.0,Q3,2009-08-01,2009-10-30,2010-12-01 14:02:12+00:00,0.23,0.23,0.09,403000000.0,0.23,184000000.0,344000000.0,344000000.0,344000000.0,7485000000.0,11375000000.0,,2882000000.0,7485000000.0,3890000000.0,77000000.0,3285000000.0,605000000.0,-77000000.0,528000000.0,11375000000.0,1495700000.0,1466000000.0,1469000000.0
Lowe's Companies Inc,LOW,WAFCR4OKGSC504WU3E95,60667,2009.0,Q3YTD,2009-01-31,2009-10-30,,0.74,0.74,0.18,811000000.0,0.74,641000000.0,1103000000.0,1103000000.0,1103000000.0,16506000000.0,25219000000.0,,6005000000.0,16506000000.0,8713000000.0,153000000.0,6816000000.0,1897000000.0,-153000000.0,1744000000.0,25219000000.0,1495700000.0,1466000000.0,1469000000.0
Lowe's Companies Inc,LOW,WAFCR4OKGSC504WU3E95,60667,2009.0,Q2,2009-05-02,2009-07-31,2010-08-31 16:33:17+00:00,0.51,0.51,0.09,408000000.0,0.51,457000000.0,759000000.0,759000000.0,759000000.0,9021000000.0,13844000000.0,,3123000000.0,9021000000.0,4823000000.0,76000000.0,3531000000.0,1292000000.0,-76000000.0,1216000000.0,13844000000.0,1488200000.0,1464000000.0,1466000000.0
Lowe's Companies Inc,LOW,WAFCR4OKGSC504WU3E95,60667,2009.0,Q2YTD,2009-01-31,2009-07-31,,0.51,0.51,0.09,408000000.0,0.51,457000000.0,759000000.0,759000000.0,759000000.0,9021000000.0,13844000000.0,,3123000000.0,9021000000.0,4823000000.0,76000000.0,3531000000.0,1292000000.0,-76000000.0,1216000000.0,13844000000.0,1488200000.0,1464000000.0,1466000000.0
Lowe's Companies Inc,LOW,WAFCR4OKGSC504WU3E95,60667,2010.0,Q4,2010-10-30,2011-01-28,,0.21,0.21,0.11,392000000.0,0.21,171000000.0,285000000.0,285000000.0,285000000.0,6752000000.0,10479000000.0,,2793000000.0,6752000000.0,3727000000.0,86000000.0,3185000000.0,542000000.0,-86000000.0,456000000.0,10479000000.0,1401000000.0,1401000000.0,1401000000.0
