company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
AutoNation Inc,AN,,350698,2008.0,FY,2008-01-01,2008-12-31,2011-02-14 20:18:08+00:00,-32200000.0,5300000.0,84000000.0,49600000.0,64100000.0,538000000.0,-505400000.0,-69400000.0,652900000.0,-26800000.0,-5700000.0,31300000.0,-532200000.0,-75100000.0,684200000.0,76900000.0,-1243100000.0,-1212300000.0,-30800000.0,1711800000.0,9200000.0,9100000.0,-2000000.0,-110200000.0,-993800000.0,-58800000.0,13000000.0,3300000.0
AutoNation Inc,AN,,350698,2009.0,FY,2009-01-01,2009-12-31,2012-02-13 17:28:34+00:00,-200000.0,3200000.0,76700000.0,65900000.0,49300000.0,0.0,-289900000.0,13900000.0,340600000.0,-30000000.0,100000.0,28700000.0,-319900000.0,14000000.0,369300000.0,63400000.0,198000000.0,233100000.0,-35100000.0,-21700000.0,-71900000.0,4200000.0,,-75400000.0,-81900000.0,-136100000.0,5100000.0,14300000.0
AutoNation Inc,AN,,350698,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-09 17:08:45+00:00,-200000.0,1900000.0,38700000.0,40500000.0,84800000.0,0.0,-211100000.0,21900000.0,208400000.0,-22900000.0,0.0,22500000.0,-234000000.0,21900000.0,230900000.0,18800000.0,71300000.0,106600000.0,-35300000.0,-23600000.0,-142400000.0,700000.0,,-34100000.0,-68600000.0,-100000.0,3000000.0,12000000.0
AutoNation Inc,AN,,350698,2010.0,Q4,2010-10-01,2010-12-31,,,1100000.0,19600000.0,600000.0,-31200000.0,-20000000.0,27400000.0,-67000000.0,50100000.0,-4000000.0,100000.0,4000000.0,23400000.0,-66900000.0,54100000.0,10600000.0,67300000.0,68100000.0,-800000.0,-7500000.0,76400000.0,2100000.0,,-81500000.0,-11900000.0,-17100000.0,,11800000.0
AutoNation Inc,AN,,350698,2010.0,FY,2010-01-01,2010-12-31,2013-02-15 06:05:22+00:00,-73100000.0,3500000.0,76800000.0,13000000.0,-84000000.0,699000000.0,-125900000.0,-200000000.0,246500000.0,-4100000.0,-200000.0,5300000.0,-130000000.0,-200200000.0,251800000.0,-78400000.0,226600000.0,235300000.0,-8700000.0,14900000.0,174600000.0,2800000.0,,-161800000.0,-475100000.0,-524400000.0,1300000.0,17800000.0
AutoNation Inc,AN,,350698,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-10-21 17:24:51+00:00,-73100000.0,2400000.0,57200000.0,12400000.0,-52800000.0,719000000.0,-153300000.0,-133000000.0,196400000.0,-100000.0,-300000.0,1300000.0,-153400000.0,-133300000.0,197700000.0,-89000000.0,159300000.0,167200000.0,-7900000.0,22400000.0,98200000.0,700000.0,,-80300000.0,-463200000.0,-507300000.0,1300000.0,6000000.0
AutoNation Inc,AN,,350698,2010.0,Q1,2010-01-01,2010-03-31,2011-04-26 17:05:54+00:00,-12500000.0,600000.0,18900000.0,2900000.0,-15500000.0,0.0,-62200000.0,-21000000.0,70300000.0,1200000.0,-300000.0,-900000.0,-61000000.0,-21300000.0,69400000.0,-12900000.0,55200000.0,58800000.0,-3600000.0,7500000.0,-23000000.0,1800000.0,,-14000000.0,-1900000.0,-37300000.0,800000.0,0.0
AutoNation Inc,AN,,350698,2011.0,Q4,2011-10-01,2011-12-31,,,1100000.0,21000000.0,,-9400000.0,1140000000.0,-14500000.0,-31500000.0,65100000.0,,,200000.0,-14500000.0,-31500000.0,65300000.0,19300000.0,69400000.0,69900000.0,-500000.0,-17500000.0,83900000.0,1900000.0,,-35300000.0,-993600000.0,-244800000.0,,1900000.0
AutoNation Inc,AN,,350698,2011.0,FY,2011-01-01,2011-12-31,2014-02-13 16:43:54+00:00,-64200000.0,4300000.0,83700000.0,4900000.0,8700000.0,1440000000.0,-178700000.0,-206200000.0,375900000.0,0.0,0.0,500000.0,-178700000.0,-206200000.0,376400000.0,-8500000.0,281400000.0,284200000.0,-2800000.0,-5000000.0,140900000.0,2100000.0,,-162900000.0,-1179800000.0,-579800000.0,0.0,13900000.0
AutoNation Inc,AN,,350698,2011.0,Q3TTM,2010-10-01,2011-09-30,,-64200000.0,4300000.0,82300000.0,5500000.0,-13100000.0,280000000.0,-136800000.0,-241700000.0,360900000.0,-4000000.0,100000.0,4300000.0,-140800000.0,-241600000.0,365200000.0,-17200000.0,279300000.0,282400000.0,-3100000.0,5000000.0,133400000.0,2300000.0,,-209100000.0,-198100000.0,-352100000.0,,23800000.0
