company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,netincreaseinfedfundssold,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 07:51:04+00:00,-19816000000.0,1676000000.0,9196000000.0,51829000000.0,1168000000.0,,134000000.0,-14242000000.0,1118000000.0,100210000000.0,1558000000.0,103412000000.0,-108480000000.0,11036000000.0,103412000000.0,-108480000000.0,11036000000.0,6102000000.0,45368000000.0,14982000000.0,14982000000.0,6294000000.0,-933000000.0,216000000.0,,-10878000000.0,8385000000.0,-208138000000.0,-30390000000.0,-3790000000.0,0.0,113180000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2008.0,Q4,2008-10-01,2008-12-31,,,477000000.0,-4816000000.0,-36387000000.0,411000000.0,,44000000.0,-29742000000.0,9898000000.0,19744000000.0,15000000000.0,36192000000.0,-15478000000.0,-27242000000.0,36192000000.0,-15478000000.0,-27242000000.0,-6484000000.0,8946000000.0,-1789000000.0,-1789000000.0,4560000000.0,-5134000000.0,37000000.0,,-2033000000.0,8535000000.0,-92666000000.0,-15400000000.0,,,72628000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:27:28+00:00,,1834000000.0,-4816000000.0,-36387000000.0,1485000000.0,6650000000.0,-83000000.0,-23193000000.0,10127000000.0,43782000000.0,34742000000.0,-10695000000.0,-2930000000.0,4034000000.0,-10695000000.0,-2930000000.0,4034000000.0,-9674000000.0,14830000000.0,4008000000.0,4008000000.0,53723000000.0,-6925000000.0,-14000000.0,,-11528000000.0,26825000000.0,-266929000000.0,-102634000000.0,,,203626000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-06 17:07:00+00:00,,1357000000.0,,,1074000000.0,6650000000.0,-127000000.0,6549000000.0,229000000.0,24038000000.0,19742000000.0,-46887000000.0,12548000000.0,31276000000.0,-46887000000.0,12548000000.0,31276000000.0,-3190000000.0,5884000000.0,5797000000.0,5797000000.0,49163000000.0,-1791000000.0,-51000000.0,,-9495000000.0,18290000000.0,-174263000000.0,-87234000000.0,,,130998000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2008.0,Q3,2008-07-01,2008-09-30,,,464000000.0,,,398000000.0,6650000000.0,-85000000.0,12259000000.0,201000000.0,-13139000000.0,,-50250000000.0,30471000000.0,20078000000.0,-50250000000.0,30471000000.0,20078000000.0,214000000.0,26297000000.0,1177000000.0,1177000000.0,26681000000.0,-670000000.0,-59000000.0,,-3402000000.0,6450000000.0,-31309000000.0,-60148000000.0,,,28449000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-07 14:56:02+00:00,0.0,893000000.0,,,676000000.0,,-42000000.0,-5710000000.0,28000000.0,37177000000.0,19742000000.0,3363000000.0,-17923000000.0,11198000000.0,3363000000.0,-17923000000.0,11198000000.0,-3404000000.0,-20413000000.0,4620000000.0,4620000000.0,22482000000.0,-1121000000.0,8000000.0,,-6093000000.0,11840000000.0,-142954000000.0,-27086000000.0,,,102549000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2009.0,Q4,2009-10-01,2009-12-31,,,432000000.0,-2964000000.0,-37602000000.0,581000000.0,,269000000.0,25354000000.0,,4935000000.0,19244000000.0,-13496000000.0,-49900000000.0,32085000000.0,-13496000000.0,-49900000000.0,32054000000.0,-31073000000.0,16712000000.0,-194000000.0,-194000000.0,-2172000000.0,-4198000000.0,-5000000.0,,-1330000000.0,10110000000.0,-104713000000.0,-8052000000.0,,-45000000000.0,56985000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 16:13:53+00:00,,1978000000.0,-2964000000.0,-37602000000.0,2336000000.0,31804000000.0,394000000.0,74924000000.0,13468000000.0,67744000000.0,49244000000.0,-199568000000.0,157925000000.0,129762000000.0,-199568000000.0,157925000000.0,129731000000.0,88482000000.0,10507000000.0,6276000000.0,6276000000.0,31369000000.0,-4322000000.0,-42000000.0,0.0,-4863000000.0,48570000000.0,-191299000000.0,-290626000000.0,,-45000000000.0,286051000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-05 13:44:37+00:00,,1546000000.0,,,1755000000.0,31804000000.0,125000000.0,49570000000.0,13468000000.0,62809000000.0,30000000000.0,-186072000000.0,207825000000.0,97677000000.0,-186072000000.0,207825000000.0,97677000000.0,119555000000.0,-6205000000.0,6470000000.0,6470000000.0,33541000000.0,-124000000.0,-37000000.0,0.0,-3533000000.0,38460000000.0,-86586000000.0,-282574000000.0,,,229066000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2009.0,Q3TTM,2008-10-01,2009-09-30,,,2023000000.0,-4816000000.0,-36387000000.0,2166000000.0,31804000000.0,169000000.0,19828000000.0,23366000000.0,82553000000.0,45000000000.0,-149880000000.0,192347000000.0,70435000000.0,-149880000000.0,192347000000.0,70435000000.0,113071000000.0,2741000000.0,4681000000.0,4681000000.0,38101000000.0,-5258000000.0,,,-5566000000.0,46995000000.0,-179252000000.0,-297974000000.0,,,301694000000.0
