company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,allowanceforloanandleaselosses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,fedfundspurchased,fedfundssold,goodwill,intangibleassets,interestbearingdeposits,interestbearingdepositsatotherbanks,loansandleases,loansheldforsale,longtermdebt,mortgageservicingrights,netloansandleases,netpremisesandequipment,noninterestbearingdeposits,otherassets,otherequity,otherlongtermliabilities,retainedearnings,shorttermdebt,timedepositsplaced,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2008.0,FY,,2008-12-31,2010-02-26 07:51:04+00:00,23071000000.0,-10825000000.0,32857000000.0,0.0,76766000000.0,206598000000.0,82478000000.0,81934000000.0,8535000000.0,664999000000.0,9570000000.0,931446000000.0,31454000000.0,268292000000.0,13056000000.0,908375000000.0,13161000000.0,217998000000.0,162367000000.0,-413000000.0,94239000000.0,73823000000.0,188765000000.0,,1817943000000.0,139351000000.0,177052000000.0,177052000000.0,1640891000000.0,1817943000000.0,37701000000.0,474156000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2009.0,Q3,,2009-09-30,2009-11-06 17:07:00+00:00,35832000000.0,-6705000000.0,152412000000.0,0.0,128823000000.0,249578000000.0,187761000000.0,86009000000.0,12715000000.0,723281000000.0,22992000000.0,914266000000.0,40124000000.0,456288000000.0,17850000000.0,878434000000.0,15373000000.0,251618000000.0,280935000000.0,-156000000.0,197691000000.0,76881000000.0,114904000000.0,,2251043000000.0,198843000000.0,257683000000.0,257683000000.0,1993360000000.0,2251043000000.0,58840000000.0,556438000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2009.0,Q2,,2009-06-30,2009-08-07 14:56:02+00:00,33785000000.0,-11227000000.0,140366000000.0,0.0,128717000000.0,263639000000.0,184685000000.0,86246000000.0,13245000000.0,717425000000.0,25710000000.0,942248000000.0,50994000000.0,447187000000.0,18857000000.0,908463000000.0,15667000000.0,253317000000.0,241745000000.0,-208000000.0,170138000000.0,79210000000.0,147536000000.0,,2254394000000.0,196492000000.0,255152000000.0,255152000000.0,1999242000000.0,2254394000000.0,58660000000.0,568416000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2010.0,FY,,2010-12-31,2011-11-03 16:07:19+00:00,50820000000.0,-66000000.0,108427000000.0,0.0,150905000000.0,245359000000.0,209616000000.0,73861000000.0,9923000000.0,719129000000.0,26433000000.0,1085909000000.0,37011000000.0,519444000000.0,15177000000.0,1035089000000.0,14306000000.0,291301000000.0,274914000000.0,-2000000.0,138810000000.0,60849000000.0,122618000000.0,,2434737000000.0,211686000000.0,228248000000.0,228248000000.0,2036661000000.0,2264909000000.0,16562000000.0,629980000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2010.0,Q3,,2010-09-30,2010-11-05 13:44:37+00:00,43581000000.0,336000000.0,131116000000.0,0.0,149563000000.0,296605000000.0,271818000000.0,75602000000.0,10402000000.0,705353000000.0,18946000000.0,933910000000.0,33276000000.0,478858000000.0,12540000000.0,890329000000.0,14320000000.0,271969000000.0,266070000000.0,-23000000.0,229906000000.0,62515000000.0,126474000000.0,,2339660000000.0,212391000000.0,230495000000.0,230495000000.0,2109165000000.0,2339660000000.0,18104000000.0,615241000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2010.0,Q1,,2010-03-31,2010-05-07 07:49:12+00:00,46835000000.0,-4929000000.0,144794000000.0,0.0,149048000000.0,270601000000.0,197038000000.0,86305000000.0,11548000000.0,715018000000.0,20256000000.0,976042000000.0,35386000000.0,511653000000.0,19146000000.0,929207000000.0,15147000000.0,261084000000.0,279918000000.0,-71000000.0,218188000000.0,67811000000.0,132333000000.0,,2338700000000.0,211859000000.0,229823000000.0,229823000000.0,2108877000000.0,2338700000000.0,17964000000.0,599955000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2011.0,FY,,2011-12-31,2012-11-02 16:07:38+00:00,38849000000.0,-5437000000.0,120102000000.0,0.0,156621000000.0,214864000000.0,211183000000.0,69967000000.0,8021000000.0,693974000000.0,26004000000.0,1066394000000.0,15397000000.0,421319000000.0,7510000000.0,1027545000000.0,13637000000.0,339067000000.0,217454000000.0,,128726000000.0,60520000000.0,100995000000.0,,2280807000000.0,211704000000.0,230101000000.0,230101000000.0,1898945000000.0,2129046000000.0,18397000000.0,563987000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2011.0,Q3,,2011-09-30,2011-11-03 16:07:19+00:00,40743000000.0,-2071000000.0,82865000000.0,0.0,153801000000.0,248116000000.0,249998000000.0,70832000000.0,8764000000.0,713519000000.0,18330000000.0,1078554000000.0,26989000000.0,455326000000.0,8037000000.0,1037811000000.0,13552000000.0,327834000000.0,245963000000.0,-1000000.0,145200000000.0,59043000000.0,99381000000.0,,2380086000000.0,210772000000.0,230252000000.0,230252000000.0,1989376000000.0,2219628000000.0,19480000000.0,616945000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2012.0,FY,,2012-12-31,2013-10-30 17:27:04+00:00,27837000000.0,-2797000000.0,110752000000.0,0.0,158142000000.0,293259000000.0,219924000000.0,69976000000.0,6684000000.0,725142000000.0,18694000000.0,1031046000000.0,21382000000.0,309841000000.0,5851000000.0,1003209000000.0,11858000000.0,380119000000.0,226233000000.0,,184179000000.0,62843000000.0,80478000000.0,,2344405000000.0,218188000000.0,236956000000.0,236956000000.0,1973018000000.0,2209974000000.0,18768000000.0,649842000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2012.0,Q3,,2012-09-30,2012-11-02 16:07:38+00:00,30044000000.0,-811000000.0,106415000000.0,0.0,158066000000.0,273900000000.0,234034000000.0,69976000000.0,7030000000.0,693994000000.0,15950000000.0,1018078000000.0,18601000000.0,324589000000.0,5242000000.0,988034000000.0,12436000000.0,369313000000.0,220793000000.0,,175228000000.0,62583000000.0,90532000000.0,,2303818000000.0,219838000000.0,238606000000.0,238606000000.0,1927556000000.0,2166162000000.0,18768000000.0,625307000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2012.0,Q2,,2012-06-30,2012-08-02 16:15:42+00:00,34362000000.0,-3500000000.0,123717000000.0,0.0,158001000000.0,285914000000.0,226116000000.0,69976000000.0,7335000000.0,685046000000.0,22350000000.0,1020701000000.0,15452000000.0,340304000000.0,5880000000.0,986339000000.0,12653000000.0,350179000000.0,221743000000.0,,168453000000.0,62712000000.0,94983000000.0,,2300948000000.0,217213000000.0,235975000000.0,235975000000.0,1924879000000.0,2160854000000.0,18762000000.0,609387000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2012.0,Q1,,2012-03-31,2012-05-03 16:07:38+00:00,36720000000.0,-4996000000.0,128792000000.0,0.0,157973000000.0,258491000000.0,225784000000.0,69976000000.0,7696000000.0,695856000000.0,20479000000.0,1036036000000.0,14550000000.0,399179000000.0,7723000000.0,999316000000.0,13104000000.0,345455000000.0,227886000000.0,0.0,155945000000.0,60734000000.0,94024000000.0,,2325406000000.0,213711000000.0,232499000000.0,232499000000.0,1948950000000.0,2181449000000.0,18788000000.0,610100000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2013.0,FY,,2013-12-31,2014-07-29 16:34:39+00:00,17428000000.0,-8457000000.0,36852000000.0,0.0,155293000000.0,198106000000.0,190328000000.0,69844000000.0,5574000000.0,737946000000.0,94470000000.0,928233000000.0,12746000000.0,249674000000.0,5052000000.0,910805000000.0,10475000000.0,381325000000.0,183538000000.0,,219131000000.0,72497000000.0,84556000000.0,11540000000.0,2102273000000.0,219333000000.0,232685000000.0,232685000000.0,1869588000000.0,2102273000000.0,13352000000.0,572618000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2013.0,Q3,,2013-09-30,2013-10-30 17:27:04+00:00,22394000000.0,-6823000000.0,121233000000.0,0.0,156371000000.0,226274000000.0,212007000000.0,69891000000.0,5843000000.0,728440000000.0,14449000000.0,1044388000000.0,16876000000.0,279812000000.0,5068000000.0,1021994000000.0,10703000000.0,381678000000.0,186447000000.0,,190650000000.0,69419000000.0,87517000000.0,,2248818000000.0,218967000000.0,232282000000.0,232282000000.0,1894371000000.0,2126653000000.0,13315000000.0,584307000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2013.0,Q2,,2013-06-30,2013-08-01 16:30:20+00:00,24392000000.0,-7709000000.0,98828000000.0,0.0,157192000000.0,232609000000.0,224168000000.0,69930000000.0,6104000000.0,721416000000.0,12916000000.0,1034615000000.0,16425000000.0,288426000000.0,5839000000.0,1010223000000.0,10836000000.0,359367000000.0,199333000000.0,,194047000000.0,67308000000.0,96423000000.0,,2245691000000.0,216791000000.0,231032000000.0,231032000000.0,1892288000000.0,2123320000000.0,14241000000.0,591089000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2013.0,Q1,,2013-03-31,2013-05-07 17:12:00+00:00,25751000000.0,-3488000000.0,100980000000.0,0.0,158157000000.0,248149000000.0,220623000000.0,69930000000.0,6379000000.0,730383000000.0,12740000000.0,1027828000000.0,22507000000.0,311102000000.0,5896000000.0,1002077000000.0,11085000000.0,364800000000.0,213501000000.0,,190580000000.0,63844000000.0,92512000000.0,,2305002000000.0,218513000000.0,237293000000.0,237293000000.0,1937526000000.0,2174819000000.0,18780000000.0,639284000000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2014.0,Q3,,2014-09-30,2014-11-06 16:39:42+00:00,15106000000.0,-5515000000.0,28332000000.0,0.0,153472000000.0,217925000000.0,223310000000.0,69784000000.0,4849000000.0,718067000000.0,100327000000.0,891315000000.0,8464000000.0,250115000000.0,,876209000000.0,9987000000.0,393914000000.0,189341000000.0,,227398000000.0,72811000000.0,77513000000.0,7859000000.0,2123613000000.0,220768000000.0,238681000000.0,238681000000.0,1884932000000.0,2123613000000.0,17913000000.0,605714000000.0
