company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,depositsinterestexpense,dilutedeps,fedfundsandrepointerestincome,impairmentexpense,incometaxexpense,investmentbankingincome,investmentsecuritiesinterestincome,loansandleaseinterestincome,longtermdebtinterestexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,otherinterestexpense,otherinterestincome,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,preferreddividends,provisionforcreditlosses,restructuringcharge,salariesandemployeebenefitsexpense,shorttermborrowinginterestexpense,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,tradingaccountinterestincome,trustfeeincome,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 07:51:04+00:00,1676000000.0,3.32,3.32,2.4,18093000000.0,3.29,7722000000.0,,5942000000.0,2345000000.0,9784000000.0,55681000000.0,12803000000.0,2356000000.0,14982000000.0,14982000000.0,14800000000.0,34441000000.0,6391000000.0,-1043000000.0,,4700000000.0,902000000.0,7938000000.0,30188000000.0,182000000.0,8385000000.0,410000000.0,18753000000.0,21967000000.0,52863000000.0,87304000000.0,37524000000.0,32392000000.0,20924000000.0,66833000000.0,9417000000.0,,4457800000.0,4423579000.0,4463213000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:27:28+00:00,1834000000.0,0.54,0.54,2.24,15250000000.0,0.54,3313000000.0,,420000000.0,2263000000.0,13146000000.0,56017000000.0,12712000000.0,2368000000.0,4008000000.0,4008000000.0,2556000000.0,45360000000.0,7827000000.0,-7709000000.0,,4151000000.0,4087000000.0,10194000000.0,28781000000.0,1452000000.0,26825000000.0,935000000.0,18371000000.0,12362000000.0,40324000000.0,85684000000.0,41529000000.0,27422000000.0,4428000000.0,72782000000.0,9057000000.0,,4733300000.0,4592085000.0,4596428000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2008.0,Q3,2008-07-01,2008-09-30,2009-11-06 17:07:00+00:00,464000000.0,0.15,0.15,0.64,3846000000.0,0.15,912000000.0,,334000000.0,474000000.0,3621000000.0,14261000000.0,3485000000.0,605000000.0,1177000000.0,1177000000.0,704000000.0,11642000000.0,2121000000.0,-1612000000.0,,1058000000.0,1674000000.0,3025000000.0,7443000000.0,473000000.0,6450000000.0,247000000.0,5198000000.0,3223000000.0,10554000000.0,22196000000.0,11660000000.0,7979000000.0,1511000000.0,19621000000.0,2344000000.0,,4693300000.0,4543963000.0,4547578000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 14:56:02+00:00,447000000.0,0.72,0.72,0.64,3520000000.0,0.72,800000000.0,,1511000000.0,695000000.0,2900000000.0,13121000000.0,2799000000.0,571000000.0,3410000000.0,3410000000.0,3224000000.0,10621000000.0,1807000000.0,1076000000.0,,977000000.0,439000000.0,2202000000.0,7579000000.0,186000000.0,5830000000.0,212000000.0,4420000000.0,3087000000.0,9406000000.0,20027000000.0,9659000000.0,9789000000.0,4921000000.0,20410000000.0,2229000000.0,,4477800000.0,4435719000.0,4444098000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2009.0,Q4,2009-10-01,2009-12-31,,432000000.0,-0.8,-0.8,0.01,1472000000.0,-0.8,327000000.0,,-1225000000.0,1596000000.0,2859000000.0,11405000000.0,3956000000.0,443000000.0,-194000000.0,-194000000.0,-5196000000.0,11559000000.0,2578000000.0,3898000000.0,,1333000000.0,-7139000000.0,5042000000.0,15162000000.0,5002000000.0,10110000000.0,533000000.0,7357000000.0,658000000.0,6086000000.0,17645000000.0,16385000000.0,13517000000.0,-1419000000.0,25076000000.0,1721000000.0,,7600000000.0,7728570000.0,7728570000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 16:13:53+00:00,1978000000.0,-0.29,-0.29,0.04,7807000000.0,-0.29,2894000000.0,0.0,-1916000000.0,5551000000.0,12947000000.0,48703000000.0,17488000000.0,1933000000.0,6276000000.0,6276000000.0,-2204000000.0,47109000000.0,9861000000.0,24136000000.0,,5428000000.0,,18692000000.0,42847000000.0,8480000000.0,48570000000.0,2721000000.0,31528000000.0,5512000000.0,30807000000.0,77916000000.0,66713000000.0,72534000000.0,4360000000.0,119643000000.0,7944000000.0,,7600000000.0,7728570000.0,7728570000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 13:44:37+00:00,510000000.0,-0.26,-0.26,0.01,1710000000.0,-0.26,722000000.0,0.0,-975000000.0,1254000000.0,2975000000.0,11620000000.0,4153000000.0,470000000.0,-1001000000.0,-1001000000.0,-2241000000.0,11423000000.0,2429000000.0,4995000000.0,,1363000000.0,1298000000.0,4690000000.0,7065000000.0,1240000000.0,11705000000.0,594000000.0,7613000000.0,1237000000.0,7100000000.0,18523000000.0,16306000000.0,14612000000.0,-1976000000.0,26035000000.0,1843000000.0,,8619200000.0,8633834000.0,8633834000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2009.0,Q3YTD,2009-01-01,2009-09-30,,1546000000.0,0.51,0.51,0.03,6335000000.0,0.51,2567000000.0,,-691000000.0,3955000000.0,10088000000.0,37298000000.0,13532000000.0,1490000000.0,6470000000.0,6470000000.0,2992000000.0,35550000000.0,7283000000.0,20238000000.0,,4095000000.0,7139000000.0,13650000000.0,27685000000.0,3478000000.0,38460000000.0,2188000000.0,24171000000.0,4854000000.0,24721000000.0,60271000000.0,50328000000.0,59017000000.0,5779000000.0,94567000000.0,6223000000.0,,8619200000.0,8633834000.0,8633834000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 14:56:54+00:00,516000000.0,0.33,0.33,0.01,2082000000.0,0.33,690000000.0,,-845000000.0,1646000000.0,3283000000.0,12329000000.0,4484000000.0,499000000.0,3224000000.0,3224000000.0,2419000000.0,11630000000.0,2456000000.0,7713000000.0,,1338000000.0,2527000000.0,4930000000.0,9258000000.0,805000000.0,13375000000.0,829000000.0,7790000000.0,1396000000.0,7962000000.0,19592000000.0,17020000000.0,21144000000.0,2379000000.0,32774000000.0,1952000000.0,,7330300000.0,7241515000.0,7269518000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2009.0,Q2YTD,2009-01-01,2009-06-30,,1036000000.0,0.77,0.77,0.02,4625000000.0,0.77,1845000000.0,,284000000.0,2701000000.0,7113000000.0,25678000000.0,9379000000.0,1020000000.0,7471000000.0,7471000000.0,5233000000.0,24127000000.0,4854000000.0,15243000000.0,,2732000000.0,5841000000.0,8960000000.0,20620000000.0,2238000000.0,26755000000.0,1594000000.0,16558000000.0,3617000000.0,17621000000.0,41748000000.0,34022000000.0,44405000000.0,7755000000.0,68532000000.0,4380000000.0,,7330300000.0,7241515000.0,7269518000.0
Bank of America Corp,BAC,9DJT3UXIJIZJI4WXO774,70858,2009.0,Q1,2009-01-01,2009-03-31,2010-05-07 07:49:12+00:00,520000000.0,0.44,0.44,0.01,2543000000.0,0.44,1155000000.0,,1129000000.0,1055000000.0,3830000000.0,13349000000.0,4895000000.0,521000000.0,4247000000.0,4247000000.0,2814000000.0,12497000000.0,2398000000.0,7530000000.0,,1394000000.0,3314000000.0,4030000000.0,11362000000.0,1433000000.0,13380000000.0,765000000.0,8768000000.0,2221000000.0,9659000000.0,22156000000.0,17002000000.0,23261000000.0,5376000000.0,35758000000.0,2428000000.0,,6395500000.0,6370815000.0,6393407000.0
