company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinterestpayable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,customerandotherreceivables,goodwill,intangibleassets,longtermdebt,netpremisesandequipment,noncontrollinginterests,otherassets,otherlongtermliabilities,othershorttermpayables,redeemablenoncontrollinginterest,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,tradingaccountsecurities
Leucadia National Corp,JEF,549300HOF34RGOJ5YL07,96223,2008.0,FY,,2008-12-31,2010-02-26 15:47:54+00:00,,-29280000.0,237503000.0,,1652094000.0,,,84848000.0,1832743000.0,534640000.0,18594000.0,1306916000.0,107443000.0,314203000.0,,,1053983000.0,248713000.0,5198493000.0,2676797000.0,2676797000.0,2695391000.0,2503102000.0,5198493000.0,3034586000.0
Leucadia National Corp,JEF,549300HOF34RGOJ5YL07,96223,2009.0,FY,,2009-12-31,2011-02-25 09:43:18+00:00,,985032000.0,130475000.0,,1772352000.0,,,51224000.0,1657779000.0,657898000.0,12850000.0,3794529000.0,105107000.0,312389000.0,,,1604263000.0,312592000.0,6762364000.0,4361647000.0,4361647000.0,4374497000.0,2387867000.0,6762364000.0,2128238000.0
Leucadia National Corp,JEF,549300HOF34RGOJ5YL07,96223,2009.0,Q3,,2009-09-30,2009-11-05 15:48:25+00:00,,791354000.0,232652000.0,,1764031000.0,,,78561000.0,1665429000.0,512557000.0,16230000.0,3926025000.0,116576000.0,262341000.0,,,1695198000.0,310266000.0,6621425000.0,4250583000.0,4250583000.0,4266813000.0,2354612000.0,6621425000.0,1871630000.0
Leucadia National Corp,JEF,549300HOF34RGOJ5YL07,96223,2009.0,Q2,,2009-06-30,2009-08-07 10:26:24+00:00,,586319000.0,156164000.0,,1775006000.0,,,81042000.0,1674945000.0,518847000.0,17808000.0,3653420000.0,106772000.0,291576000.0,,,1324999000.0,276184000.0,6053609000.0,3686324000.0,3686324000.0,3704132000.0,2349477000.0,6053609000.0,1644136000.0
Leucadia National Corp,JEF,549300HOF34RGOJ5YL07,96223,2010.0,FY,,2010-12-31,2012-02-27 16:20:14+00:00,,1687363000.0,441340000.0,0.0,1786772000.0,,,42636000.0,1548469000.0,587371000.0,6623000.0,4181720000.0,90608000.0,204060000.0,,,3482623000.0,543780000.0,9350298000.0,6956758000.0,6956758000.0,6963381000.0,2386917000.0,9350298000.0,4097231000.0
Leucadia National Corp,JEF,549300HOF34RGOJ5YL07,96223,2010.0,Q3,,2010-09-30,2010-11-05 14:49:07+00:00,,1158674000.0,323284000.0,,1776364000.0,,,44272000.0,1608376000.0,601518000.0,6108000.0,3752561000.0,88962000.0,275236000.0,,,1848353000.0,545262000.0,7307335000.0,4783391000.0,4783391000.0,4789499000.0,2517836000.0,7307335000.0,2585700000.0
Leucadia National Corp,JEF,549300HOF34RGOJ5YL07,96223,2010.0,Q2,,2010-06-30,2010-08-06 10:13:59+00:00,,638481000.0,248237000.0,,1775673000.0,,,69632000.0,1625086000.0,687216000.0,10122000.0,3589842000.0,91009000.0,349007000.0,,,1560598000.0,380725000.0,6430701000.0,3974752000.0,3974752000.0,3984874000.0,2445827000.0,6430701000.0,1835774000.0
Leucadia National Corp,JEF,549300HOF34RGOJ5YL07,96223,2010.0,Q1,,2010-03-31,2010-05-05 16:22:37+00:00,,997543000.0,218983000.0,,1774627000.0,,,72379000.0,1657428000.0,701104000.0,11612000.0,3880912000.0,112439000.0,314405000.0,,,1795742000.0,324266000.0,6988062000.0,4567912000.0,4567912000.0,4579524000.0,2408538000.0,6988062000.0,2114684000.0
Leucadia National Corp,JEF,549300HOF34RGOJ5YL07,96223,2011.0,FY,,2011-12-31,2013-02-25 15:02:40+00:00,,912421000.0,168490000.0,0.0,1815267000.0,,,876589000.0,1874389000.0,884109000.0,3865000.0,4956991000.0,97498000.0,430389000.0,235909000.0,,3446708000.0,446743000.0,9263189000.0,6174396000.0,6174396000.0,6178261000.0,2849019000.0,9263189000.0,2377010000.0
Leucadia National Corp,JEF,549300HOF34RGOJ5YL07,96223,2011.0,Q3,,2011-09-30,2011-11-08 16:33:38+00:00,,824179000.0,306270000.0,0.0,1810846000.0,,,60037000.0,1471294000.0,595112000.0,4961000.0,4183766000.0,56058000.0,158149000.0,,,3388417000.0,501150000.0,8215054000.0,6023442000.0,6023442000.0,6028403000.0,2186651000.0,8215054000.0,3069869000.0
