company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Leucadia National Corp,JEF,549300HOF34RGOJ5YL07,96223,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 15:47:54+00:00,,1227000.0,-11078000.0,-90640000.0,41216000.0,,39000.0,17374000.0,253441000.0,1017852000.0,1145460000.0,-957359000.0,-18369000.0,,,,1145460000.0,-957359000.0,-18369000.0,169771000.0,480272000.0,480272000.0,-559024000.0,5483000.0,3828000.0,,-55644000.0,566000.0,-6925130000.0,-135093000.0,-75509000.0,-163000.0,6017789000.0,81247000.0
Leucadia National Corp,JEF,549300HOF34RGOJ5YL07,96223,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 09:43:18+00:00,,16223000.0,3152000.0,144319000.0,56060000.0,,,-59040000.0,106324000.0,88657000.0,187050000.0,-418320000.0,-98422000.0,,,,187050000.0,-418320000.0,-98422000.0,-329692000.0,-2536812000.0,-2536812000.0,2422761000.0,8053000.0,184244000.0,,,2386000.0,-5404820000.0,-184148000.0,-15862000.0,-122000.0,4973298000.0,13106000.0
Leucadia National Corp,JEF,549300HOF34RGOJ5YL07,96223,2008.0,Q4,2008-10-01,2008-12-31,,,5674000.0,3152000.0,144319000.0,14228000.0,,153000.0,-8893000.0,0.0,0.0,,35579000.0,-58660000.0,,,,-11867000.0,35579000.0,-58660000.0,-34795000.0,-2716997000.0,-2716997000.0,2645347000.0,0.0,19006000.0,,,1981000.0,-836365000.0,-18458000.0,0.0,0.0,865592000.0,5804000.0
Leucadia National Corp,JEF,549300HOF34RGOJ5YL07,96223,2008.0,Q3,2008-07-01,2008-09-30,,,4354000.0,,,14648000.0,,-169000.0,-41183000.0,1294000.0,10727000.0,10472000.0,-34638000.0,-50242000.0,,,,10472000.0,-34638000.0,-50242000.0,-74577000.0,89348000.0,89348000.0,-117604000.0,422000.0,76896000.0,,,195000.0,-832329000.0,-51534000.0,-1971000.0,,769766000.0,2563000.0
Leucadia National Corp,JEF,549300HOF34RGOJ5YL07,96223,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-05 15:48:25+00:00,,10549000.0,,,41832000.0,,-153000.0,-50147000.0,106446000.0,89389000.0,199161000.0,-453899000.0,-39762000.0,,,,198917000.0,-453899000.0,-39762000.0,-294897000.0,180185000.0,180185000.0,-222586000.0,9136000.0,165238000.0,,,405000.0,-4568455000.0,-165690000.0,-5810000.0,,4107706000.0,7302000.0
Leucadia National Corp,JEF,549300HOF34RGOJ5YL07,96223,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-07 10:26:24+00:00,,6195000.0,,,27184000.0,,16000.0,-8964000.0,105152000.0,78662000.0,188689000.0,-419261000.0,10480000.0,,,,188445000.0,-419261000.0,10480000.0,-220320000.0,90837000.0,90837000.0,-104982000.0,8714000.0,88342000.0,,,210000.0,-3736126000.0,-114156000.0,-3839000.0,,3337940000.0,4739000.0
Leucadia National Corp,JEF,549300HOF34RGOJ5YL07,96223,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 16:20:14+00:00,,,-4364000.0,129598000.0,86377000.0,,21948000.0,-53355000.0,958000.0,50122000.0,4042000.0,71971000.0,-114795000.0,21106000.0,,,25148000.0,71971000.0,-114795000.0,4272000.0,548595000.0,548595000.0,-699027000.0,-4072000.0,106955000.0,,,2615000.0,-2524717000.0,-33661000.0,-42966000.0,,2497236000.0,26158000.0
Leucadia National Corp,JEF,549300HOF34RGOJ5YL07,96223,2009.0,Q4,2009-10-01,2009-12-31,,,5691000.0,-4364000.0,129598000.0,17104000.0,,-57000.0,-70436000.0,392000.0,2531000.0,-6107000.0,-60805000.0,-11827000.0,,,,-6107000.0,-60533000.0,-11827000.0,-78524000.0,-91836000.0,-91836000.0,126255000.0,-26572000.0,-12184000.0,,,1395000.0,-691790000.0,-5456000.0,17542000.0,,622467000.0,26158000.0
Leucadia National Corp,JEF,549300HOF34RGOJ5YL07,96223,2009.0,Q3TTM,2008-10-01,2009-09-30,,,24414000.0,3152000.0,144319000.0,59070000.0,,210000.0,-42516000.0,0.0,0.0,,168083000.0,-180231000.0,,,,-27708000.0,168083000.0,-180231000.0,-39646000.0,-2076566000.0,-2076566000.0,1852166000.0,0.0,136925000.0,,,3201000.0,-2669292000.0,-46663000.0,0.0,0.0,2741309000.0,5804000.0
Leucadia National Corp,JEF,549300HOF34RGOJ5YL07,96223,2009.0,Q3,2009-07-01,2009-09-30,,,6024000.0,,,15106000.0,,8000.0,-31061000.0,391000.0,27398000.0,24735000.0,111013000.0,-59268000.0,,,,24735000.0,111013000.0,-59268000.0,76488000.0,369580000.0,369580000.0,-419332000.0,-965000.0,39705000.0,,,415000.0,-483818000.0,-8457000.0,-2089000.0,,563583000.0,
