company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,capitalleaseobligations,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Supervalu Inc,SVU,549300HSQOPPFG6OPF24,95521,2009.0,FY,,2009-02-28,2010-04-23 18:24:40+00:00,2441000000.0,874000000.0,-503000000.0,,240000000.0,,3083000000.0,102000000.0,626000000.0,3748000000.0,1584000000.0,7968000000.0,2709000000.0,7528000000.0,,,,,282000000.0,787000000.0,,,639000000.0,2583000000.0,,,542000000.0,516000000.0,17604000000.0,2581000000.0,4105000000.0,4472000000.0,2581000000.0,2581000000.0,15023000000.0,17604000000.0,5971000000.0,10551000000.0,-541000000.0
Supervalu Inc,SVU,549300HSQOPPFG6OPF24,95521,2010.0,FY,,2010-02-27,2011-04-21 13:50:11+00:00,2199000000.0,814000000.0,-478000000.0,,211000000.0,,3087000000.0,,576000000.0,3698000000.0,1493000000.0,7022000000.0,2342000000.0,7026000000.0,,,,,344000000.0,779000000.0,,,508000000.0,2360000000.0,,,806000000.0,613000000.0,16436000000.0,2887000000.0,3711000000.0,4167000000.0,2887000000.0,2887000000.0,13549000000.0,16436000000.0,5699000000.0,9382000000.0,-528000000.0
Supervalu Inc,SVU,549300HSQOPPFG6OPF24,95521,2010.0,Q3,,2009-12-05,2010-01-13 18:27:34+00:00,2969000000.0,860000000.0,-496000000.0,,232000000.0,,3086000000.0,,,3734000000.0,1527000000.0,7920000000.0,2826000000.0,7216000000.0,,,,,224000000.0,773000000.0,,,555000000.0,2465000000.0,,,727000000.0,260000000.0,17174000000.0,2787000000.0,4142000000.0,4002000000.0,2787000000.0,2787000000.0,14387000000.0,17174000000.0,5816000000.0,10385000000.0,-530000000.0
Supervalu Inc,SVU,549300HSQOPPFG6OPF24,95521,2010.0,Q2,,2009-09-12,2009-10-21 16:54:21+00:00,3134000000.0,862000000.0,-496000000.0,,269000000.0,,3082000000.0,,,3733000000.0,1535000000.0,7900000000.0,2655000000.0,7305000000.0,,,,,399000000.0,837000000.0,,,562000000.0,2494000000.0,,,655000000.0,244000000.0,17320000000.0,2711000000.0,4185000000.0,4215000000.0,2711000000.0,2711000000.0,14609000000.0,17320000000.0,5830000000.0,10394000000.0,-530000000.0
Supervalu Inc,SVU,549300HSQOPPFG6OPF24,95521,2010.0,Q1,,2009-06-20,2009-07-29 15:09:39+00:00,3126000000.0,870000000.0,-498000000.0,,275000000.0,,3080000000.0,,,3748000000.0,1567000000.0,8105000000.0,2746000000.0,7461000000.0,,,,,220000000.0,891000000.0,,,684000000.0,2522000000.0,,,619000000.0,257000000.0,17571000000.0,2670000000.0,4111000000.0,4274000000.0,2670000000.0,2670000000.0,14901000000.0,17571000000.0,5999000000.0,10627000000.0,-531000000.0
Supervalu Inc,SVU,549300HSQOPPFG6OPF24,95521,2011.0,FY,,2011-02-26,2012-04-18 19:29:11+00:00,2107000000.0,743000000.0,-446000000.0,,172000000.0,0.0,3085000000.0,,554000000.0,1984000000.0,1170000000.0,6348000000.0,2270000000.0,6604000000.0,,,,756000000.0,235000000.0,722000000.0,,,580000000.0,1528000000.0,,,-778000000.0,403000000.0,13758000000.0,1340000000.0,3420000000.0,3786000000.0,1340000000.0,1340000000.0,12418000000.0,13758000000.0,3734000000.0,8632000000.0,-521000000.0
Supervalu Inc,SVU,549300HSQOPPFG6OPF24,95521,2011.0,Q3,,2010-12-04,2011-01-12 18:49:26+00:00,2836000000.0,821000000.0,-449000000.0,,186000000.0,,3085000000.0,,,1998000000.0,1215000000.0,6901000000.0,2613000000.0,6679000000.0,,,,,367000000.0,757000000.0,,,574000000.0,2268000000.0,,,-855000000.0,430000000.0,14453000000.0,1261000000.0,3987000000.0,4023000000.0,1261000000.0,1261000000.0,13192000000.0,14453000000.0,3787000000.0,9169000000.0,-520000000.0
Supervalu Inc,SVU,549300HSQOPPFG6OPF24,95521,2011.0,Q2,,2010-09-11,2010-10-20 17:12:08+00:00,2866000000.0,835000000.0,-458000000.0,,203000000.0,,3081000000.0,,,2250000000.0,1314000000.0,6644000000.0,2320000000.0,6828000000.0,,,,,202000000.0,824000000.0,,,585000000.0,2272000000.0,,,-652000000.0,480000000.0,14537000000.0,1451000000.0,3560000000.0,4170000000.0,1451000000.0,1451000000.0,13086000000.0,14537000000.0,4149000000.0,8916000000.0,-520000000.0
Supervalu Inc,SVU,549300HSQOPPFG6OPF24,95521,2011.0,Q1,,2010-06-19,2010-07-28 16:42:15+00:00,2713000000.0,805000000.0,-467000000.0,,198000000.0,,3083000000.0,,,3700000000.0,1476000000.0,6720000000.0,2329000000.0,6902000000.0,,,,,174000000.0,723000000.0,,,539000000.0,2341000000.0,,,854000000.0,679000000.0,16123000000.0,2947000000.0,3506000000.0,4115000000.0,2947000000.0,2947000000.0,13176000000.0,16123000000.0,5715000000.0,9061000000.0,-523000000.0
Supervalu Inc,SVU,549300HSQOPPFG6OPF24,95521,2012.0,FY,,2012-02-25,2013-04-24 17:21:47+00:00,1168000000.0,499000000.0,-657000000.0,,64000000.0,0.0,3085000000.0,,298000000.0,847000000.0,64000000.0,2881000000.0,908000000.0,2099000000.0,,268000000.0,278000000.0,1024000000.0,186000000.0,222000000.0,1616000000.0,1606000000.0,122000000.0,272000000.0,5428000000.0,3986000000.0,-1892000000.0,345000000.0,12101000000.0,21000000.0,3273000000.0,3639000000.0,21000000.0,21000000.0,12080000000.0,12101000000.0,6729000000.0,8441000000.0,-515000000.0
