company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
Supervalu Inc,SVU,549300HSQOPPFG6OPF24,95521,2008.0,FY,2007-02-25,2008-02-23,2010-04-23 18:24:40+00:00,,107000000.0,743000000.0,1017000000.0,64000000.0,,93000000.0,-806000000.0,-968000000.0,1732000000.0,,,,-806000000.0,-968000000.0,1732000000.0,-42000000.0,593000000.0,593000000.0,,58000000.0,153000000.0,28000000.0,-142000000.0,-1191000000.0,-692000000.0,-218000000.0,195000000.0
Supervalu Inc,SVU,549300HSQOPPFG6OPF24,95521,2009.0,Q4,2008-11-30,2009-02-28,,,274000000.0,614000000.0,234000000.0,-47000000.0,,-191000000.0,-427000000.0,-188000000.0,450000000.0,,,,-427000000.0,-188000000.0,450000000.0,-165000000.0,-201000000.0,-201000000.0,,464000000.0,11000000.0,40000000.0,-36000000.0,-252000000.0,-211000000.0,,24000000.0
Supervalu Inc,SVU,549300HSQOPPFG6OPF24,95521,2009.0,FY,2008-02-24,2009-02-28,2011-04-21 13:50:11+00:00,,274000000.0,614000000.0,1057000000.0,-449000000.0,,215000000.0,-523000000.0,-1014000000.0,1534000000.0,,,,-523000000.0,-1014000000.0,1534000000.0,-3000000.0,-2855000000.0,-2855000000.0,,3781000000.0,11000000.0,55000000.0,-145000000.0,-1186000000.0,-581000000.0,-23000000.0,117000000.0
Supervalu Inc,SVU,549300HSQOPPFG6OPF24,95521,2009.0,Q3,2008-09-07,2008-11-29,,,,,254000000.0,-243000000.0,,122000000.0,34000000.0,-241000000.0,339000000.0,,,,34000000.0,-241000000.0,339000000.0,132000000.0,-2944000000.0,-2944000000.0,,3272000000.0,,,-36000000.0,-269000000.0,-52000000.0,,28000000.0
Supervalu Inc,SVU,549300HSQOPPFG6OPF24,95521,2009.0,Q3YTD,2008-02-24,2008-11-29,2010-01-13 18:27:34+00:00,,,,823000000.0,-402000000.0,,406000000.0,-96000000.0,-826000000.0,1084000000.0,,,,-96000000.0,-826000000.0,1084000000.0,162000000.0,-2654000000.0,-2654000000.0,,3317000000.0,,15000000.0,-109000000.0,-934000000.0,-370000000.0,-23000000.0,93000000.0
Supervalu Inc,SVU,549300HSQOPPFG6OPF24,95521,2009.0,Q2,2008-06-15,2008-09-06,,,,,247000000.0,-42000000.0,,11000000.0,-117000000.0,-216000000.0,347000000.0,,,,-117000000.0,-216000000.0,347000000.0,14000000.0,128000000.0,128000000.0,,14000000.0,,30000000.0,-37000000.0,-270000000.0,-68000000.0,-23000000.0,24000000.0
Supervalu Inc,SVU,549300HSQOPPFG6OPF24,95521,2009.0,Q2YTD,2008-02-24,2008-09-06,2009-10-21 16:54:21+00:00,,,,569000000.0,-159000000.0,,284000000.0,-130000000.0,-585000000.0,745000000.0,,,,-130000000.0,-585000000.0,745000000.0,30000000.0,290000000.0,290000000.0,,45000000.0,,15000000.0,-73000000.0,-665000000.0,-318000000.0,-23000000.0,65000000.0
Supervalu Inc,SVU,549300HSQOPPFG6OPF24,95521,2009.0,Q1,2008-02-24,2008-06-14,2009-07-29 15:09:39+00:00,,,,322000000.0,-117000000.0,,273000000.0,-13000000.0,-369000000.0,398000000.0,,,,-13000000.0,-369000000.0,398000000.0,16000000.0,162000000.0,162000000.0,,31000000.0,,-15000000.0,-36000000.0,-395000000.0,-250000000.0,,41000000.0
Supervalu Inc,SVU,549300HSQOPPFG6OPF24,95521,2010.0,Q4,2009-12-06,2010-02-27,,,187000000.0,538000000.0,222000000.0,406000000.0,,-20000000.0,-595000000.0,-102000000.0,676000000.0,,,,-595000000.0,-102000000.0,676000000.0,-21000000.0,97000000.0,97000000.0,,-49000000.0,,5000000.0,-37000000.0,-129000000.0,-538000000.0,,22000000.0
Supervalu Inc,SVU,549300HSQOPPFG6OPF24,95521,2010.0,FY,2009-03-01,2010-02-27,2012-04-18 19:29:11+00:00,,187000000.0,538000000.0,957000000.0,116000000.0,,943000000.0,-1044000000.0,-459000000.0,1474000000.0,,,,-1044000000.0,-459000000.0,1474000000.0,-29000000.0,393000000.0,393000000.0,,8000000.0,,7000000.0,-147000000.0,-681000000.0,-1840000000.0,,215000000.0
