company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncurrentdeferredtaxliabilities,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
Dollar General Corp,DG,,29534,2010.0,FY,,2011-01-28,2012-03-22 09:58:39+00:00,953641000.0,347741000.0,-20296000.0,497446000.0,0.0,3243843000.0,,62834000.0,4338589000.0,1256922000.0,3287070000.0,1765433000.0,1524575000.0,598565000.0,,58311000.0,231582000.0,104946000.0,9153000.0,830932000.0,1157000.0,9546222000.0,4054479000.0,2367825000.0,1365373000.0,4054479000.0,4054479000.0,5482590000.0,9546222000.0,5653822000.0,4117217000.0,0.0
Dollar General Corp,DG,,29534,2011.0,FY,,2012-02-03,2013-03-25 08:18:17+00:00,1064087000.0,397075000.0,-5191000.0,126126000.0,0.0,3262855000.0,,48150000.0,4338589000.0,1235954000.0,2617891000.0,2009206000.0,1794960000.0,656996000.0,,43943000.0,229149000.0,139742000.0,,1416918000.0,590000.0,9688520000.0,4674582000.0,2275074000.0,1509902000.0,4674582000.0,4674582000.0,5013938000.0,9688520000.0,5618486000.0,3504036000.0,0.0
Dollar General Corp,DG,,29534,2011.0,Q3,,2011-10-28,2011-12-05 07:17:49+00:00,1132544000.0,414977000.0,-7876000.0,118580000.0,0.0,3256781000.0,48807000.0,23937000.0,4338589000.0,1240733000.0,2721061000.0,2089722000.0,1716797000.0,647329000.0,,46908000.0,233950000.0,135746000.0,7309000.0,1305107000.0,763000.0,9735882000.0,4554012000.0,2392855000.0,1572221000.0,4554012000.0,4554012000.0,5174561000.0,9735882000.0,5626230000.0,3602340000.0,0.0
Dollar General Corp,DG,,29534,2011.0,Q2,,2011-07-29,2011-08-30 08:35:59+00:00,1122949000.0,366623000.0,-10982000.0,113050000.0,0.0,3250603000.0,43435000.0,36416000.0,4338589000.0,1245773000.0,2779408000.0,1973863000.0,1622991000.0,624034000.0,,48969000.0,215875000.0,142433000.0,9271000.0,1133943000.0,963000.0,9529103000.0,4373564000.0,2272781000.0,1526951000.0,4373564000.0,4373564000.0,5146268000.0,9529103000.0,5633331000.0,3619317000.0,0.0
Dollar General Corp,DG,,29534,2011.0,Q1,,2011-04-29,2011-06-01 09:04:47+00:00,933710000.0,380422000.0,-15595000.0,602463000.0,,3247350000.0,,72059000.0,4338589000.0,1251289000.0,3262597000.0,1767121000.0,1562596000.0,606071000.0,,55493000.0,230043000.0,137313000.0,9267000.0,987901000.0,1039000.0,9714864000.0,4219656000.0,2506897000.0,1387230000.0,4219656000.0,4219656000.0,5485941000.0,9714864000.0,5645371000.0,4098711000.0,0.0
Dollar General Corp,DG,,29534,2012.0,FY,,2013-02-01,2014-03-20 16:29:57+00:00,1261607000.0,357438000.0,-2938000.0,140809000.0,0.0,3277536000.0,,118610000.0,4338589000.0,1219543000.0,2771336000.0,2397175000.0,2088665000.0,647070000.0,,43772000.0,225399000.0,139129000.0,,1710732000.0,892000.0,10367682000.0,4985330000.0,2677113000.0,1738547000.0,4985330000.0,4985330000.0,5382352000.0,10367682000.0,5601904000.0,3643805000.0,0.0
Dollar General Corp,DG,,29534,2012.0,Q3,,2012-11-02,2012-12-11 08:08:51+00:00,1199727000.0,392439000.0,-4608000.0,142580000.0,0.0,3270936000.0,13554000.0,40782000.0,4338589000.0,1223407000.0,3023367000.0,2330436000.0,2047434000.0,655910000.0,,46055000.0,225699000.0,131622000.0,,1468534000.0,891000.0,10273677000.0,4734862000.0,2618192000.0,1633839000.0,4734862000.0,4734862000.0,5538815000.0,10273677000.0,5608051000.0,3904976000.0,0.0
Dollar General Corp,DG,,29534,2012.0,Q2,,2012-08-03,2012-09-05 08:19:50+00:00,1143857000.0,366271000.0,-5171000.0,134157000.0,0.0,3265143000.0,89473000.0,16211000.0,4338589000.0,1227499000.0,2887251000.0,2147837000.0,1972205000.0,651521000.0,,50737000.0,222008000.0,142977000.0,5601000.0,1550438000.0,344000.0,10103474000.0,4810410000.0,2514444000.0,1526683000.0,4810410000.0,4810410000.0,5287463000.0,10103474000.0,5616825000.0,3760780000.0,0.0
Dollar General Corp,DG,,29534,2012.0,Q1,,2012-05-04,2012-06-04 16:12:03+00:00,985924000.0,360349000.0,-2662000.0,132530000.0,0.0,3257796000.0,5210000.0,64521000.0,4338589000.0,1231866000.0,2880920000.0,2000864000.0,1878172000.0,649532000.0,,47846000.0,231427000.0,135131000.0,5644000.0,1336298000.0,459000.0,9770208000.0,4591432000.0,2273735000.0,1411253000.0,4591432000.0,4591432000.0,5173132000.0,9770208000.0,5618301000.0,3761879000.0,0.0
Dollar General Corp,DG,,29534,2013.0,FY,,2014-01-31,2015-03-20 16:31:21+00:00,1286484000.0,368578000.0,-9910000.0,505566000.0,0.0,3286650000.0,,80943000.0,4338589000.0,1207645000.0,2742788000.0,2552993000.0,2080305000.0,614026000.0,,35378000.0,296546000.0,147048000.0,,2125453000.0,75966000.0,10867524000.0,5402193000.0,3205607000.0,1811971000.0,5402193000.0,5402193000.0,5465331000.0,10867524000.0,5581612000.0,3653360000.0,0.0
