company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofplantpropertyandequipment
Dollar General Corp,DG,,29534,2009.0,FY,2009-01-31,2010-01-29,2012-03-22 09:58:39+00:00,187983000.0,328433000.0,256771000.0,873000.0,443753000.0,,-580696000.0,-248046000.0,672823000.0,-580696000.0,-248046000.0,672823000.0,-155919000.0,339442000.0,339442000.0,75737000.0,-538000.0,-239731000.0,-250747000.0,-784180000.0,,2701000.0
Dollar General Corp,DG,,29534,2010.0,Q4,2010-10-30,2011-01-28,,314123000.0,244752000.0,65188000.0,130681000.0,-599000.0,,-776000.0,-160572000.0,420888000.0,-776000.0,-160572000.0,420888000.0,259540000.0,222546000.0,222546000.0,2473000.0,-5600000.0,,-161152000.0,-526000.0,5949000.0,580000.0
Dollar General Corp,DG,,29534,2010.0,FY,2010-01-30,2011-01-28,2013-03-25 08:18:17+00:00,314123000.0,244752000.0,254927000.0,-88276000.0,,,-130367000.0,-418947000.0,824684000.0,-130367000.0,-418947000.0,824684000.0,275370000.0,627857000.0,627857000.0,30176000.0,813000.0,,-420395000.0,-131180000.0,,1448000.0
Dollar General Corp,DG,,29534,2010.0,Q3,2010-07-31,2010-10-29,,,,63583000.0,-79084000.0,198000.0,,-72144000.0,-95861000.0,124490000.0,-72144000.0,-95861000.0,124490000.0,-43515000.0,128120000.0,128120000.0,11871000.0,1026000.0,,-96185000.0,-72517000.0,-851000.0,324000.0
Dollar General Corp,DG,,29534,2010.0,Q3YTD,2010-01-30,2010-10-29,2011-12-05 07:17:49+00:00,,,189739000.0,-218957000.0,599000.0,,-129591000.0,-258375000.0,403796000.0,-129591000.0,-258375000.0,403796000.0,15830000.0,405311000.0,405311000.0,27703000.0,6413000.0,,-259243000.0,-130654000.0,-5949000.0,868000.0
Dollar General Corp,DG,,29534,2010.0,Q2,2010-05-01,2010-07-30,,,,62904000.0,-30031000.0,116000.0,,-57608000.0,-71774000.0,188094000.0,-57608000.0,-71774000.0,188094000.0,58712000.0,141195000.0,141195000.0,14026000.0,581000.0,,-72060000.0,-57674000.0,-631000.0,286000.0
Dollar General Corp,DG,,29534,2010.0,Q2YTD,2010-01-30,2010-07-30,2011-08-30 08:35:59+00:00,,,126156000.0,-139873000.0,401000.0,,-57447000.0,-162514000.0,279306000.0,-57447000.0,-162514000.0,279306000.0,59345000.0,277191000.0,277191000.0,15832000.0,5387000.0,,-163058000.0,-58137000.0,-5098000.0,544000.0
Dollar General Corp,DG,,29534,2010.0,Q1,2010-01-30,2010-04-30,2011-06-01 09:04:47+00:00,,,63252000.0,-109842000.0,285000.0,,161000.0,-90740000.0,91212000.0,161000.0,-90740000.0,91212000.0,633000.0,135996000.0,135996000.0,1806000.0,4806000.0,,-90998000.0,-463000.0,-4467000.0,258000.0
Dollar General Corp,DG,,29534,2011.0,Q4,2011-10-29,2012-02-03,,382294000.0,209351000.0,70637000.0,73020000.0,,508700000.0,-286970000.0,-151465000.0,445981000.0,-286970000.0,-151465000.0,445981000.0,7546000.0,292510000.0,292510000.0,9814000.0,2970000.0,,-151762000.0,-612043000.0,-186597000.0,297000.0
Dollar General Corp,DG,,29534,2011.0,FY,2011-01-29,2012-02-03,2014-03-20 16:29:57+00:00,382294000.0,209351000.0,275408000.0,-88254000.0,,1157800000.0,-907965000.0,-513835000.0,1050480000.0,-907965000.0,-513835000.0,1050480000.0,-371320000.0,766685000.0,766685000.0,96641000.0,5883000.0,,-514861000.0,-1885051000.0,-186597000.0,1026000.0
