company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Expeditors International of Washington Inc,EXPD,,746515,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 16:26:57+00:00,1.26,1.26,0.28,39303000.0,1.21,179815000.0,38735000.0,269858000.0,269858000.0,269154000.0,704000.0,4641765000.0,5235171000.0,3887000.0,,91968000.0,4641765000.0,593406000.0,-45000.0,22341000.0,170006000.0,423400000.0,26273000.0,449673000.0,5235171000.0,213600000.0,213314761.0,221799868.0
Expeditors International of Washington Inc,EXPD,,746515,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 15:39:55+00:00,1.41,1.41,0.32,40003000.0,1.37,196593000.0,37778000.0,302979000.0,302979000.0,301014000.0,1965000.0,4894463000.0,5633878000.0,5542000.0,76984000.0,111514000.0,4894463000.0,739415000.0,183000.0,21077000.0,266279000.0,473136000.0,26436000.0,499572000.0,5633878000.0,213500000.0,212755946.0,219170003.0
Expeditors International of Washington Inc,EXPD,,746515,2008.0,Q3,2008-07-01,2008-09-30,2009-11-09 17:06:12+00:00,0.4,0.4,0.0,10222000.0,0.39,56457000.0,8881000.0,86146000.0,86146000.0,85565000.0,581000.0,1380324000.0,1564913000.0,2225000.0,,30090000.0,1380324000.0,184589000.0,23000.0,5005000.0,49193000.0,135396000.0,7207000.0,142603000.0,1564913000.0,213900000.0,212747871.0,218729790.0
Expeditors International of Washington Inc,EXPD,,746515,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 16:13:07+00:00,,0.33,0.16,10056000.0,0.32,46043000.0,9744000.0,71606000.0,71606000.0,71249000.0,357000.0,1291839000.0,1454255000.0,-162000.0,,29645000.0,1291839000.0,162416000.0,75000.0,4915000.0,49445000.0,112971000.0,4678000.0,117649000.0,1454255000.0,,213275229.0,220515987.0
Expeditors International of Washington Inc,EXPD,,746515,2009.0,Q4,2009-10-01,2009-12-31,,0.33,0.33,0.19,9910000.0,0.32,42900000.0,7985000.0,69650000.0,69650000.0,69135000.0,515000.0,1025035000.0,1246911000.0,367000.0,74324000.0,19303000.0,1025035000.0,221876000.0,95000.0,1924000.0,111522000.0,110354000.0,2196000.0,112550000.0,1246911000.0,212600000.0,212112744.0,216533240.0
Expeditors International of Washington Inc,EXPD,,746515,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 16:08:04+00:00,1.13,1.13,0.38,40035000.0,1.11,162475000.0,26295000.0,240397000.0,240397000.0,240217000.0,180000.0,3483711000.0,4092283000.0,8193000.0,74324000.0,82917000.0,3483711000.0,608572000.0,499000.0,10177000.0,223571000.0,385001000.0,17871000.0,402872000.0,4092283000.0,212600000.0,212112744.0,216533240.0
Expeditors International of Washington Inc,EXPD,,746515,2009.0,Q3YTD,2009-01-01,2009-09-30,,0.8,0.8,0.19,30125000.0,0.79,119575000.0,18310000.0,170747000.0,170747000.0,171082000.0,-335000.0,2458676000.0,2845372000.0,7826000.0,,63614000.0,2458676000.0,386696000.0,404000.0,8253000.0,112049000.0,274647000.0,15675000.0,290322000.0,2845372000.0,213900000.0,212241480.0,216684079.0
Expeditors International of Washington Inc,EXPD,,746515,2009.0,Q3,2009-07-01,2009-09-30,2010-11-08 11:56:32+00:00,0.27,0.27,0.0,9923000.0,0.27,41763000.0,6541000.0,57564000.0,57564000.0,57752000.0,-188000.0,903741000.0,1037327000.0,1192000.0,,20876000.0,903741000.0,133586000.0,325000.0,2214000.0,37340000.0,96246000.0,3081000.0,99327000.0,1037327000.0,213900000.0,212241480.0,216684079.0
Expeditors International of Washington Inc,EXPD,,746515,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.53,0.53,0.19,20202000.0,0.52,77812000.0,11769000.0,113183000.0,113183000.0,113330000.0,-147000.0,1554935000.0,1808045000.0,6634000.0,,42738000.0,1554935000.0,253110000.0,79000.0,6039000.0,74709000.0,178401000.0,12594000.0,190995000.0,1808045000.0,216300000.0,212116679.0,216653968.0
Expeditors International of Washington Inc,EXPD,,746515,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 15:50:03+00:00,0.25,0.25,0.19,10244000.0,0.25,37563000.0,5547000.0,53814000.0,53814000.0,54070000.0,-256000.0,772832000.0,895360000.0,2081000.0,,19810000.0,772832000.0,122528000.0,64000.0,2433000.0,35601000.0,86927000.0,4450000.0,91377000.0,895360000.0,216300000.0,212116679.0,216653968.0
