company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,goodwill,grossppe,intangibleassets,netppe,noncontrollinginterests,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
Expeditors International of Washington Inc,EXPD,,746515,2008.0,FY,,2008-12-31,2010-02-26 16:26:57+00:00,491823000.0,788176000.0,150487000.0,228025000.0,-15208000.0,741028000.0,,9270000.0,7986000.0,28039000.0,7927000.0,721154000.0,6503000.0,493129000.0,17498000.0,,,46574000.0,35511000.0,,19921000.0,,,1372356000.0,658000.0,2100839000.0,1366418000.0,1573359000.0,670349000.0,1366418000.0,1383916000.0,716923000.0,2100839000.0,34351000.0,46574000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2009.0,FY,,2009-12-31,2011-02-28 15:39:55+00:00,546675000.0,810369000.0,145545000.0,264372000.0,604000.0,925929000.0,,20385000.0,8338000.0,16166000.0,7927000.0,760073000.0,4938000.0,495701000.0,8340000.0,,,53989000.0,42539000.0,,27326000.0,,,1532018000.0,655000.0,2323722000.0,1553007000.0,1787830000.0,708386000.0,1553007000.0,1561347000.0,762375000.0,2323722000.0,40191000.0,53989000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2009.0,Q3,,2009-09-30,2009-11-09 17:06:12+00:00,486663000.0,684248000.0,150880000.0,,13000.0,947269000.0,,8871000.0,7806000.0,17593000.0,7927000.0,,5380000.0,496203000.0,7909000.0,,,41796000.0,36568000.0,,30857000.0,,,1503162000.0,629000.0,2216887000.0,1512046000.0,1676520000.0,655136000.0,1512046000.0,1519955000.0,696932000.0,2216887000.0,44164000.0,41796000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2009.0,Q2,,2009-06-30,2009-08-07 16:13:07+00:00,397735000.0,577302000.0,156757000.0,,-6668000.0,915982000.0,0.0,6827000.0,8506000.0,19236000.0,7927000.0,,5607000.0,496362000.0,9115000.0,,,45533000.0,32482000.0,,29140000.0,,,1445409000.0,636000.0,2073944000.0,1445568000.0,1534908000.0,573728000.0,1445568000.0,1454683000.0,619261000.0,2073944000.0,42674000.0,45533000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2010.0,FY,,2010-12-31,2012-02-28 16:08:04+00:00,652161000.0,1003884000.0,177869000.0,281651000.0,8125000.0,1084465000.0,0.0,15532000.0,8706000.0,31948000.0,7927000.0,780299000.0,3716000.0,498648000.0,7248000.0,,,69047000.0,,,28533000.0,,42776000.0,1717249000.0,524000.0,2679179000.0,1740906000.0,2140355000.0,861978000.0,1740906000.0,1748154000.0,931025000.0,2679179000.0,40176000.0,69047000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2010.0,Q3,,2010-09-30,2010-11-08 11:56:32+00:00,700585000.0,1082733000.0,188919000.0,,4802000.0,1057226000.0,,7944000.0,8325000.0,31761000.0,7927000.0,,3965000.0,493046000.0,7496000.0,,,58800000.0,34760000.0,,27600000.0,,,1715876000.0,601000.0,2716183000.0,1728622000.0,2183645000.0,921265000.0,1728622000.0,1736118000.0,980065000.0,2716183000.0,39492000.0,58800000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2010.0,Q2,,2010-06-30,2010-08-06 15:50:03+00:00,659237000.0,1016575000.0,176943000.0,,-17043000.0,960300000.0,,8692000.0,8141000.0,28356000.0,7927000.0,,4218000.0,483827000.0,8388000.0,,,47198000.0,36686000.0,,28163000.0,,,1634771000.0,705000.0,2546542000.0,1626420000.0,2022407000.0,864536000.0,1626420000.0,1634808000.0,911734000.0,2546542000.0,40308000.0,47198000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2010.0,Q1,,2010-03-31,2010-05-07 16:39:21+00:00,567885000.0,817936000.0,162133000.0,,-2515000.0,1041648000.0,,29797000.0,8494000.0,18419000.0,7927000.0,,4541000.0,488983000.0,8389000.0,,,44706000.0,24158000.0,,27679000.0,,,1593265000.0,713000.0,2422079000.0,1620547000.0,1892949000.0,748437000.0,1620547000.0,1628936000.0,793143000.0,2422079000.0,40147000.0,44706000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2011.0,FY,,2011-12-31,2013-02-27 16:19:24+00:00,606628000.0,934752000.0,169445000.0,,-2964000.0,1294356000.0,0.0,15380000.0,10415000.0,20072000.0,7927000.0,,,538806000.0,6431000.0,,,60613000.0,,,33211000.0,,47360000.0,1991222000.0,,2866827000.0,2003638000.0,2286883000.0,796145000.0,2003638000.0,2010069000.0,856758000.0,2866827000.0,41138000.0,60613000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2011.0,Q3,,2011-09-30,2011-11-07 14:36:52+00:00,655092000.0,997705000.0,178175000.0,,-1417000.0,1260814000.0,0.0,5761000.0,10161000.0,32234000.0,7927000.0,,2916000.0,528852000.0,6339000.0,,,55610000.0,43450000.0,,30861000.0,,,1951375000.0,483000.0,2883169000.0,1955719000.0,2312613000.0,865501000.0,1955719000.0,1962058000.0,921111000.0,2883169000.0,41704000.0,55610000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2011.0,Q2,,2011-06-30,2011-08-05 16:07:03+00:00,688854000.0,1028015000.0,196813000.0,,22459000.0,1225830000.0,0.0,4818000.0,9469000.0,35858000.0,7927000.0,,3159000.0,523400000.0,7102000.0,,,77329000.0,48657000.0,,30476000.0,,,1844771000.0,1071000.0,2878004000.0,1872048000.0,2313042000.0,921525000.0,1872048000.0,1879150000.0,998854000.0,2878004000.0,41562000.0,77329000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2011.0,Q1,,2011-03-31,2011-05-09 16:31:27+00:00,687988000.0,1006980000.0,182391000.0,,16958000.0,1238471000.0,0.0,16470000.0,9382000.0,44606000.0,7927000.0,,3402000.0,514429000.0,7211000.0,,,72627000.0,25380000.0,,30149000.0,,,1808481000.0,612000.0,2836732000.0,1841909000.0,2280825000.0,914985000.0,1841909000.0,1849120000.0,987612000.0,2836732000.0,41478000.0,72627000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2012.0,FY,,2012-12-31,2014-02-27 16:27:51+00:00,641593000.0,1031376000.0,178995000.0,,5734000.0,1260842000.0,0.0,3347000.0,12102000.0,21970000.0,7927000.0,,,556204000.0,4871000.0,,,78997000.0,,,32395000.0,,53140000.0,2018618000.0,139000.0,2954125000.0,2027699000.0,2357599000.0,842558000.0,2027699000.0,2032570000.0,921555000.0,2954125000.0,40322000.0,78997000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2012.0,Q3,,2012-09-30,2012-11-07 16:19:39+00:00,667395000.0,1015350000.0,174862000.0,,5267000.0,1367642000.0,0.0,2208000.0,10955000.0,23943000.0,9774000.0,,,551610000.0,5682000.0,,,70288000.0,,,30808000.0,,46048000.0,2082542000.0,,3032187000.0,2090017000.0,2439995000.0,866200000.0,2090017000.0,2095699000.0,936488000.0,3032187000.0,40582000.0,70288000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2012.0,Q2,,2012-06-30,2012-08-08 14:28:56+00:00,672836000.0,983131000.0,184114000.0,,-4345000.0,1364247000.0,0.0,3118000.0,10234000.0,25948000.0,10003000.0,,,546754000.0,6602000.0,,,59417000.0,,,30218000.0,,47409000.0,2044682000.0,376000.0,2992372000.0,2043455000.0,2405397000.0,882898000.0,2043455000.0,2050057000.0,942315000.0,2992372000.0,40221000.0,59417000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2012.0,Q1,,2012-03-31,2012-05-07 16:19:46+00:00,629503000.0,934866000.0,170535000.0,,7064000.0,1412915000.0,0.0,20461000.0,9754000.0,28219000.0,10215000.0,,,550323000.0,6580000.0,,,70932000.0,,,30487000.0,,36386000.0,2067929000.0,16277000.0,3001223000.0,2095454000.0,2410198000.0,828257000.0,2095454000.0,2102034000.0,899189000.0,3001223000.0,40702000.0,70932000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2013.0,FY,,2013-12-31,2015-02-26 11:51:48+00:00,648156000.0,1073500000.0,200301000.0,,-6265000.0,1247652000.0,0.0,3672000.0,18396000.0,21743000.0,7927000.0,,,563064000.0,1548000.0,,,58281000.0,,,28552000.0,,49384000.0,2087376000.0,26337000.0,3014812000.0,2084783000.0,2415269000.0,870200000.0,2084783000.0,2086331000.0,928481000.0,3014812000.0,36479000.0,58281000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2013.0,Q3,,2013-09-30,2013-11-07 16:08:22+00:00,656674000.0,1027572000.0,183130000.0,,-6236000.0,1310330000.0,0.0,4498000.0,12670000.0,24175000.0,7927000.0,,,562125000.0,1151000.0,,,53854000.0,,,30300000.0,,47811000.0,2181317000.0,99828000.0,3098563000.0,2179579000.0,2498211000.0,863979000.0,2179579000.0,2180730000.0,917833000.0,3098563000.0,38227000.0,53854000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2013.0,Q2,,2013-06-30,2013-08-08 16:21:08+00:00,645196000.0,1018337000.0,196789000.0,,-15105000.0,1286109000.0,0.0,5597000.0,11999000.0,18228000.0,7927000.0,,,549583000.0,2101000.0,,,81510000.0,,,30377000.0,,69431000.0,2129349000.0,89902000.0,3063665000.0,2119841000.0,2475778000.0,860213000.0,2119841000.0,2121942000.0,941723000.0,3063665000.0,38304000.0,81510000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2013.0,Q1,,2013-03-31,2013-05-03 14:22:13+00:00,629190000.0,982119000.0,175212000.0,,-4265000.0,1394687000.0,0.0,8027000.0,11867000.0,27278000.0,7927000.0,,,546698000.0,1926000.0,,,81498000.0,,,32348000.0,,42153000.0,2098933000.0,,3017799000.0,2102695000.0,2430826000.0,831680000.0,2102695000.0,2104621000.0,913178000.0,3017799000.0,40275000.0,81498000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2014.0,FY,,2014-12-31,2016-02-25 12:27:46+00:00,770238000.0,1236042000.0,192468000.0,,-37817000.0,927107000.0,0.0,3029000.0,20279000.0,21077000.0,7927000.0,,,538415000.0,3200000.0,,,35514000.0,,,55313000.0,,65486000.0,1903196000.0,40336000.0,2890905000.0,1868408000.0,2289250000.0,983783000.0,1868408000.0,1871608000.0,1019297000.0,2890905000.0,63240000.0,35514000.0,0.0
Expeditors International of Washington Inc,EXPD,,746515,2014.0,Q3,,2014-09-30,2014-11-06 16:08:32+00:00,746193000.0,1183167000.0,194546000.0,,-21778000.0,990480000.0,0.0,2985000.0,20782000.0,22059000.0,7927000.0,,,545366000.0,2557000.0,,,59325000.0,,,54788000.0,,83226000.0,1920166000.0,40317000.0,2926053000.0,1901373000.0,2317972000.0,962798000.0,1901373000.0,1903930000.0,1022123000.0,2926053000.0,62715000.0,59325000.0,0.0
