company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2011.0,FY,2011-01-01,2011-12-31,2014-02-14 16:25:29+00:00,,-2000000.0,194000000.0,17000000.0,132000000.0,,-2000000.0,7000000.0,,1301000000.0,105000000.0,-615000000.0,713000000.0,,,,105000000.0,-615000000.0,713000000.0,201000000.0,522000000.0,522000000.0,,54000000.0,-13000000.0,-2000000.0,,0.0,-528000000.0,-87000000.0,-1008000000.0,-175000000.0,2000000.0
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2012.0,FY,2012-01-01,2012-12-31,2015-02-05 08:30:33+00:00,,0.0,232000000.0,29000000.0,131000000.0,,2000000.0,16000000.0,,295000000.0,172000000.0,-118000000.0,733000000.0,0.0,0.0,0.0,172000000.0,-118000000.0,733000000.0,789000000.0,562000000.0,562000000.0,0.0,24000000.0,-20000000.0,-32000000.0,,0.0,-18000000.0,-68000000.0,-50000000.0,-53000000.0,0.0
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2013.0,Q4,2013-10-01,2013-12-31,,,-7000000.0,55000000.0,15000000.0,56000000.0,,20000000.0,-41000000.0,,3833000000.0,1495000000.0,-2262000000.0,152000000.0,,-2000000.0,21000000.0,1495000000.0,-2264000000.0,173000000.0,-576000000.0,-170000000.0,-120000000.0,50000000.0,264000000.0,-96000000.0,-6000000.0,,-75000000.0,-2197000000.0,-75000000.0,-2171000000.0,4000000.0,16000000.0
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2013.0,FY,2013-01-01,2013-12-31,2015-02-05 08:30:33+00:00,,-7000000.0,198000000.0,32000000.0,156000000.0,,18000000.0,-25000000.0,,3833000000.0,1119000000.0,-2521000000.0,714000000.0,0.0,-2000000.0,21000000.0,1119000000.0,-2523000000.0,735000000.0,-651000000.0,270000000.0,320000000.0,50000000.0,270000000.0,-126000000.0,-75000000.0,,-75000000.0,-2283000000.0,-179000000.0,-2513000000.0,0.0,16000000.0
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2013.0,Q3,2013-07-01,2013-09-30,,,,50000000.0,4000000.0,35000000.0,,-1000000.0,2000000.0,,,-22000000.0,-77000000.0,180000000.0,,,,-22000000.0,-77000000.0,180000000.0,80000000.0,145000000.0,145000000.0,,-2000000.0,-8000000.0,-23000000.0,,,,-54000000.0,-12000000.0,-2000000.0,
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2013.0,Q3YTD,2013-01-01,2013-09-30,2014-11-04 08:32:04+00:00,,,143000000.0,17000000.0,100000000.0,0.0,-2000000.0,16000000.0,,,-376000000.0,-259000000.0,562000000.0,0.0,0.0,,-376000000.0,-259000000.0,562000000.0,-75000000.0,440000000.0,440000000.0,0.0,6000000.0,-30000000.0,-69000000.0,0.0,0.0,-86000000.0,-104000000.0,-342000000.0,-4000000.0,0.0
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2013.0,Q2YTD,2013-01-01,2013-06-30,2014-08-07 08:31:39+00:00,,,93000000.0,13000000.0,65000000.0,0.0,-1000000.0,14000000.0,,,-354000000.0,-182000000.0,382000000.0,,0.0,0.0,-354000000.0,-182000000.0,382000000.0,-155000000.0,295000000.0,295000000.0,0.0,8000000.0,-22000000.0,-46000000.0,0.0,0.0,-86000000.0,-50000000.0,-330000000.0,-2000000.0,0.0
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2013.0,Q2,2013-03-06,2013-06-30,,,,64000000.0,11000000.0,33000000.0,,2000000.0,37000000.0,,,-102000000.0,-66000000.0,232000000.0,,,,-102000000.0,-66000000.0,232000000.0,66000000.0,158000000.0,158000000.0,,4000000.0,7000000.0,2000000.0,,,-42000000.0,-26000000.0,-108000000.0,-1000000.0,
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2013.0,Q1,2013-01-01,2013-03-31,2014-05-08 08:23:03+00:00,,,29000000.0,2000000.0,32000000.0,,-3000000.0,-23000000.0,,,-252000000.0,-116000000.0,150000000.0,,,,-252000000.0,-116000000.0,150000000.0,-221000000.0,137000000.0,137000000.0,0.0,4000000.0,-29000000.0,-48000000.0,0.0,0.0,-44000000.0,-24000000.0,-222000000.0,-1000000.0,0.0
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2014.0,Q3TTM,2013-10-01,2014-09-30,,,-49000000.0,320000000.0,122000000.0,300000000.0,2155000000.0,18000000.0,-24000000.0,,3833000000.0,-123000000.0,-1773000000.0,1074000000.0,339000000.0,-506000000.0,72000000.0,216000000.0,-2279000000.0,1146000000.0,-899000000.0,552000000.0,591000000.0,39000000.0,256000000.0,-273000000.0,-111000000.0,,-300000000.0,-3651000000.0,-236000000.0,-2939000000.0,-444000000.0,70000000.0
