company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,investmentbankingincome,longtermdebtinterestexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,nonoperatingincome,otherinterestexpense,otherinterestincome,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,restructuringcharge,salariesandemployeebenefitsexpense,servicechargesondepositsincome,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2011.0,FY,2011-01-01,2011-12-31,2014-02-14 16:25:29+00:00,6.97,6.97,0.0,132000000.0,6.9,238000000.0,,,522000000.0,522000000.0,,510000000.0,12000000.0,,67000000.0,-33000000.0,,,,69000000.0,1327000000.0,16000000.0,250000000.0,,,,534000000.0,1327000000.0,760000000.0,1327000000.0,73200000.0,73000000.0,74000000.0
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2012.0,FY,2012-01-01,2012-12-31,2015-02-05 08:30:33+00:00,7.59,7.59,0.0,131000000.0,7.52,228000000.0,,39000000.0,562000000.0,562000000.0,0.0,582000000.0,-20000000.0,-39000000.0,65000000.0,2000000.0,,,1185000000.0,70000000.0,31000000.0,19000000.0,251000000.0,147000000.0,39000000.0,,536000000.0,1363000000.0,790000000.0,1324000000.0,76700000.0,73000000.0,73000000.0
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2013.0,FY,2013-01-01,2013-12-31,2016-02-04 08:31:47+00:00,3.24,3.24,0.65,156000000.0,3.21,184000000.0,,56000000.0,220000000.0,320000000.0,-100000000.0,252000000.0,-32000000.0,-56000000.0,102000000.0,-230000000.0,,,,237000000.0,1730000000.0,143000000.0,302000000.0,,56000000.0,,940000000.0,1730000000.0,504000000.0,1674000000.0,77800000.0,78000000.0,79000000.0
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2013.0,Q4,2013-10-01,2013-12-31,,-2.28,-2.28,0.96,56000000.0,-2.28,23000000.0,,56000000.0,-220000000.0,-120000000.0,-100000000.0,-178000000.0,-42000000.0,-56000000.0,43000000.0,-204000000.0,,,,186000000.0,668000000.0,111000000.0,109000000.0,,56000000.0,,505000000.0,668000000.0,-97000000.0,612000000.0,77800000.0,78000000.0,79000000.0
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2013.0,Q3YTD,2013-01-01,2013-09-30,,5.91,5.91,,100000000.0,5.86,161000000.0,,,440000000.0,440000000.0,,430000000.0,10000000.0,,59000000.0,-26000000.0,,,,51000000.0,1062000000.0,32000000.0,193000000.0,,,,435000000.0,1062000000.0,601000000.0,1062000000.0,72700000.0,73000000.0,74000000.0
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2013.0,Q3,2013-07-01,2013-09-30,2014-11-04 08:32:04+00:00,1.94,1.94,0.0,35000000.0,1.92,48000000.0,,,145000000.0,145000000.0,0.0,141000000.0,4000000.0,,18000000.0,-9000000.0,,,,17000000.0,338000000.0,6000000.0,60000000.0,,,,136000000.0,338000000.0,193000000.0,338000000.0,72700000.0,73000000.0,74000000.0
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2013.0,Q2,2013-03-06,2013-06-30,2014-08-07 08:31:39+00:00,2.11,2.11,0.0,33000000.0,2.09,59000000.0,,,158000000.0,158000000.0,0.0,154000000.0,4000000.0,,22000000.0,-8000000.0,,,,17000000.0,372000000.0,8000000.0,67000000.0,,,,147000000.0,372000000.0,217000000.0,372000000.0,73000000.0,73000000.0,73000000.0
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2013.0,Q2YTD,2013-01-01,2013-06-30,,3.97,3.97,,65000000.0,3.94,113000000.0,,,295000000.0,295000000.0,,289000000.0,6000000.0,,41000000.0,-17000000.0,,,,34000000.0,724000000.0,26000000.0,133000000.0,,,,299000000.0,724000000.0,408000000.0,724000000.0,73000000.0,73000000.0,73000000.0
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2013.0,Q1,2013-01-01,2013-03-31,2014-05-08 08:23:03+00:00,1.86,1.86,0.0,32000000.0,1.85,54000000.0,,,137000000.0,137000000.0,0.0,135000000.0,2000000.0,,19000000.0,-9000000.0,,,,17000000.0,352000000.0,18000000.0,66000000.0,,,,152000000.0,352000000.0,191000000.0,352000000.0,72600000.0,73000000.0,73000000.0
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2014.0,FY,2014-01-01,2014-12-31,2017-02-07 08:26:48+00:00,1.72,1.72,0.52,333000000.0,1.71,402000000.0,,96000000.0,1016000000.0,1005000000.0,11000000.0,981000000.0,35000000.0,-96000000.0,266000000.0,55000000.0,,,,1584000000.0,4352000000.0,129000000.0,592000000.0,,96000000.0,,2904000000.0,4352000000.0,1407000000.0,4256000000.0,570300000.0,570000000.0,573000000.0
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2014.0,Q4,2014-10-01,2014-12-31,,0.48,0.48,0.13,89000000.0,0.48,118000000.0,,74000000.0,294000000.0,294000000.0,,274000000.0,20000000.0,-74000000.0,70000000.0,86000000.0,,,,533000000.0,1263000000.0,27000000.0,144000000.0,,74000000.0,,863000000.0,1263000000.0,412000000.0,1189000000.0,570300000.0,570000000.0,573000000.0
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2014.0,Q3YTD,2014-01-01,2014-09-30,,6.2,6.2,1.97,244000000.0,6.2,284000000.0,,22000000.0,722000000.0,711000000.0,11000000.0,707000000.0,15000000.0,-22000000.0,196000000.0,-31000000.0,,,,1051000000.0,3089000000.0,102000000.0,448000000.0,,22000000.0,,2041000000.0,3089000000.0,995000000.0,3067000000.0,121500000.0,114000000.0,114000000.0
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2014.0,Q3TTM,2013-10-01,2014-09-30,,4.64,4.64,2.63,300000000.0,4.64,307000000.0,,78000000.0,502000000.0,591000000.0,-89000000.0,529000000.0,-27000000.0,-78000000.0,239000000.0,-235000000.0,,,,1237000000.0,3757000000.0,213000000.0,557000000.0,,78000000.0,,2546000000.0,3757000000.0,898000000.0,3679000000.0,121500000.0,114000000.0,114000000.0
Intercontinental Exchange Inc,ICE,5493000F4ZO33MV32P92,1571949,2014.0,Q3,2014-07-01,2014-09-30,2015-10-28 08:29:35+00:00,1.81,1.81,0.65,83000000.0,1.8,90000000.0,,22000000.0,213000000.0,223000000.0,-10000000.0,220000000.0,-7000000.0,-22000000.0,64000000.0,5000000.0,,,,349000000.0,1010000000.0,40000000.0,144000000.0,,22000000.0,,680000000.0,1010000000.0,313000000.0,988000000.0,121500000.0,114000000.0,114000000.0
