company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,othergains,otherincome,otheroperatingexpenses,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Pfizer Inc,PFE,765LHXWGK1KXCLTFYQ30,78003,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 13:43:14+00:00,3128000000.0,1.18,1.18,,1.17,1023000000.0,8186000000.0,8255000000.0,-69000000.0,8144000000.0,42000000.0,11239000000.0,48418000000.0,,,,,-1759000000.0,8372000000.0,2534000000.0,15626000000.0,11239000000.0,37179000000.0,,27901000000.0,9278000000.0,,9278000000.0,48418000000.0,6901700000.0,6917000000.0,6939000000.0
Pfizer Inc,PFE,765LHXWGK1KXCLTFYQ30,78003,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 10:00:55+00:00,2668000000.0,1.2,1.2,,1.2,1645000000.0,8127000000.0,8049000000.0,78000000.0,8104000000.0,23000000.0,8112000000.0,48296000000.0,,,,,2032000000.0,8578000000.0,2675000000.0,14537000000.0,8112000000.0,40184000000.0,,30490000000.0,9694000000.0,,9694000000.0,48296000000.0,6753300000.0,6727000000.0,6750000000.0
Pfizer Inc,PFE,765LHXWGK1KXCLTFYQ30,78003,2008.0,Q3,2008-06-30,2008-09-28,2009-11-05 17:15:33+00:00,621000000.0,0.34,0.34,0.32,0.34,463000000.0,2284000000.0,2259000000.0,25000000.0,2278000000.0,6000000.0,2122000000.0,11973000000.0,,,,,721000000.0,1898000000.0,366000000.0,3523000000.0,2122000000.0,9851000000.0,,7129000000.0,2722000000.0,,2722000000.0,11973000000.0,6700000000.0,6718000000.0,6736000000.0
Pfizer Inc,PFE,765LHXWGK1KXCLTFYQ30,78003,2008.0,Q2,2008-03-31,2008-06-29,2009-08-06 17:20:32+00:00,663000000.0,0.41,0.41,0.32,0.41,25000000.0,2782000000.0,2765000000.0,17000000.0,2776000000.0,6000000.0,2289000000.0,12129000000.0,,,,,-167000000.0,2122000000.0,569000000.0,3863000000.0,2289000000.0,9840000000.0,,7050000000.0,2790000000.0,,2790000000.0,12129000000.0,6770700000.0,6732000000.0,6748000000.0
Pfizer Inc,PFE,765LHXWGK1KXCLTFYQ30,78003,2009.0,Q4,2009-09-28,2009-12-31,,1122000000.0,0.05,0.05,-0.64,0.06,-807000000.0,766000000.0,658000000.0,108000000.0,767000000.0,-1000000.0,3506000000.0,15797000000.0,,,,,110000000.0,2840000000.0,3124000000.0,5244000000.0,3506000000.0,12291000000.0,,12440000000.0,-149000000.0,,-149000000.0,15797000000.0,7020300000.0,7007000000.0,7045000000.0
Pfizer Inc,PFE,765LHXWGK1KXCLTFYQ30,78003,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 17:07:08+00:00,2877000000.0,1.23,1.23,,1.23,2145000000.0,8643000000.0,8529000000.0,114000000.0,8635000000.0,8000000.0,8459000000.0,49269000000.0,,,,,285000000.0,7892000000.0,4330000000.0,14752000000.0,8459000000.0,40810000000.0,,30136000000.0,10674000000.0,,10674000000.0,49269000000.0,7020300000.0,7007000000.0,7045000000.0
Pfizer Inc,PFE,765LHXWGK1KXCLTFYQ30,78003,2009.0,Q3YTD,2009-01-01,2009-09-27,,1755000000.0,1.18,1.18,0.64,1.17,2952000000.0,7877000000.0,7871000000.0,6000000.0,7868000000.0,9000000.0,4953000000.0,33472000000.0,,,,,175000000.0,5052000000.0,1206000000.0,9508000000.0,4953000000.0,28519000000.0,,17696000000.0,10823000000.0,,10823000000.0,33472000000.0,6693000000.0,6730000000.0,6762000000.0
Pfizer Inc,PFE,765LHXWGK1KXCLTFYQ30,78003,2009.0,Q3,2009-06-29,2009-09-27,2010-11-12 10:11:48+00:00,594000000.0,0.43,0.43,0.16,0.43,1092000000.0,2881000000.0,2879000000.0,2000000.0,2878000000.0,3000000.0,1789000000.0,11621000000.0,,,,,160000000.0,1632000000.0,193000000.0,3282000000.0,1789000000.0,9832000000.0,,5861000000.0,3971000000.0,,3971000000.0,11621000000.0,6693000000.0,6730000000.0,6762000000.0
Pfizer Inc,PFE,765LHXWGK1KXCLTFYQ30,78003,2009.0,Q2YTD,2009-01-01,2009-06-28,,1161000000.0,0.75,0.75,0.48,0.74,1860000000.0,4996000000.0,4992000000.0,4000000.0,4990000000.0,6000000.0,3164000000.0,21851000000.0,,,,,15000000.0,3420000000.0,1013000000.0,6226000000.0,3164000000.0,18687000000.0,,11835000000.0,6852000000.0,,6852000000.0,21851000000.0,6650000000.0,6728000000.0,6752000000.0
Pfizer Inc,PFE,765LHXWGK1KXCLTFYQ30,78003,2009.0,Q2,2009-03-30,2009-06-28,2010-08-12 16:54:27+00:00,583000000.0,0.34,0.34,0.16,0.34,786000000.0,2266000000.0,2263000000.0,3000000.0,2261000000.0,5000000.0,1756000000.0,10984000000.0,,,,,72000000.0,1715000000.0,459000000.0,3350000000.0,1756000000.0,9228000000.0,,6179000000.0,3049000000.0,,3049000000.0,10984000000.0,6650000000.0,6728000000.0,6752000000.0
