company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,customerdeposits,goodwill,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,noncurrentnotereceivables,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
PulteGroup Inc,PHM,,822416,2009.0,FY,,2009-12-31,2010-11-05 07:13:19+00:00,278333000.0,2153000.0,1843545000.0,,1858234000.0,3194440000.0,955186000.0,360921000.0,74057000.0,895918000.0,188548000.0,4281532000.0,240632000.0,5173135000.0,,,,,,705040000.0,,32376000.0,,18394000.0,10051222000.0,3194440000.0,8021084000.0,2575250000.0,3194440000.0,3194440000.0,6856782000.0,10051222000.0,2030138000.0,4281532000.0,
PulteGroup Inc,PHM,,822416,2010.0,FY,,2010-12-31,2012-02-09 09:52:17+00:00,226466000.0,,1599940000.0,-1519000.0,1483390000.0,2976739000.0,81307000.0,294408000.0,51727000.0,240541000.0,175448000.0,3391668000.0,46313000.0,4852868000.0,50781000.0,,,176164000.0,,567963000.0,,24601000.0,-840053000.0,,7699376000.0,2135167000.0,6442166000.0,2172541000.0,2135167000.0,2135167000.0,5564209000.0,7699376000.0,1206429000.0,3391668000.0,0.0
PulteGroup Inc,PHM,,822416,2010.0,Q3,,2010-09-30,2010-11-05 07:13:19+00:00,280135000.0,9843000.0,1832881000.0,,2623282000.0,2296423000.0,136845000.0,318312000.0,78502000.0,240541000.0,178723000.0,4286383000.0,238981000.0,5038286000.0,,,,,,593173000.0,,32962000.0,,,9092636000.0,2296423000.0,7841218000.0,2509830000.0,2296423000.0,2296423000.0,6796213000.0,9092636000.0,1251418000.0,4286383000.0,
PulteGroup Inc,PHM,,822416,2010.0,Q2,,2010-06-30,2010-08-05 16:09:45+00:00,275974000.0,23538000.0,1609530000.0,,2746626000.0,3281786000.0,86631000.0,298432000.0,89606000.0,895464000.0,181998000.0,4284766000.0,330696000.0,5000957000.0,,,,,,620585000.0,,29001000.0,,75402000.0,9915496000.0,3281786000.0,7886753000.0,2348944000.0,3281786000.0,3281786000.0,6633710000.0,9915496000.0,2028743000.0,4284766000.0,
PulteGroup Inc,PHM,,822416,2011.0,FY,,2011-12-31,2012-10-25 09:51:22+00:00,196447000.0,,1411941000.0,,1083071000.0,1938615000.0,27154000.0,203313000.0,46960000.0,,162348000.0,3088344000.0,35988000.0,4771775000.0,24905000.0,,,258075000.0,,420444000.0,,101860000.0,,0.0,6885620000.0,1938615000.0,5983860000.0,1858661000.0,1938615000.0,1938615000.0,4947005000.0,6885620000.0,876855000.0,3088344000.0,
PulteGroup Inc,PHM,,822416,2011.0,Q3,,2011-09-30,2011-10-28 16:26:50+00:00,224956000.0,16529000.0,1445305000.0,,1142513000.0,1923467000.0,79378000.0,221128000.0,78435000.0,0.0,165623000.0,3335363000.0,211140000.0,5049653000.0,,,,,,450522000.0,,113296000.0,,,7228654000.0,1923467000.0,6401369000.0,1969824000.0,1923467000.0,1923467000.0,5305187000.0,7228654000.0,827285000.0,3335363000.0,
PulteGroup Inc,PHM,,822416,2011.0,Q2,,2011-06-30,2011-08-01 08:01:27+00:00,218853000.0,13634000.0,1448190000.0,,1075223000.0,2049727000.0,78864000.0,292002000.0,84570000.0,240541000.0,168898000.0,3332263000.0,189560000.0,5063319000.0,,,,,,467332000.0,,128234000.0,,,7425605000.0,2049727000.0,6359274000.0,2043615000.0,2049727000.0,2049727000.0,5375878000.0,7425605000.0,1066331000.0,3332263000.0,
PulteGroup Inc,PHM,,822416,2011.0,Q1,,2011-03-31,2011-04-28 17:17:43+00:00,206067000.0,12473000.0,1473415000.0,,1292949000.0,2100140000.0,79449000.0,289605000.0,66422000.0,240541000.0,172173000.0,3380980000.0,189316000.0,4907177000.0,,,,,,489147000.0,,133404000.0,,,7516629000.0,2100140000.0,6425452000.0,2035509000.0,2100140000.0,2100140000.0,5416489000.0,7516629000.0,1091177000.0,3380980000.0,
PulteGroup Inc,PHM,,822416,2012.0,FY,,2012-12-31,2014-02-05 15:49:29+00:00,178274000.0,,1418063000.0,-992000.0,1404760000.0,3034755000.0,,198865000.0,101183000.0,,149248000.0,2509613000.0,45629000.0,4305150000.0,31066000.0,,0.0,318931000.0,,407675000.0,,71950000.0,-844147000.0,138795000.0,6734409000.0,2189616000.0,5781860000.0,2035180000.0,2189616000.0,2189616000.0,4544793000.0,6734409000.0,921483000.0,2509613000.0,0.0
PulteGroup Inc,PHM,,822416,2012.0,Q3,,2012-09-30,2012-10-25 09:51:22+00:00,210332000.0,,1380941000.0,,1563651000.0,2122046000.0,28282000.0,202280000.0,122144000.0,,152523000.0,2999837000.0,30794000.0,4600094000.0,11054000.0,,,263378000.0,,414074000.0,,76730000.0,,103000000.0,7140580000.0,2122046000.0,6268757000.0,2018697000.0,2122046000.0,2122046000.0,5018534000.0,7140580000.0,860769000.0,2999837000.0,
