company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,preferreddividends,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Pitney Bowes Inc,PBI,549300N2O26NW4ST6W55,78814,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 14:46:36+00:00,1.68,1.68,,1.66,,280222000.0,386023000.0,380489000.0,5534000.0,366781000.0,,2974239000.0,4365202000.0,,,380000.0,,1764593000.0,,19242000.0,185665000.0,264013000.0,1930324000.0,2974239000.0,3155556000.0,123892000.0,8669000.0,2380002000.0,775554000.0,-114843000.0,660711000.0,6129795000.0,218300000.0,218300000.0,221000000.0
Pitney Bowes Inc,PBI,549300N2O26NW4ST6W55,78814,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 21:09:10+00:00,2.02,2.02,1.4,2.0,,244929000.0,440548000.0,468248000.0,-27700000.0,419793000.0,,3066072000.0,6262305000.0,,,,,,,20755000.0,205620000.0,200254000.0,1970868000.0,3066072000.0,3196233000.0,119207000.0,12893000.0,2376742000.0,819491000.0,-106314000.0,713177000.0,6262305000.0,208425000.0,208425000.0,208425000.0
Pitney Bowes Inc,PBI,549300N2O26NW4ST6W55,78814,2008.0,Q3,2008-07-01,2008-09-30,2009-11-06 13:32:28+00:00,0.47,0.47,0.35,0.47,,69456000.0,104769000.0,106832000.0,,98229000.0,,757640000.0,1065474000.0,-2063000.0,,,,482199000.0,,6540000.0,53008000.0,49229000.0,484650000.0,757640000.0,790033000.0,30037000.0,3179000.0,586887000.0,203146000.0,-26858000.0,176288000.0,1547673000.0,209000000.0,209000000.0,209000000.0
Pitney Bowes Inc,PBI,549300N2O26NW4ST6W55,78814,2008.0,Q2,2008-04-01,2008-06-30,2009-08-05 16:45:09+00:00,0.62,0.62,0.35,0.61,,70386000.0,133305000.0,136136000.0,,128509000.0,,785317000.0,1100129000.0,-2831000.0,,,,487957000.0,,4796000.0,53168000.0,18815000.0,497689000.0,785317000.0,802769000.0,30137000.0,3562000.0,569672000.0,233097000.0,-26575000.0,206522000.0,1588086000.0,207300000.0,207300000.0,210700000.0
Pitney Bowes Inc,PBI,549300N2O26NW4ST6W55,78814,2009.0,Q4,2009-10-01,2009-12-31,,-1.58,-1.58,-1.08,-1.57,,-192375000.0,-338605000.0,-333309000.0,-7725000.0,-324891000.0,,-2038909000.0,-2770373000.0,2429000.0,,,,-1344493000.0,,-13714000.0,-138623000.0,-12845000.0,-1317410000.0,-2038909000.0,-2075957000.0,-84548000.0,-3153000.0,-1468878000.0,-607079000.0,81395000.0,-525684000.0,-4114866000.0,,,
Pitney Bowes Inc,PBI,549300N2O26NW4ST6W55,78814,2009.0,Q3YTD,2009-01-01,2009-09-30,,1.58,1.58,1.08,1.57,,192375000.0,338605000.0,333309000.0,7725000.0,324891000.0,,2038909000.0,2770373000.0,-2429000.0,,,,1344493000.0,,13714000.0,138623000.0,12845000.0,1317410000.0,2038909000.0,2075957000.0,84548000.0,3153000.0,1468878000.0,607079000.0,-81395000.0,525684000.0,4114866000.0,207076000.0,207076000.0,207076000.0
Pitney Bowes Inc,PBI,549300N2O26NW4ST6W55,78814,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 15:32:17+00:00,0.5,0.5,0.36,0.5,,57691000.0,107849000.0,110278000.0,,103227000.0,,668447000.0,909064000.0,-2429000.0,,,,447756000.0,,4622000.0,45052000.0,12845000.0,435931000.0,668447000.0,688373000.0,27244000.0,668000.0,493828000.0,194545000.0,-26576000.0,167969000.0,1356820000.0,207076000.0,207076000.0,207076000.0
Pitney Bowes Inc,PBI,549300N2O26NW4ST6W55,78814,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.08,1.08,0.72,1.07,,134684000.0,230756000.0,223031000.0,7725000.0,221664000.0,,1370462000.0,1861309000.0,,,,,896737000.0,,9092000.0,93571000.0,,881479000.0,1370462000.0,1387584000.0,57304000.0,2485000.0,975050000.0,412534000.0,-54819000.0,357715000.0,2758046000.0,206539000.0,206539000.0,206539000.0
Pitney Bowes Inc,PBI,549300N2O26NW4ST6W55,78814,2009.0,Q2,2009-04-01,2009-06-30,2010-08-05 16:41:54+00:00,0.57,0.57,0.36,0.57,,62535000.0,121833000.0,116731000.0,5102000.0,117262000.0,,692866000.0,936454000.0,,,,,442008000.0,,4571000.0,46622000.0,0.0,431088000.0,692866000.0,685596000.0,29553000.0,933000.0,477710000.0,207886000.0,-28620000.0,179266000.0,1378462000.0,206539000.0,206539000.0,206539000.0
Pitney Bowes Inc,PBI,549300N2O26NW4ST6W55,78814,2009.0,Q1,2009-01-01,2009-03-31,2010-05-05 16:12:13+00:00,0.51,0.51,0.36,0.5,,72149000.0,108923000.0,106300000.0,2623000.0,104402000.0,,677596000.0,924855000.0,,,,,454729000.0,,4521000.0,46949000.0,0.0,450391000.0,677596000.0,701988000.0,27751000.0,1552000.0,497340000.0,204648000.0,-26199000.0,178449000.0,1379584000.0,204700000.0,204700000.0,208800000.0
