company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Exelon Corp,EXC,3SOUA6IRML7435B56G12,1109357,2007.0,FY,2007-01-01,2007-12-31,2010-02-05 15:16:34+00:00,,2183000000.0,,798000000.0,1208000000.0,,1212000000.0,15074000000.0,8418000000.0,1212000000.0,15074000000.0,8418000000.0,24704000000.0,5437000000.0,5437000000.0,0.0,,45000000.0,,4000000.0,0.0,,,,,15029000000.0,
Exelon Corp,EXC,3SOUA6IRML7435B56G12,1109357,2008.0,Q4,2008-10-01,2008-12-31,,,583000000.0,,-184000000.0,-306000000.0,2333000000.0,-2221000000.0,-32363000000.0,28000000.0,-2221000000.0,-32363000000.0,28000000.0,-34556000000.0,-1374000000.0,-1374000000.0,1003000000.0,-64000000.0,52000000.0,,-1338000000.0,-10942000000.0,-3117000000.0,-2410000000.0,-436000000.0,,-18356000000.0,
Exelon Corp,EXC,3SOUA6IRML7435B56G12,1109357,2008.0,FY,2008-01-01,2008-12-31,2011-02-10 15:36:39+00:00,0.0,2308000000.0,,503000000.0,130000000.0,2333000000.0,-2213000000.0,-3378000000.0,6551000000.0,-2213000000.0,-3378000000.0,6551000000.0,960000000.0,2737000000.0,2737000000.0,1003000000.0,-64000000.0,24000000.0,,-1335000000.0,-10942000000.0,-3117000000.0,-2841000000.0,-436000000.0,,10657000000.0,
Exelon Corp,EXC,3SOUA6IRML7435B56G12,1109357,2008.0,Q3,2008-07-01,2008-09-30,,,629000000.0,,1616000000.0,331000000.0,-2881000000.0,-38000000.0,30684000000.0,4849000000.0,-38000000.0,30684000000.0,4849000000.0,35495000000.0,2782000000.0,2782000000.0,-178000000.0,64000000.0,-4000000.0,,662000000.0,10679000000.0,1511000000.0,1350000000.0,436000000.0,,18498000000.0,
Exelon Corp,EXC,3SOUA6IRML7435B56G12,1109357,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-23 15:55:43+00:00,,1725000000.0,,687000000.0,436000000.0,,8000000.0,28985000000.0,6523000000.0,8000000.0,28985000000.0,6523000000.0,35516000000.0,4111000000.0,4111000000.0,0.0,,-28000000.0,,3000000.0,,,-431000000.0,,,29013000000.0,
Exelon Corp,EXC,3SOUA6IRML7435B56G12,1109357,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-07-24 15:31:30+00:00,,1096000000.0,,-929000000.0,105000000.0,2881000000.0,46000000.0,-1699000000.0,1674000000.0,46000000.0,-1699000000.0,1674000000.0,21000000.0,1329000000.0,1329000000.0,178000000.0,-64000000.0,-24000000.0,,-659000000.0,-10679000000.0,-1511000000.0,-1781000000.0,-436000000.0,,10515000000.0,
Exelon Corp,EXC,3SOUA6IRML7435B56G12,1109357,2009.0,Q4,2009-10-01,2009-12-31,,,666000000.0,,186000000.0,14000000.0,,-755000000.0,-1074000000.0,1465000000.0,-755000000.0,-1074000000.0,1465000000.0,-364000000.0,581000000.0,581000000.0,32000000.0,,-7000000.0,,-347000000.0,14390000000.0,-1021000000.0,-422000000.0,,,-14436000000.0,
Exelon Corp,EXC,3SOUA6IRML7435B56G12,1109357,2009.0,FY,2009-01-01,2009-12-31,2012-02-09 15:21:51+00:00,0.0,2601000000.0,,706000000.0,42000000.0,1987000000.0,-1897000000.0,-3458000000.0,6094000000.0,-1897000000.0,-3458000000.0,6094000000.0,739000000.0,2707000000.0,2707000000.0,80000000.0,0.0,41000000.0,,-1385000000.0,-4559000000.0,-3273000000.0,-2541000000.0,0.0,,4333000000.0,
Exelon Corp,EXC,3SOUA6IRML7435B56G12,1109357,2009.0,Q3TTM,2008-10-01,2009-09-30,,,2518000000.0,,336000000.0,-278000000.0,4320000000.0,-3363000000.0,-34747000000.0,4657000000.0,-3363000000.0,-34747000000.0,4657000000.0,-33453000000.0,752000000.0,752000000.0,1051000000.0,-64000000.0,100000000.0,,-2376000000.0,-29891000000.0,-5369000000.0,-4529000000.0,-436000000.0,,413000000.0,
Exelon Corp,EXC,3SOUA6IRML7435B56G12,1109357,2009.0,Q3,2009-07-01,2009-09-30,,,682000000.0,,618000000.0,9000000.0,1497000000.0,-208000000.0,-838000000.0,1582000000.0,-208000000.0,-838000000.0,1582000000.0,536000000.0,757000000.0,757000000.0,-475000000.0,,21000000.0,,-346000000.0,-8670000000.0,-808000000.0,-1368000000.0,,,8619000000.0,
