company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,otheroperatingexpenses,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Fiserv Inc,FISV,GI7UBEJLXYLGR2C7GV83,798354,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 14:29:23+00:00,2.64,2.64,,2.6,255000000.0,439000000.0,412000000.0,27000000.0,439000000.0,,2428000000.0,3677000000.0,0.0,0.0,,513000000.0,2428000000.0,1249000000.0,76000000.0,7000000.0,513000000.0,736000000.0,-69000000.0,667000000.0,3677000000.0,166300000.0,166600000.0,168800000.0
Fiserv Inc,FISV,GI7UBEJLXYLGR2C7GV83,798354,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 13:44:55+00:00,3.51,3.51,,3.49,288000000.0,569000000.0,358000000.0,211000000.0,569000000.0,,2866000000.0,4587000000.0,6000000.0,-21000000.0,,813000000.0,2866000000.0,1721000000.0,260000000.0,13000000.0,813000000.0,908000000.0,-268000000.0,640000000.0,4587000000.0,162100000.0,162000000.0,163100000.0
Fiserv Inc,FISV,GI7UBEJLXYLGR2C7GV83,798354,2008.0,Q3,2008-07-01,2008-09-30,2009-11-06 15:55:42+00:00,0.48,0.48,,0.48,107000000.0,78000000.0,75000000.0,3000000.0,78000000.0,,622000000.0,1038000000.0,3000000.0,19000000.0,,199000000.0,622000000.0,416000000.0,57000000.0,,199000000.0,217000000.0,-38000000.0,179000000.0,1038000000.0,162500000.0,162500000.0,163800000.0
Fiserv Inc,FISV,GI7UBEJLXYLGR2C7GV83,798354,2008.0,Q2,2008-04-01,2008-06-30,2009-08-06 15:00:07+00:00,0.61,0.61,,0.6,64000000.0,100000000.0,102000000.0,-2000000.0,100000000.0,,849000000.0,1292000000.0,0.0,,,216000000.0,849000000.0,443000000.0,61000000.0,,216000000.0,227000000.0,-61000000.0,166000000.0,1292000000.0,163900000.0,163400000.0,164800000.0
Fiserv Inc,FISV,GI7UBEJLXYLGR2C7GV83,798354,2009.0,Q4,2009-10-01,2009-12-31,,0.77,0.77,,0.76,79000000.0,118000000.0,128000000.0,-10000000.0,118000000.0,,611000000.0,1062000000.0,2000000.0,,,195000000.0,611000000.0,451000000.0,59000000.0,8000000.0,195000000.0,256000000.0,-51000000.0,205000000.0,1062000000.0,154500000.0,154500000.0,155400000.0
Fiserv Inc,FISV,GI7UBEJLXYLGR2C7GV83,798354,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 12:26:48+00:00,3.08,3.08,,3.06,273000000.0,476000000.0,473000000.0,3000000.0,476000000.0,,2380000000.0,4077000000.0,12000000.0,,,751000000.0,2380000000.0,1697000000.0,220000000.0,8000000.0,751000000.0,946000000.0,-212000000.0,734000000.0,4077000000.0,154500000.0,154500000.0,155400000.0
Fiserv Inc,FISV,GI7UBEJLXYLGR2C7GV83,798354,2009.0,Q3YTD,2009-01-01,2009-09-30,,2.31,2.31,,2.3,194000000.0,358000000.0,345000000.0,13000000.0,358000000.0,,1769000000.0,3015000000.0,10000000.0,,,556000000.0,1769000000.0,1246000000.0,161000000.0,,556000000.0,690000000.0,-161000000.0,529000000.0,3015000000.0,153300000.0,153900000.0,155200000.0
Fiserv Inc,FISV,GI7UBEJLXYLGR2C7GV83,798354,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 14:56:23+00:00,0.75,0.75,,0.74,60000000.0,115000000.0,124000000.0,-9000000.0,115000000.0,,579000000.0,992000000.0,5000000.0,,,182000000.0,579000000.0,413000000.0,52000000.0,,182000000.0,231000000.0,-52000000.0,179000000.0,992000000.0,153300000.0,153900000.0,155200000.0
Fiserv Inc,FISV,GI7UBEJLXYLGR2C7GV83,798354,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.56,1.56,,1.56,134000000.0,243000000.0,221000000.0,22000000.0,243000000.0,,1190000000.0,2023000000.0,5000000.0,,,374000000.0,1190000000.0,833000000.0,109000000.0,,374000000.0,459000000.0,-109000000.0,350000000.0,2023000000.0,155600000.0,155000000.0,155800000.0
Fiserv Inc,FISV,GI7UBEJLXYLGR2C7GV83,798354,2009.0,Q2,2009-04-01,2009-06-30,2010-08-05 12:13:45+00:00,0.9,0.9,,0.9,68000000.0,140000000.0,115000000.0,25000000.0,140000000.0,,590000000.0,1000000000.0,4000000.0,,,176000000.0,590000000.0,410000000.0,55000000.0,,176000000.0,234000000.0,-55000000.0,179000000.0,1000000000.0,155600000.0,155000000.0,155800000.0
