company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 16:48:39+00:00,653000000.0,1602000000.0,339000000.0,0.0,-30000000.0,230000000.0,0.0,10781000000.0,1567000000.0,-5058000000.0,5992000000.0,1567000000.0,-5058000000.0,5992000000.0,2471000000.0,,3729000000.0,3729000000.0,1694000000.0,989000000.0,-1306000000.0,-533000000.0,-133971000000.0,-6670000000.0,-3000000000.0,130219000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2008.0,Q4,2008-10-01,2008-12-31,,508000000.0,1468000000.0,344000000.0,,110000000.0,4459000000.0,,4428000000.0,-1399000000.0,433000000.0,4523000000.0,-1399000000.0,433000000.0,4523000000.0,3667000000.0,,-1583000000.0,-1583000000.0,1303000000.0,1012000000.0,-578000000.0,-231000000.0,-42695000000.0,-6557000000.0,-51000000.0,43706000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:36:09+00:00,508000000.0,1468000000.0,717000000.0,0.0,97000000.0,5764000000.0,0.0,11781000000.0,3721000000.0,-10705000000.0,10855000000.0,3721000000.0,-10705000000.0,10855000000.0,3968000000.0,,-1081000000.0,-1081000000.0,5455000000.0,11050000000.0,-1738000000.0,-317000000.0,-167093000000.0,-16632000000.0,-2161000000.0,158126000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2008.0,Q3,2008-07-01,2008-09-30,,,,165000000.0,,-30000000.0,1594000000.0,,1565000000.0,4881000000.0,-6143000000.0,2710000000.0,4881000000.0,-6143000000.0,2710000000.0,1418000000.0,,-171000000.0,-171000000.0,1122000000.0,4261000000.0,-423000000.0,-3000000.0,-40693000000.0,-549000000.0,-393000000.0,34973000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-06 16:18:22+00:00,,,373000000.0,,-13000000.0,1305000000.0,0.0,7353000000.0,5120000000.0,-11138000000.0,6332000000.0,5120000000.0,-11138000000.0,6332000000.0,301000000.0,,502000000.0,502000000.0,4152000000.0,10038000000.0,-1160000000.0,-86000000.0,-124398000000.0,-10075000000.0,-2110000000.0,114420000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-07 16:10:54+00:00,,,208000000.0,,17000000.0,-289000000.0,0.0,5788000000.0,239000000.0,-4995000000.0,3622000000.0,239000000.0,-4995000000.0,3622000000.0,-1117000000.0,,673000000.0,673000000.0,3030000000.0,5777000000.0,-737000000.0,-83000000.0,-83705000000.0,-9526000000.0,-1717000000.0,79447000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2009.0,Q4,2009-10-01,2009-12-31,,,,-158000000.0,,-83000000.0,455000000.0,-1391000000.0,-5151000000.0,6447000000.0,1396000000.0,-4703000000.0,6447000000.0,1396000000.0,-4703000000.0,3057000000.0,,-1215000000.0,-1215000000.0,-3785000000.0,1138000000.0,1174000000.0,39000000.0,85621000000.0,11812000000.0,,-85399000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2009.0,Q3TTM,2008-10-01,2009-09-30,,508000000.0,1468000000.0,502000000.0,,193000000.0,4004000000.0,1391000000.0,9579000000.0,-7846000000.0,-963000000.0,9226000000.0,-7846000000.0,-963000000.0,9226000000.0,610000000.0,,-368000000.0,-368000000.0,5088000000.0,-126000000.0,-1752000000.0,-270000000.0,-128316000000.0,-18369000000.0,-51000000.0,129105000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2009.0,Q3,2009-07-01,2009-09-30,,,,-34000000.0,,136000000.0,-1064000000.0,,2283000000.0,-1013000000.0,-1587000000.0,944000000.0,-1013000000.0,-1587000000.0,944000000.0,-1520000000.0,,1032000000.0,1032000000.0,1010000000.0,-1336000000.0,-389000000.0,-2000000.0,-29021000000.0,-1958000000.0,,27823000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-05 17:35:18+00:00,,,158000000.0,,83000000.0,-455000000.0,1391000000.0,5151000000.0,-6447000000.0,-1396000000.0,4703000000.0,-6447000000.0,-1396000000.0,4703000000.0,-3057000000.0,,1215000000.0,1215000000.0,3785000000.0,-1138000000.0,-1174000000.0,-39000000.0,-85621000000.0,-11812000000.0,,85399000000.0
