company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinvestmentincome,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,deferredacquisitioncost,futurepolicybenefits,longtermdebt,mortgageservicingrights,noncontrollinginterests,otherassets,otherlongtermliabilities,participatingpolicyholderequity,retainedearnings,separateaccountbusinessassets,separateaccountbusinessliabilities,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2008.0,FY,,2008-12-31,2010-02-26 16:48:39+00:00,2266000000.0,-7343000000.0,15028000000.0,,22001000000.0,15126000000.0,121951000000.0,20290000000.0,33114000000.0,351000000.0,38750000000.0,22171000000.0,101283000000.0,10426000000.0,147095000000.0,147095000000.0,18435000000.0,445011000000.0,13429000000.0,13435000000.0,13786000000.0,431225000000.0,445011000000.0,0.0,193632000000.0,-11655000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2009.0,FY,,2009-12-31,2011-02-25 16:36:09+00:00,2322000000.0,-443000000.0,13164000000.0,,23235000000.0,14578000000.0,125707000000.0,21037000000.0,31384000000.0,534000000.0,32484000000.0,21581000000.0,102920000000.0,13787000000.0,174074000000.0,174074000000.0,9155000000.0,480203000000.0,25189000000.0,25195000000.0,25729000000.0,454474000000.0,480203000000.0,0.0,212197000000.0,-11390000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2009.0,Q3,,2009-09-30,2009-11-06 16:18:22+00:00,2332000000.0,99000000.0,11971000000.0,,23348000000.0,14127000000.0,124463000000.0,22759000000.0,32125000000.0,549000000.0,38498000000.0,23019000000.0,102869000000.0,12287000000.0,168128000000.0,168128000000.0,9382000000.0,475467000000.0,24292000000.0,24298000000.0,24847000000.0,450620000000.0,475467000000.0,0.0,208286000000.0,-11442000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2009.0,Q2,,2009-06-30,2009-08-07 16:10:54+00:00,2231000000.0,-5002000000.0,13491000000.0,0.0,23331000000.0,14474000000.0,121394000000.0,20981000000.0,32694000000.0,602000000.0,36598000000.0,18645000000.0,102944000000.0,11238000000.0,151266000000.0,151266000000.0,10811000000.0,444716000000.0,18073000000.0,18073000000.0,18675000000.0,426041000000.0,444716000000.0,0.0,193962000000.0,-11494000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2010.0,Q3,,2010-09-30,2010-11-05 17:35:18+00:00,2416000000.0,4729000000.0,11973000000.0,,23222000000.0,15054000000.0,133660000000.0,22337000000.0,31924000000.0,522000000.0,31844000000.0,24208000000.0,109682000000.0,16794000000.0,194463000000.0,194463000000.0,8506000000.0,526924000000.0,33540000000.0,33546000000.0,34068000000.0,492856000000.0,526924000000.0,0.0,239250000000.0,-11205000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2010.0,Q2,,2010-06-30,2010-08-09 16:12:20+00:00,2333000000.0,2200000000.0,11352000000.0,,23199000000.0,14213000000.0,128647000000.0,22399000000.0,31447000000.0,545000000.0,32041000000.0,22057000000.0,105217000000.0,15555000000.0,179260000000.0,179260000000.0,8139000000.0,495988000000.0,29718000000.0,29724000000.0,30269000000.0,465719000000.0,495988000000.0,0.0,225342000000.0,-11236000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2010.0,Q1,,2010-03-31,2010-05-07 17:01:47+00:00,2368000000.0,620000000.0,9626000000.0,,23186000000.0,14718000000.0,125743000000.0,21641000000.0,30760000000.0,506000000.0,33200000000.0,21735000000.0,103438000000.0,14478000000.0,182621000000.0,182621000000.0,9177000000.0,491861000000.0,26994000000.0,27000000000.0,27506000000.0,464355000000.0,491861000000.0,0.0,218568000000.0,-11290000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2011.0,FY,,2011-12-31,2013-02-22 16:36:17+00:00,2793000000.0,5245000000.0,14251000000.0,,24299000000.0,12517000000.0,170671000000.0,25146000000.0,35431000000.0,588000000.0,36736000000.0,22297000000.0,140355000000.0,16629000000.0,218380000000.0,218380000000.0,8554000000.0,620244000000.0,34253000000.0,34253000000.0,34841000000.0,585403000000.0,620244000000.0,0.0,300136000000.0,-11920000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2011.0,Q2,,2011-06-30,2011-08-05 17:21:22+00:00,2737000000.0,4014000000.0,13909000000.0,,24239000000.0,17289000000.0,160241000000.0,24578000000.0,33528000000.0,593000000.0,40012000000.0,26457000000.0,135042000000.0,17811000000.0,222892000000.0,222892000000.0,8531000000.0,613377000000.0,35037000000.0,35043000000.0,35636000000.0,577741000000.0,613377000000.0,0.0,283010000000.0,-11027000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2011.0,Q1,,2011-03-31,2011-05-06 16:24:39+00:00,2760000000.0,2564000000.0,10995000000.0,,24210000000.0,16973000000.0,153888000000.0,24033000000.0,32960000000.0,550000000.0,39878000000.0,24652000000.0,136625000000.0,16978000000.0,218382000000.0,218382000000.0,8182000000.0,599008000000.0,32690000000.0,32696000000.0,33246000000.0,565762000000.0,599008000000.0,0.0,277060000000.0,-11062000000.0
Prudential Financial Inc,PRU,5PRBRS5FEH7NREC8OR45,1137774,2012.0,FY,,2012-12-31,2014-02-27 16:24:20+00:00,3127000000.0,10214000000.0,18100000000.0,,24386000000.0,14100000000.0,216050000000.0,26306000000.0,36733000000.0,609000000.0,33094000000.0,24291000000.0,141920000000.0,16066000000.0,253254000000.0,253254000000.0,8302000000.0,709235000000.0,38503000000.0,38503000000.0,39112000000.0,670123000000.0,709235000000.0,0.0,350827000000.0,-12163000000.0
