company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,explorationexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otheroperatingexpenses,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
XTO ENERGY INC,XTO,,868809,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 14:04:52+00:00,3.57,3.57,0.408,1187000000.0,3.52,52000000.0,951000000.0,615000000.0,1691000000.0,1691000000.0,1691000000.0,81000000.0,5513000000.0,455000000.0,231000000.0,81000000.0,5432000000.0,250000000.0,2540000000.0,2892000000.0,-250000000.0,2642000000.0,5513000000.0,473700000.0,473700000.0,480400000.0
XTO ENERGY INC,XTO,,868809,2008.0,FY,2008-01-01,2008-12-31,2010-02-25 14:04:52+00:00,3.58,3.58,0.48,2025000000.0,3.54,88000000.0,1114000000.0,942000000.0,1912000000.0,1912000000.0,1912000000.0,101000000.0,7695000000.0,649000000.0,382000000.0,101000000.0,7594000000.0,482000000.0,4086000000.0,3508000000.0,-482000000.0,3026000000.0,7695000000.0,534100000.0,534100000.0,540100000.0
XTO ENERGY INC,XTO,,868809,2008.0,Q3,2008-07-01,2008-09-30,2009-11-05 13:01:14+00:00,0.95,0.95,0.12,498000000.0,0.94,30000000.0,316000000.0,262000000.0,521000000.0,521000000.0,521000000.0,25000000.0,2125000000.0,258000000.0,83000000.0,25000000.0,2100000000.0,132000000.0,1131000000.0,969000000.0,-132000000.0,837000000.0,2125000000.0,548400000.0,548400000.0,554300000.0
XTO ENERGY INC,XTO,,868809,2008.0,Q2,2008-04-01,2008-06-30,2009-08-06 11:15:45+00:00,1.12,1.12,0.12,413000000.0,1.11,14000000.0,329000000.0,215000000.0,575000000.0,575000000.0,575000000.0,24000000.0,1936000000.0,175000000.0,89000000.0,24000000.0,1912000000.0,102000000.0,906000000.0,1006000000.0,-102000000.0,904000000.0,1936000000.0,513400000.0,513400000.0,518000000.0
XTO ENERGY INC,XTO,,868809,2009.0,Q4,2009-10-01,2009-12-31,,0.92,0.92,0.13,786000000.0,0.92,13000000.0,316000000.0,248000000.0,537000000.0,537000000.0,537000000.0,32000000.0,2342000000.0,193000000.0,81000000.0,32000000.0,2310000000.0,136000000.0,1321000000.0,989000000.0,-136000000.0,853000000.0,2342000000.0,580200000.0,580200000.0,583500000.0
XTO ENERGY INC,XTO,,868809,2009.0,FY,2009-01-01,2009-12-31,2010-02-25 14:04:52+00:00,3.48,3.48,0.5,3079000000.0,3.46,77000000.0,1144000000.0,999000000.0,2019000000.0,2019000000.0,2019000000.0,124000000.0,9064000000.0,742000000.0,356000000.0,124000000.0,8940000000.0,524000000.0,5253000000.0,3687000000.0,-524000000.0,3163000000.0,9064000000.0,580200000.0,580200000.0,583500000.0
XTO ENERGY INC,XTO,,868809,2009.0,Q3YTD,2009-01-01,2009-09-30,,2.56,2.56,0.38,2293000000.0,2.54,64000000.0,828000000.0,751000000.0,1482000000.0,1482000000.0,1482000000.0,92000000.0,6722000000.0,549000000.0,275000000.0,92000000.0,6630000000.0,388000000.0,3932000000.0,2698000000.0,-388000000.0,2310000000.0,6722000000.0,581400000.0,581400000.0,581400000.0
XTO ENERGY INC,XTO,,868809,2009.0,Q3,2009-07-01,2009-09-30,2009-11-05 13:01:14+00:00,0.86,0.86,0.125,811000000.0,0.86,10000000.0,283000000.0,248000000.0,500000000.0,500000000.0,500000000.0,34000000.0,2288000000.0,186000000.0,80000000.0,34000000.0,2254000000.0,136000000.0,1335000000.0,919000000.0,-136000000.0,783000000.0,2288000000.0,581400000.0,581400000.0,581400000.0
XTO ENERGY INC,XTO,,868809,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.7,1.7,0.25,1482000000.0,1.68,54000000.0,545000000.0,503000000.0,982000000.0,982000000.0,982000000.0,58000000.0,4434000000.0,363000000.0,195000000.0,58000000.0,4376000000.0,252000000.0,2597000000.0,1779000000.0,-252000000.0,1527000000.0,4434000000.0,576700000.0,576700000.0,583500000.0
XTO ENERGY INC,XTO,,868809,2009.0,Q2,2009-04-01,2009-06-30,2009-08-06 11:15:45+00:00,0.86,0.86,0.125,783000000.0,0.85,20000000.0,276000000.0,247000000.0,496000000.0,496000000.0,496000000.0,29000000.0,2273000000.0,198000000.0,98000000.0,29000000.0,2244000000.0,126000000.0,1346000000.0,898000000.0,-126000000.0,772000000.0,2273000000.0,576700000.0,576700000.0,583500000.0
XTO ENERGY INC,XTO,,868809,2009.0,Q1,2009-01-01,2009-03-31,2010-05-06 12:21:50+00:00,0.84,0.84,0.125,699000000.0,0.83,34000000.0,269000000.0,256000000.0,486000000.0,486000000.0,486000000.0,29000000.0,2161000000.0,165000000.0,97000000.0,29000000.0,2132000000.0,126000000.0,1251000000.0,881000000.0,-126000000.0,755000000.0,2161000000.0,578600000.0,578600000.0,585500000.0
XTO ENERGY INC,XTO,,868809,2010.0,Q1TTM,2009-04-01,2010-03-31,,3.2,3.2,0.5,3133000000.0,3.19,56000000.0,1062000000.0,998000000.0,1863000000.0,1863000000.0,1863000000.0,131000000.0,8904000000.0,767000000.0,357000000.0,131000000.0,8773000000.0,537000000.0,5311000000.0,3462000000.0,-537000000.0,2925000000.0,8904000000.0,589300000.0,589300000.0,589300000.0
XTO ENERGY INC,XTO,,868809,2010.0,Q1,2010-01-01,2010-03-31,2010-05-06 12:21:50+00:00,0.56,0.56,0.125,753000000.0,0.56,13000000.0,187000000.0,255000000.0,330000000.0,330000000.0,330000000.0,36000000.0,2001000000.0,190000000.0,98000000.0,36000000.0,1965000000.0,139000000.0,1309000000.0,656000000.0,-139000000.0,517000000.0,2001000000.0,589300000.0,589300000.0,589300000.0
