company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,saleofplantpropertyandequipment
XTO ENERGY INC,XTO,,868809,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 14:04:52+00:00,1187000000.0,630000000.0,1009000000.0,7293000000.0,3701000000.0,-7345000000.0,3639000000.0,3701000000.0,-7345000000.0,3639000000.0,-5000000.0,1691000000.0,1691000000.0,131000000.0,33000000.0,-170000000.0,-7346000000.0,-4464000000.0,1000000.0
XTO ENERGY INC,XTO,,868809,2008.0,Q4,2008-10-01,2008-12-31,,731000000.0,328000000.0,,6083000000.0,775000000.0,-2254000000.0,1485000000.0,775000000.0,-2254000000.0,1485000000.0,6000000.0,351000000.0,351000000.0,75000000.0,,-69000000.0,-2278000000.0,-5239000000.0,24000000.0
XTO ENERGY INC,XTO,,868809,2008.0,FY,2008-01-01,2008-12-31,2010-02-25 14:04:52+00:00,2025000000.0,1073000000.0,2612000000.0,19699000000.0,7796000000.0,-13006000000.0,5235000000.0,7796000000.0,-13006000000.0,5235000000.0,25000000.0,1912000000.0,1912000000.0,225000000.0,17000000.0,-250000000.0,-13030000000.0,-14282000000.0,24000000.0
XTO ENERGY INC,XTO,,868809,2008.0,Q3,2008-07-01,2008-09-30,,498000000.0,578000000.0,1388000000.0,6761000000.0,4163000000.0,-5847000000.0,1654000000.0,4163000000.0,-5847000000.0,1654000000.0,-30000000.0,521000000.0,521000000.0,57000000.0,,-61000000.0,-5847000000.0,-3925000000.0,
XTO ENERGY INC,XTO,,868809,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-05 13:01:14+00:00,1294000000.0,745000000.0,2612000000.0,13616000000.0,7021000000.0,-10752000000.0,3750000000.0,7021000000.0,-10752000000.0,3750000000.0,19000000.0,1561000000.0,1561000000.0,150000000.0,17000000.0,-181000000.0,-10752000000.0,-9043000000.0,0.0
XTO ENERGY INC,XTO,,868809,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-06 11:15:45+00:00,796000000.0,167000000.0,1224000000.0,6855000000.0,2858000000.0,-4905000000.0,2096000000.0,2858000000.0,-4905000000.0,2096000000.0,49000000.0,1040000000.0,1040000000.0,93000000.0,17000000.0,-120000000.0,-4905000000.0,-5118000000.0,0.0
XTO ENERGY INC,XTO,,868809,2009.0,Q4,2009-10-01,2009-12-31,,786000000.0,-644000000.0,,1684000000.0,74000000.0,-803000000.0,714000000.0,74000000.0,-803000000.0,714000000.0,-15000000.0,537000000.0,537000000.0,35000000.0,9000000.0,-72000000.0,-803000000.0,-1547000000.0,
XTO ENERGY INC,XTO,,868809,2009.0,FY,2009-01-01,2009-12-31,2010-02-25 14:04:52+00:00,3079000000.0,676000000.0,0.0,7730000000.0,-1913000000.0,-4057000000.0,5954000000.0,-1913000000.0,-4057000000.0,5954000000.0,-16000000.0,2019000000.0,2019000000.0,180000000.0,20000000.0,-287000000.0,-4060000000.0,-9376000000.0,3000000.0
XTO ENERGY INC,XTO,,868809,2009.0,Q3TTM,2008-10-01,2009-09-30,,3024000000.0,1648000000.0,,12129000000.0,-1212000000.0,-5508000000.0,6725000000.0,-1212000000.0,-5508000000.0,6725000000.0,5000000.0,1833000000.0,1833000000.0,220000000.0,11000000.0,-284000000.0,-5535000000.0,-13068000000.0,27000000.0
XTO ENERGY INC,XTO,,868809,2009.0,Q3,2009-07-01,2009-09-30,,811000000.0,-428000000.0,,1915000000.0,-87000000.0,-823000000.0,927000000.0,-87000000.0,-823000000.0,927000000.0,17000000.0,500000000.0,500000000.0,44000000.0,3000000.0,-73000000.0,-824000000.0,-1932000000.0,1000000.0
