company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,longtermdebtinterestexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,othergains,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,preferreddividends,restructuringcharge,totalinterestexpense,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2008.0,FY,2008-01-01,2008-12-31,2011-02-10 17:28:04+00:00,,1.06,,89104000.0,1.06,3374000.0,1230000.0,93956000.0,131841000.0,110301000.0,21540000.0,107588000.0,,-93956000.0,5458000.0,,325041000.0,21618000.0,,24253000.0,,93956000.0,119554000.0,325041000.0,111531000.0,231085000.0,,101178191.0,101209883.0
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2009.0,FY,2009-01-01,2009-12-31,2012-02-13 17:31:33+00:00,,1.03,,89902000.0,1.03,199000.0,677000.0,85528000.0,131127000.0,118855000.0,12272000.0,106874000.0,,-85528000.0,6443000.0,,322550000.0,20946000.0,,24253000.0,,85528000.0,117490000.0,322550000.0,119532000.0,237022000.0,,103577507.0,103581053.0
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 17:09:02+00:00,,0.26,,22680000.0,0.26,,74000.0,21374000.0,33152000.0,30957000.0,2195000.0,27089000.0,,-21374000.0,1472000.0,,81463000.0,4906000.0,,6063000.0,,21374000.0,29058000.0,81463000.0,31031000.0,60089000.0,,103470512.0,103481892.0
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 17:11:56+00:00,,0.26,,22782000.0,0.26,,308000.0,21367000.0,32560000.0,30052000.0,2508000.0,26497000.0,,-21367000.0,1786000.0,,81301000.0,5006000.0,,6063000.0,,21367000.0,29574000.0,81301000.0,30360000.0,59934000.0,,103446949.0,103450457.0
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2010.0,Q4,2010-10-01,2010-12-31,,1.01,0.29,,21372000.0,0.29,849000.0,-612000.0,25131000.0,37877000.0,27502000.0,10375000.0,31813000.0,,-25131000.0,446000.0,,80932000.0,6901000.0,657000.0,6064000.0,,25131000.0,29568000.0,81589000.0,26890000.0,56458000.0,105500000.0,105869637.0,105942721.0
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2010.0,FY,2010-01-01,2010-12-31,2013-02-14 17:38:50+00:00,1.01,1.01,,91641000.0,1.01,849000.0,,93237000.0,130784000.0,115201000.0,15583000.0,106531000.0,,-93237000.0,5805000.0,,332780000.0,26704000.0,657000.0,24253000.0,,93237000.0,124999000.0,333437000.0,115201000.0,240200000.0,105500000.0,105869637.0,105942721.0
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2010.0,Q3YTD,2010-01-01,2010-09-30,,,0.72,,70269000.0,0.72,,612000.0,68106000.0,92907000.0,87699000.0,5208000.0,74718000.0,,-68106000.0,5359000.0,,251848000.0,19803000.0,,18189000.0,,68106000.0,95431000.0,251848000.0,88311000.0,183742000.0,,103830029.0,103977023.0
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2010.0,Q3,2010-07-01,2010-09-30,2011-10-27 21:54:12+00:00,,0.25,,23941000.0,0.25,,335000.0,25135000.0,31654000.0,29515000.0,2139000.0,25591000.0,,-25135000.0,1742000.0,,86833000.0,6165000.0,,6063000.0,,25135000.0,31848000.0,86833000.0,29850000.0,61698000.0,,103830029.0,103977023.0
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2010.0,Q2YTD,2010-01-01,2010-06-30,,,0.47,,46328000.0,0.47,,277000.0,42971000.0,61253000.0,58184000.0,3069000.0,49127000.0,,-42971000.0,3617000.0,,165015000.0,13638000.0,,12126000.0,,42971000.0,63583000.0,165015000.0,58461000.0,122044000.0,,103612454.0,103765828.0
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2010.0,Q2,2010-04-01,2010-06-30,2011-07-29 21:54:00+00:00,,0.24,,23287000.0,0.24,,,21576000.0,31048000.0,28961000.0,2087000.0,24985000.0,,-21576000.0,1646000.0,,82397000.0,6927000.0,,6063000.0,,21576000.0,31860000.0,82397000.0,28961000.0,60821000.0,,103612454.0,103765828.0
