company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,goodwill,intangibleassets,longtermdebt,netpremisesandequipment,noncontrollinginterests,otherassets,otherequity,otherlongtermliabilities,othershorttermpayables,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2009.0,FY,,2009-12-31,2011-02-10 17:28:04+00:00,,10026000.0,,1629237000.0,17206000.0,,1350000000.0,2808616000.0,,78939000.0,-479018000.0,16807000.0,55371000.0,4600000.0,2914787000.0,1150219000.0,1488009000.0,1488009000.0,1426778000.0,2914787000.0,337790000.0
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2010.0,FY,,2010-12-31,2012-02-13 17:31:33+00:00,,17607000.0,0.0,2066287000.0,17206000.0,,1600000000.0,3401247000.0,,99530000.0,-557112000.0,22555000.0,66070000.0,0.0,3535590000.0,1509175000.0,1846965000.0,1846965000.0,1688625000.0,3535590000.0,337790000.0
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2010.0,Q3,,2010-09-30,2010-10-28 17:09:02+00:00,,155582000.0,,1829223000.0,17206000.0,,1600000000.0,3030083000.0,,82663000.0,-540029000.0,13750000.0,44800000.0,0.0,3285534000.0,1289194000.0,1626984000.0,1626984000.0,1658550000.0,3285534000.0,337790000.0
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2010.0,Q2,,2010-06-30,2010-07-29 17:11:56+00:00,,872000.0,,1630974000.0,17206000.0,,1600000000.0,3048323000.0,,76754000.0,-519669000.0,11755000.0,55405000.0,26900000.0,3143155000.0,1111305000.0,1449095000.0,1449095000.0,1694060000.0,3143155000.0,337790000.0
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2011.0,FY,,2011-12-31,2013-02-14 17:38:50+00:00,,4165000.0,0.0,2563048000.0,17206000.0,,1817781000.0,4157855000.0,,240163000.0,-645984000.0,29179000.0,80175000.0,237400000.0,4419389000.0,1917064000.0,2254854000.0,2254854000.0,2164535000.0,4419389000.0,337790000.0
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2011.0,Q3,,2011-09-30,2011-10-27 21:54:12+00:00,,5543000.0,0.0,2560612000.0,17206000.0,,1818150000.0,4013918000.0,,238107000.0,-622860000.0,28584000.0,55898000.0,96600000.0,4274774000.0,1937752000.0,2275542000.0,2275542000.0,1999232000.0,4274774000.0,337790000.0
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2011.0,Q2,,2011-06-30,2011-07-29 21:54:00+00:00,,155671000.0,0.0,2354676000.0,17206000.0,,1809606000.0,3626709000.0,,191467000.0,-601473000.0,18090000.0,72364000.0,0.0,3991053000.0,1753203000.0,2090993000.0,2090993000.0,1900060000.0,3991053000.0,337790000.0
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2011.0,Q1,,2011-03-31,2011-04-28 17:27:49+00:00,,129707000.0,,2351962000.0,17206000.0,,1600000000.0,3492909000.0,,130734000.0,-579604000.0,16248000.0,44160000.0,0.0,3770556000.0,1772358000.0,2110148000.0,2110148000.0,1660408000.0,3770556000.0,337790000.0
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2012.0,FY,,2012-12-31,2014-02-14 17:11:21+00:00,,5248000.0,0.0,2572092000.0,16945000.0,242125000.0,2711853000.0,5022918000.0,,142112000.0,-768661000.0,52530000.0,94171000.0,158000000.0,5429348000.0,1803431000.0,2412794000.0,2412794000.0,3016554000.0,5429348000.0,609363000.0
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2012.0,Q3,,2012-09-30,2012-10-25 17:30:46+00:00,,2794000.0,0.0,2569871000.0,17010000.0,,1883394000.0,4727578000.0,,288944000.0,-736531000.0,39499000.0,61730000.0,609000000.0,5036326000.0,1833340000.0,2442703000.0,2442703000.0,2593623000.0,5036326000.0,609363000.0
