company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2008.0,FY,2008-01-01,2008-12-31,2011-02-10 17:28:04+00:00,,,89104000.0,,1763000.0,74425000.0,0.0,,-222568000.0,-169873000.0,246155000.0,,-222568000.0,-169873000.0,246155000.0,-146286000.0,131841000.0,131841000.0,,23447000.0,111000.0,24630000.0,-193908000.0,-194503000.0,,-103196000.0,,,
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2009.0,Q4,2009-10-01,2009-12-31,,,,21926000.0,,21738000.0,,4600000.0,,-46100000.0,-41799000.0,77883000.0,,-46100000.0,-41799000.0,77883000.0,-10016000.0,35331000.0,35331000.0,,-1112000.0,4000.0,5016000.0,-50704000.0,-46815000.0,,,,,
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2009.0,FY,2009-01-01,2009-12-31,2012-02-13 17:31:33+00:00,0.0,0.0,89902000.0,,985000.0,0.0,4600000.0,,-217772000.0,-45724000.0,226707000.0,,-217772000.0,-45724000.0,226707000.0,-36789000.0,131127000.0,131127000.0,,4693000.0,-111000.0,15595000.0,-202261000.0,-61319000.0,,-20000000.0,,,
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2009.0,Q3,2009-07-01,2009-09-30,,,,22447000.0,,-15364000.0,,,,-50538000.0,-7258000.0,42015000.0,,-50538000.0,-7258000.0,42015000.0,-15781000.0,33151000.0,33151000.0,,1781000.0,66000.0,4214000.0,-50604000.0,-11472000.0,,,,,
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-28 17:09:02+00:00,,,67976000.0,,-20753000.0,0.0,0.0,,-171672000.0,-3925000.0,148824000.0,,-171672000.0,-3925000.0,148824000.0,-26773000.0,95796000.0,95796000.0,,5805000.0,-115000.0,10579000.0,-151557000.0,-14504000.0,,-20000000.0,,,
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-07-29 17:11:56+00:00,,,45529000.0,,-5389000.0,,0.0,,-121134000.0,3333000.0,106809000.0,,-121134000.0,3333000.0,106809000.0,-10992000.0,62645000.0,62645000.0,,4024000.0,-181000.0,6365000.0,-100953000.0,-3032000.0,,-20000000.0,,,
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2010.0,Q4,2010-10-01,2010-12-31,,,,24762000.0,,27572000.0,235692000.0,203500000.0,,177768000.0,-402350000.0,86607000.0,,177768000.0,-402350000.0,86607000.0,-137975000.0,37877000.0,37877000.0,,-3604000.0,30000.0,9811000.0,-53863000.0,-412161000.0,,-207591000.0,,,
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2010.0,FY,2010-01-01,2010-12-31,2012-02-13 17:31:33+00:00,0.0,0.0,94907000.0,,12655000.0,432591000.0,858331000.0,,461571000.0,-697358000.0,243368000.0,,461571000.0,-697358000.0,243368000.0,7581000.0,130784000.0,130784000.0,,5022000.0,-1707000.0,19418000.0,-206753000.0,-716776000.0,,-620891000.0,,,
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2010.0,Q3TTM,2009-10-01,2010-09-30,,,,92071000.0,,6821000.0,196899000.0,659431000.0,,237703000.0,-336807000.0,234644000.0,,237703000.0,-336807000.0,234644000.0,135540000.0,128238000.0,128238000.0,,7514000.0,-1733000.0,14623000.0,-203594000.0,-351430000.0,,-413300000.0,,,
Realty Income Corp,O,549300CUWDAUZSH43859,726728,2010.0,Q3,2010-07-01,2010-09-30,,,,23865000.0,,-10071000.0,196899000.0,70971000.0,,118783000.0,-10318000.0,46245000.0,,118783000.0,-10318000.0,46245000.0,154710000.0,31653000.0,31653000.0,,798000.0,2000.0,3654000.0,-51089000.0,-13972000.0,,-98000000.0,,,
