company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Ball Corp,BLL,0BGI85ALH27ZJP15DY16,9389,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 16:50:48+00:00,-2300000.0,249900000.0,,-28300000.0,-20000000.0,27200000.0,866100000.0,-205500000.0,-396100000.0,536600000.0,-21900000.0,91000000.0,-205500000.0,-418000000.0,627600000.0,-24200000.0,319900000.0,315300000.0,4600000.0,-8600000.0,-117500000.0,-37500000.0,,-285000000.0,-734500000.0,-326800000.0,8700000.0
Ball Corp,BLL,0BGI85ALH27ZJP15DY16,9389,2009.0,Q4,2009-09-28,2009-12-31,,-574700000.0,68800000.0,37000000.0,1800000.0,382900000.0,7500000.0,53500000.0,-199400000.0,-592600000.0,533000000.0,29100000.0,20600000.0,-199400000.0,-563500000.0,553600000.0,-207500000.0,81500000.0,79800000.0,1700000.0,1500000.0,23000000.0,-9300000.0,,-40900000.0,-236300000.0,-14800000.0,-37000000.0
Ball Corp,BLL,0BGI85ALH27ZJP15DY16,9389,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 13:39:27+00:00,-574700000.0,243100000.0,37000000.0,4100000.0,-142700000.0,31900000.0,1336700000.0,100800000.0,-587900000.0,478000000.0,6500000.0,81700000.0,100800000.0,-581400000.0,559700000.0,83200000.0,388400000.0,390600000.0,-2200000.0,-13000000.0,107700000.0,-37400000.0,,-157900000.0,-1193400000.0,-37000000.0,
Ball Corp,BLL,0BGI85ALH27ZJP15DY16,9389,2009.0,Q3,2009-06-29,2009-09-27,,,59900000.0,-37000000.0,-500000.0,-185700000.0,12100000.0,744000000.0,363000000.0,7300000.0,-15400000.0,-8100000.0,12300000.0,363000000.0,-800000.0,-3100000.0,358600000.0,103800000.0,109000000.0,-5200000.0,1400000.0,32600000.0,-9400000.0,,-25300000.0,-362800000.0,-20900000.0,37000000.0
Ball Corp,BLL,0BGI85ALH27ZJP15DY16,9389,2009.0,Q3YTD,2009-01-01,2009-09-27,2010-11-03 19:27:12+00:00,0.0,174300000.0,0.0,2300000.0,-525600000.0,24400000.0,1283200000.0,300200000.0,4700000.0,-55000000.0,-22600000.0,61100000.0,300200000.0,-17900000.0,6100000.0,290700000.0,306900000.0,310800000.0,-3900000.0,-14500000.0,84700000.0,-28100000.0,,-117000000.0,-957100000.0,-22200000.0,37000000.0
Ball Corp,BLL,0BGI85ALH27ZJP15DY16,9389,2009.0,Q2YTD,2009-01-01,2009-06-28,2010-08-04 16:58:15+00:00,0.0,114400000.0,37000000.0,2800000.0,-339900000.0,12300000.0,539200000.0,-62800000.0,-2600000.0,-39600000.0,-14500000.0,48800000.0,-62800000.0,-17100000.0,9200000.0,-67900000.0,203100000.0,201800000.0,1300000.0,-15900000.0,52100000.0,-18700000.0,,-91700000.0,-594300000.0,-1300000.0,
Ball Corp,BLL,0BGI85ALH27ZJP15DY16,9389,2010.0,Q4,2010-09-27,2010-12-31,,-2000000.0,73300000.0,-18500000.0,-1500000.0,-3100000.0,12500000.0,1042200000.0,-43000000.0,-116000000.0,144400000.0,,-600000.0,-43000000.0,-116000000.0,143800000.0,-16700000.0,97800000.0,99300000.0,-1500000.0,-25100000.0,23600000.0,-8600000.0,,-119100000.0,-887900000.0,-201200000.0,
Ball Corp,BLL,0BGI85ALH27ZJP15DY16,9389,2010.0,FY,2010-01-01,2010-12-31,2013-02-22 13:48:42+00:00,-125800000.0,265500000.0,261500000.0,-4000000.0,-262500000.0,47500000.0,2246700000.0,-459600000.0,-101000000.0,500300000.0,-9200000.0,14900000.0,-459600000.0,-110200000.0,515200000.0,-58600000.0,473700000.0,548600000.0,-74900000.0,-51300000.0,13500000.0,-35800000.0,,-250200000.0,-2163800000.0,-554200000.0,
Ball Corp,BLL,0BGI85ALH27ZJP15DY16,9389,2010.0,Q3YTD,2010-01-01,2010-09-26,2011-11-07 16:22:35+00:00,-123800000.0,192200000.0,280000000.0,-2500000.0,-259400000.0,35000000.0,1204500000.0,-416600000.0,15000000.0,355900000.0,-9200000.0,15500000.0,-416600000.0,5800000.0,371400000.0,-41900000.0,375900000.0,449300000.0,-73400000.0,-26200000.0,-10100000.0,-27200000.0,,-131100000.0,-1275900000.0,-353000000.0,
Ball Corp,BLL,0BGI85ALH27ZJP15DY16,9389,2010.0,Q3TTM,2009-09-28,2010-09-26,,-698500000.0,261000000.0,317000000.0,-700000.0,123500000.0,42500000.0,1258000000.0,-616000000.0,-577600000.0,888900000.0,19900000.0,36100000.0,-616000000.0,-557700000.0,925000000.0,-249400000.0,457400000.0,529100000.0,-71700000.0,-24700000.0,12900000.0,-36500000.0,,-172000000.0,-1512200000.0,-367800000.0,-37000000.0
