company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commonequity,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,noncurrentnotereceivables,notereceivable,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities
Patterson Companies Inc,PDCO,YM48Q2087CUE26GWEK09,891024,2010.0,FY,,2010-04-24,2011-06-29 16:09:14+00:00,193626000.0,452746000.0,86916000.0,23291000.0,340591000.0,42937000.0,,67809000.0,782083000.0,,223594000.0,525000000.0,288725000.0,169598000.0,,72164000.0,75073000.0,,51696000.0,,,,-118602000.0,38863000.0,35943000.0,,,,1493885000.0,,,2422969000.0,1441511000.0,1133758000.0,348351000.0,1441511000.0,1441511000.0,981458000.0,2422969000.0,1119613000.0,633107000.0
Patterson Companies Inc,PDCO,YM48Q2087CUE26GWEK09,891024,2011.0,FY,,2011-04-30,2012-06-27 17:20:20+00:00,210033000.0,465170000.0,100823000.0,41950000.0,388665000.0,1211000.0,,56575000.0,795616000.0,,227216000.0,525000000.0,336094000.0,189583000.0,,78239000.0,90285000.0,,40780000.0,,,,-115118000.0,31559000.0,33758000.0,,,,1632497000.0,0.0,,2564968000.0,1560540000.0,1230709000.0,367431000.0,1560540000.0,1560540000.0,1004428000.0,2564968000.0,1144676000.0,636997000.0
Patterson Companies Inc,PDCO,YM48Q2087CUE26GWEK09,891024,2011.0,Q3,,2011-01-29,2011-03-10 15:51:39+00:00,172227000.0,420778000.0,97325000.0,25268000.0,388039000.0,22573000.0,1347000.0,55811000.0,793488000.0,,230001000.0,525000000.0,323270000.0,185572000.0,,,91893000.0,,43865000.0,,,,-116968000.0,26679000.0,100319000.0,,,,1620683000.0,0.0,,2503585000.0,1551556000.0,1175952000.0,326710000.0,1551556000.0,1551556000.0,952029000.0,2503585000.0,1142061000.0,625319000.0
Patterson Companies Inc,PDCO,YM48Q2087CUE26GWEK09,891024,2011.0,Q2,,2010-10-30,2010-12-09 16:12:52+00:00,164342000.0,427276000.0,95577000.0,22529000.0,328744000.0,18633000.0,1993000.0,36166000.0,786718000.0,,233370000.0,525000000.0,306675000.0,182830000.0,,,82687000.0,122348000.0,50855000.0,122348000.0,,,-116968000.0,28544000.0,103219000.0,,,,1577208000.0,0.0,,2550047000.0,1501402000.0,1235898000.0,420426000.0,1501402000.0,1501402000.0,1048645000.0,2550047000.0,1131319000.0,628219000.0
Patterson Companies Inc,PDCO,YM48Q2087CUE26GWEK09,891024,2011.0,Q1,,2010-07-31,2010-09-09 15:56:40+00:00,180472000.0,454941000.0,105657000.0,15979000.0,298427000.0,51091000.0,15312000.0,27869000.0,804746000.0,,220007000.0,525000000.0,336382000.0,178721000.0,,,78086000.0,,44700000.0,,,,-116968000.0,31942000.0,107761000.0,,,,1535779000.0,0.0,,2447952000.0,1485881000.0,1134450000.0,329310000.0,1485881000.0,1485881000.0,962071000.0,2447952000.0,1134781000.0,632761000.0
Patterson Companies Inc,PDCO,YM48Q2087CUE26GWEK09,891024,2012.0,FY,,2012-04-28,2013-06-26 15:38:27+00:00,207915000.0,464869000.0,130347000.0,32455000.0,573781000.0,1099000.0,,66386000.0,810252000.0,,212557000.0,725000000.0,319952000.0,195465000.0,,81856000.0,92049000.0,,44911000.0,,,,-114585000.0,25532000.0,27662000.0,,,,1456233000.0,125000000.0,,2739368000.0,1375202000.0,1403513000.0,529648000.0,1375202000.0,1375202000.0,1364166000.0,2739368000.0,1140390000.0,834518000.0
Patterson Companies Inc,PDCO,YM48Q2087CUE26GWEK09,891024,2012.0,Q3,,2012-01-28,2012-03-12 16:32:01+00:00,189407000.0,428587000.0,102240000.0,25242000.0,538092000.0,1110000.0,13462000.0,55836000.0,803125000.0,,215529000.0,850000000.0,334775000.0,196598000.0,,,83930000.0,,39048000.0,,,,-115118000.0,26141000.0,103793000.0,,,,1439853000.0,,,2665825000.0,1351087000.0,1340502000.0,360945000.0,1351087000.0,1351087000.0,1314738000.0,2665825000.0,1128725000.0,953793000.0
Patterson Companies Inc,PDCO,YM48Q2087CUE26GWEK09,891024,2012.0,Q2,,2011-10-29,2011-12-08 16:25:49+00:00,186019000.0,416809000.0,107464000.0,30903000.0,250068000.0,1140000.0,3653000.0,46092000.0,798551000.0,,220569000.0,525000000.0,347348000.0,201170000.0,,,92444000.0,,44857000.0,,,,-115118000.0,25947000.0,105390000.0,,,,1487220000.0,20000000.0,,2397763000.0,1404145000.0,1059082000.0,363228000.0,1404145000.0,1404145000.0,993618000.0,2397763000.0,1137511000.0,630390000.0
Patterson Companies Inc,PDCO,YM48Q2087CUE26GWEK09,891024,2012.0,Q1,,2011-07-30,2011-09-08 16:18:37+00:00,201801000.0,423285000.0,102716000.0,39940000.0,373776000.0,1195000.0,12172000.0,33021000.0,795882000.0,,223101000.0,525000000.0,346476000.0,196243000.0,,,95078000.0,,35195000.0,,,,-115118000.0,28477000.0,108652000.0,,,,1608134000.0,,,2517513000.0,1534151000.0,1178732000.0,349710000.0,1534151000.0,1534151000.0,983362000.0,2517513000.0,1142538000.0,633652000.0
Patterson Companies Inc,PDCO,YM48Q2087CUE26GWEK09,891024,2013.0,FY,,2013-04-27,2014-06-25 12:46:39+00:00,249795000.0,448158000.0,128037000.0,25165000.0,505228000.0,1056000.0,,70687000.0,823740000.0,,196656000.0,725000000.0,360563000.0,192020000.0,,93329000.0,85427000.0,,47387000.0,,,,-95124000.0,22599000.0,20475000.0,,,,1463358000.0,,,2681778000.0,1394455000.0,1361336000.0,448519000.0,1394455000.0,1394455000.0,1287323000.0,2681778000.0,1128422000.0,838804000.0
