company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,othergains,otherincome,otheroperatingexpenses,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2007.0,FY,2008-02-01,2009-01-31,2011-03-25 17:27:12+00:00,1.11,1.11,,1.09,,256000000.0,452000000.0,447000000.0,5000000.0,452000000.0,,8692000000.0,10070000000.0,,,-15000000.0,,,602000000.0,8692000000.0,1378000000.0,78000000.0,20000000.0,602000000.0,776000000.0,-73000000.0,703000000.0,10070000000.0,395000000.0,395000000.0,395000000.0
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2008.0,Q3,2009-08-01,2009-10-31,2010-12-08 21:35:05+00:00,0.34,0.34,,0.34,,82000000.0,135000000.0,135000000.0,0.0,135000000.0,,2378000000.0,2765000000.0,,,2000000.0,,,154000000.0,2378000000.0,387000000.0,19000000.0,1000000.0,154000000.0,233000000.0,-16000000.0,217000000.0,2765000000.0,397100000.0,397100000.0,397100000.0
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2008.0,Q2,2009-05-01,2009-07-31,2010-09-02 18:01:24+00:00,,0.31,,0.31,,77000000.0,123000000.0,125000000.0,-2000000.0,123000000.0,,2369000000.0,2749000000.0,,,,,,159000000.0,2369000000.0,380000000.0,19000000.0,,159000000.0,221000000.0,-19000000.0,202000000.0,2749000000.0,,396800000.0,396800000.0
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2009.0,FY,2009-02-01,2010-01-31,2012-03-27 11:21:32+00:00,1.25,1.25,,1.23,,289000000.0,496000000.0,479000000.0,17000000.0,496000000.0,,9151000000.0,10580000000.0,,,6000000.0,593000000.0,,,9151000000.0,1429000000.0,76000000.0,,593000000.0,836000000.0,-70000000.0,766000000.0,10580000000.0,386000000.0,386000000.0,386000000.0
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2010.0,FY,2010-02-01,2011-01-31,2013-03-26 19:39:22+00:00,1.65,1.65,,1.64,,307000000.0,619000000.0,547000000.0,72000000.0,619000000.0,,9374000000.0,10798000000.0,,,2000000.0,495000000.0,,,9374000000.0,1424000000.0,79000000.0,,495000000.0,929000000.0,-77000000.0,852000000.0,10798000000.0,364000000.0,364000000.0,364000000.0
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2010.0,Q3YTD,2010-02-01,2010-10-31,,1.36,1.36,,1.36,,248000000.0,488000000.0,432000000.0,56000000.0,488000000.0,,7101000000.0,8197000000.0,,,5000000.0,124000000.0,,242000000.0,7101000000.0,1096000000.0,56000000.0,1000000.0,366000000.0,730000000.0,-50000000.0,680000000.0,8197000000.0,359000000.0,359000000.0,359000000.0
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2010.0,Q3,2010-08-01,2010-10-31,2011-12-08 17:31:12+00:00,0.47,0.47,,0.46,,89000000.0,173000000.0,151000000.0,22000000.0,173000000.0,,2445000000.0,2821000000.0,,,7000000.0,124000000.0,,,2445000000.0,376000000.0,19000000.0,,124000000.0,252000000.0,-12000000.0,240000000.0,2821000000.0,359000000.0,359000000.0,359000000.0
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2010.0,Q2YTD,2010-02-01,2010-07-31,,0.82,0.82,,0.82,,159000000.0,315000000.0,281000000.0,34000000.0,315000000.0,,4656000000.0,5376000000.0,,,-2000000.0,,,242000000.0,4656000000.0,720000000.0,37000000.0,1000000.0,242000000.0,478000000.0,-38000000.0,440000000.0,5376000000.0,363000000.0,363000000.0,363000000.0
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2010.0,Q2,2010-05-01,2010-07-31,2011-09-01 20:34:05+00:00,0.5,0.5,,0.5,,95000000.0,190000000.0,157000000.0,33000000.0,190000000.0,,2351000000.0,2749000000.0,,,-2000000.0,,,126000000.0,2351000000.0,398000000.0,19000000.0,1000000.0,126000000.0,272000000.0,-20000000.0,252000000.0,2749000000.0,363000000.0,363000000.0,363000000.0
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2010.0,Q1,2010-02-01,2010-04-30,2011-06-03 15:19:40+00:00,0.32,0.32,,0.32,,64000000.0,125000000.0,124000000.0,1000000.0,125000000.0,,2305000000.0,2627000000.0,,,,,,116000000.0,2305000000.0,322000000.0,18000000.0,,116000000.0,206000000.0,-18000000.0,188000000.0,2627000000.0,375000000.0,375000000.0,375000000.0
