company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2007.0,FY,2008-02-01,2009-01-31,2011-03-25 17:27:12+00:00,-204000000.0,,89000000.0,,-16000000.0,-17000000.0,76000000.0,,-427000000.0,-249000000.0,583000000.0,-427000000.0,-249000000.0,583000000.0,-160000000.0,452000000.0,447000000.0,5000000.0,64000000.0,56000000.0,14000000.0,-51000000.0,,,-59000000.0,-114000000.0,-445000000.0,,
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2008.0,Q3,2009-08-01,2009-10-31,,-148000000.0,,24000000.0,,2000000.0,67000000.0,12000000.0,,-42000000.0,-168000000.0,250000000.0,-42000000.0,-168000000.0,250000000.0,40000000.0,135000000.0,135000000.0,,24000000.0,2000000.0,-2000000.0,-2000000.0,,,-18000000.0,-1000000.0,-55000000.0,,
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2008.0,Q3YTD,2009-02-01,2009-10-31,2010-12-08 21:35:05+00:00,-157000000.0,,68000000.0,8000000.0,7000000.0,14000000.0,46000000.0,,-286000000.0,-187000000.0,522000000.0,-286000000.0,-187000000.0,522000000.0,55000000.0,374000000.0,377000000.0,-3000000.0,63000000.0,16000000.0,8000000.0,-1000000.0,,,-46000000.0,-17000000.0,-331000000.0,,
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2008.0,Q2YTD,2009-02-01,2009-07-31,2010-09-02 18:01:24+00:00,-9000000.0,,44000000.0,8000000.0,5000000.0,-53000000.0,34000000.0,,-244000000.0,-19000000.0,272000000.0,-244000000.0,-19000000.0,272000000.0,15000000.0,239000000.0,242000000.0,-3000000.0,39000000.0,14000000.0,10000000.0,1000000.0,,,-28000000.0,-16000000.0,-276000000.0,,
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2010.0,FY,2010-02-01,2011-01-31,2013-03-26 19:39:22+00:00,-382000000.0,,110000000.0,,,-33000000.0,38000000.0,742000000.0,187000000.0,-445000000.0,710000000.0,187000000.0,-445000000.0,710000000.0,506000000.0,619000000.0,547000000.0,72000000.0,88000000.0,11000000.0,,55000000.0,,,-73000000.0,-3000000.0,-601000000.0,,10000000.0
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2010.0,Q2,2010-05-01,2010-07-31,,,,27000000.0,,,-104000000.0,9000000.0,,-147000000.0,-10000000.0,110000000.0,-147000000.0,-10000000.0,110000000.0,36000000.0,190000000.0,157000000.0,33000000.0,30000000.0,-1000000.0,,83000000.0,,,-10000000.0,-1000000.0,-154000000.0,,
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2010.0,Q2YTD,2010-02-01,2010-07-31,2011-09-01 20:34:05+00:00,-140000000.0,,51000000.0,,-2000000.0,-130000000.0,22000000.0,,-411000000.0,-174000000.0,241000000.0,-411000000.0,-174000000.0,241000000.0,-257000000.0,315000000.0,281000000.0,34000000.0,39000000.0,13000000.0,,89000000.0,,,-35000000.0,-1000000.0,-445000000.0,,1000000.0
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2010.0,Q1,2010-02-01,2010-04-30,2011-06-03 15:19:40+00:00,-140000000.0,,24000000.0,,-2000000.0,-26000000.0,13000000.0,,-264000000.0,-164000000.0,131000000.0,-264000000.0,-164000000.0,131000000.0,-293000000.0,125000000.0,124000000.0,1000000.0,9000000.0,14000000.0,,6000000.0,,,-25000000.0,,-291000000.0,,1000000.0
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2011.0,FY,2011-02-01,2012-01-31,2014-03-27 16:12:24+00:00,-222000000.0,,88000000.0,0.0,,543000000.0,27000000.0,0.0,-447000000.0,-199000000.0,400000000.0,-447000000.0,-199000000.0,400000000.0,224000000.0,59000000.0,-235000000.0,294000000.0,4000000.0,0.0,-1000000.0,469000000.0,0.0,,-56000000.0,-3000000.0,-471000000.0,2000000.0,78000000.0
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2011.0,Q3YTD,2011-02-01,2011-10-31,2012-12-05 20:32:33+00:00,-220000000.0,,86000000.0,,,365000000.0,21000000.0,,-454000000.0,-185000000.0,627000000.0,-454000000.0,-185000000.0,627000000.0,96000000.0,220000000.0,146000000.0,74000000.0,30000000.0,,-1000000.0,108000000.0,,,-48000000.0,-5000000.0,-470000000.0,,84000000.0
