company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxliabilities,currentemployeebenefitliabilities,dividendspayable,goodwill,intangibleassets,longtermdebt,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2009.0,FY,,2010-01-31,2011-03-25 17:27:12+00:00,1191000000.0,2044000000.0,,-44000000.0,861000000.0,,2096000000.0,,512000000.0,,1434000000.0,106000000.0,1103000000.0,389000000.0,,103000000.0,,288000000.0,,,70000000.0,195000000.0,,239000000.0,3000000.0,5295000000.0,2291000000.0,3193000000.0,1706000000.0,2291000000.0,2291000000.0,3004000000.0,5295000000.0,1713000000.0,1298000000.0,0.0
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2010.0,FY,,2011-01-31,2012-03-27 11:21:32+00:00,1205000000.0,2069000000.0,,-7000000.0,1367000000.0,0.0,2090000000.0,,511000000.0,,1664000000.0,211000000.0,1849000000.0,359000000.0,,51000000.0,,382000000.0,49000000.0,29000000.0,71000000.0,135000000.0,,408000000.0,3000000.0,6223000000.0,2491000000.0,3867000000.0,1748000000.0,2491000000.0,2491000000.0,3732000000.0,6223000000.0,1997000000.0,1984000000.0,0.0
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2010.0,Q3,,2010-10-31,2010-12-08 21:35:05+00:00,1182000000.0,2203000000.0,,-37000000.0,644000000.0,,2112000000.0,4000000.0,618000000.0,,1688000000.0,216000000.0,1101000000.0,361000000.0,,36000000.0,,324000000.0,,,66000000.0,145000000.0,,410000000.0,3000000.0,5538000000.0,2485000000.0,3171000000.0,1807000000.0,2485000000.0,2485000000.0,3053000000.0,5538000000.0,2006000000.0,1246000000.0,
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2010.0,Q2,,2010-07-31,2010-09-02 18:01:24+00:00,1118000000.0,2032000000.0,,-38000000.0,604000000.0,,2077000000.0,14000000.0,484000000.0,,1548000000.0,130000000.0,1102000000.0,382000000.0,,87000000.0,,320000000.0,,,71000000.0,173000000.0,,241000000.0,3000000.0,5174000000.0,2280000000.0,2956000000.0,1619000000.0,2280000000.0,2280000000.0,2894000000.0,5174000000.0,1836000000.0,1275000000.0,
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2011.0,FY,,2012-01-31,2013-03-26 19:39:22+00:00,1961000000.0,2164000000.0,,-11000000.0,1592000000.0,0.0,2028000000.0,,504000000.0,,1800000000.0,176000000.0,1299000000.0,348000000.0,,37000000.0,,439000000.0,36000000.0,7000000.0,75000000.0,162000000.0,,164000000.0,553000000.0,6667000000.0,2181000000.0,4231000000.0,3025000000.0,2181000000.0,2181000000.0,4486000000.0,6667000000.0,2088000000.0,1461000000.0,0.0
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2011.0,Q3,,2011-10-31,2011-12-08 17:31:12+00:00,1534000000.0,2219000000.0,,-3000000.0,1463000000.0,0.0,2003000000.0,,611000000.0,,1827000000.0,186000000.0,1299000000.0,349000000.0,,34000000.0,,309000000.0,,,76000000.0,140000000.0,,326000000.0,553000000.0,6463000000.0,2326000000.0,3991000000.0,2698000000.0,2326000000.0,2326000000.0,4137000000.0,6463000000.0,2123000000.0,1439000000.0,
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2011.0,Q2,,2011-07-31,2011-09-01 20:34:05+00:00,1222000000.0,2124000000.0,,-3000000.0,1336000000.0,0.0,1989000000.0,20000000.0,453000000.0,,1674000000.0,196000000.0,1299000000.0,354000000.0,,31000000.0,,307000000.0,,,91000000.0,143000000.0,,437000000.0,553000000.0,6113000000.0,2423000000.0,3767000000.0,2248000000.0,2423000000.0,2423000000.0,3690000000.0,6113000000.0,1992000000.0,1442000000.0,
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2011.0,Q1,,2011-04-30,2011-06-03 15:19:40+00:00,1225000000.0,2150000000.0,,-7000000.0,1282000000.0,0.0,2033000000.0,33000000.0,518000000.0,,1659000000.0,200000000.0,1848000000.0,351000000.0,,44000000.0,,360000000.0,53000000.0,26000000.0,84000000.0,135000000.0,,369000000.0,3000000.0,6183000000.0,2395000000.0,3845000000.0,1805000000.0,2395000000.0,2395000000.0,3788000000.0,6183000000.0,1987000000.0,1983000000.0,
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2012.0,FY,,2013-01-31,2014-03-27 16:12:24+00:00,782000000.0,1166000000.0,,-2000000.0,735000000.0,0.0,2110000000.0,,353000000.0,,1704000000.0,178000000.0,1295000000.0,286000000.0,,12000000.0,,333000000.0,1383000000.0,657000000.0,78000000.0,170000000.0,,510000000.0,0.0,5875000000.0,2618000000.0,3617000000.0,1792000000.0,2618000000.0,2618000000.0,3257000000.0,5875000000.0,1972000000.0,1465000000.0,0.0
Leidos Holdings Inc,LDOS,549300IUTGTP6EJP8124,1336920,2012.0,Q3,,2012-10-31,2012-12-05 20:32:33+00:00,1291000000.0,1943000000.0,,-1000000.0,531000000.0,0.0,2089000000.0,41000000.0,624000000.0,,2195000000.0,214000000.0,1297000000.0,319000000.0,,,,554000000.0,34000000.0,8000000.0,76000000.0,148000000.0,,367000000.0,2000000.0,5866000000.0,2455000000.0,3062000000.0,1966000000.0,2455000000.0,2455000000.0,3411000000.0,5866000000.0,2485000000.0,1445000000.0,
