company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheroperatingexpenses,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Colgate-Palmolive Co,CL,YMEGZFW4SBUSS5BQXF88,21665,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 17:18:01+00:00,3.35,3.35,,3.2,759000000.0,1804000000.0,1804000000.0,1737000000.0,67000000.0,6043000000.0,13790000000.0,54000000.0,4973000000.0,6043000000.0,7747000000.0,157000000.0,5027000000.0,2720000000.0,-157000000.0,2563000000.0,13790000000.0,518500000.0,518500000.0,542800000.0
Colgate-Palmolive Co,CL,YMEGZFW4SBUSS5BQXF88,21665,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 15:10:51+00:00,3.81,3.81,,3.66,968000000.0,2037000000.0,2037000000.0,1957000000.0,80000000.0,6704000000.0,15330000000.0,103000000.0,5422000000.0,6704000000.0,8626000000.0,96000000.0,5525000000.0,3101000000.0,-96000000.0,3005000000.0,15330000000.0,506300000.0,506300000.0,534700000.0
Colgate-Palmolive Co,CL,YMEGZFW4SBUSS5BQXF88,21665,2008.0,Q3,2008-07-01,2008-09-30,2009-10-29 15:06:51+00:00,0.98,0.98,0.4,0.94,246000000.0,522000000.0,522000000.0,500000000.0,22000000.0,1752000000.0,3988000000.0,30000000.0,1415000000.0,1752000000.0,2236000000.0,23000000.0,1445000000.0,791000000.0,-23000000.0,768000000.0,3988000000.0,510200000.0,510200000.0,531900000.0
Colgate-Palmolive Co,CL,YMEGZFW4SBUSS5BQXF88,21665,2009.0,Q4,2009-10-01,2009-12-31,,1.25,1.25,-1.28,1.21,317000000.0,656000000.0,656000000.0,631000000.0,25000000.0,1654000000.0,4081000000.0,39000000.0,1397000000.0,1654000000.0,2427000000.0,18000000.0,1436000000.0,991000000.0,-18000000.0,973000000.0,4081000000.0,499500000.0,499500000.0,499500000.0
Colgate-Palmolive Co,CL,YMEGZFW4SBUSS5BQXF88,21665,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 12:25:08+00:00,4.53,4.53,,4.37,1141000000.0,2397000000.0,2397000000.0,2291000000.0,106000000.0,6319000000.0,15327000000.0,111000000.0,5282000000.0,6319000000.0,9008000000.0,77000000.0,5393000000.0,3615000000.0,-77000000.0,3538000000.0,15327000000.0,499500000.0,499500000.0,499500000.0
Colgate-Palmolive Co,CL,YMEGZFW4SBUSS5BQXF88,21665,2009.0,Q3YTD,2009-01-01,2009-09-30,,3.28,3.28,1.28,3.16,824000000.0,1741000000.0,1741000000.0,1660000000.0,81000000.0,4665000000.0,11246000000.0,72000000.0,3885000000.0,4665000000.0,6581000000.0,59000000.0,3957000000.0,2624000000.0,-59000000.0,2565000000.0,11246000000.0,499100000.0,499100000.0,526800000.0
Colgate-Palmolive Co,CL,YMEGZFW4SBUSS5BQXF88,21665,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 15:04:25+00:00,1.17,1.17,0.44,1.12,292000000.0,617000000.0,617000000.0,590000000.0,27000000.0,1631000000.0,3998000000.0,38000000.0,1403000000.0,1631000000.0,2367000000.0,17000000.0,1441000000.0,926000000.0,-17000000.0,909000000.0,3998000000.0,499100000.0,499100000.0,526800000.0
Colgate-Palmolive Co,CL,YMEGZFW4SBUSS5BQXF88,21665,2009.0,Q2YTD,2009-01-01,2009-06-30,,2.11,2.11,0.84,2.04,532000000.0,1124000000.0,1124000000.0,1070000000.0,54000000.0,3034000000.0,7248000000.0,34000000.0,2482000000.0,3034000000.0,4214000000.0,42000000.0,2516000000.0,1698000000.0,-42000000.0,1656000000.0,7248000000.0,500100000.0,500100000.0,500100000.0
Colgate-Palmolive Co,CL,YMEGZFW4SBUSS5BQXF88,21665,2009.0,Q2,2009-04-01,2009-06-30,2010-07-29 16:16:54+00:00,1.11,1.11,0.0,1.07,278000000.0,588000000.0,588000000.0,562000000.0,26000000.0,1544000000.0,3745000000.0,18000000.0,1296000000.0,1544000000.0,2201000000.0,21000000.0,1314000000.0,887000000.0,-21000000.0,866000000.0,3745000000.0,500100000.0,500100000.0,500100000.0
Colgate-Palmolive Co,CL,YMEGZFW4SBUSS5BQXF88,21665,2009.0,Q1,2009-01-01,2009-03-31,2010-04-29 14:19:15+00:00,1.0,1.0,0.84,0.97,254000000.0,536000000.0,536000000.0,508000000.0,28000000.0,1490000000.0,3503000000.0,16000000.0,1186000000.0,1490000000.0,2013000000.0,21000000.0,1202000000.0,811000000.0,-21000000.0,790000000.0,3503000000.0,508000000.0,508000000.0,523700000.0
