company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Royal Caribbean Cruises Ltd,RCL,,884887,2007.0,FY,2008-01-01,2008-12-31,2011-02-24 16:44:04+00:00,,,321206000.0,520353000.0,51400000.0,-5298000.0,-22820000.0,2223402000.0,1083386000.0,-1977249000.0,1071255000.0,1083386000.0,-1977249000.0,1071255000.0,172094000.0,573722000.0,573722000.0,,3817000.0,247208000.0,,-128045000.0,-52323000.0,-2223534000.0,-1015788000.0,,,
Royal Caribbean Cruises Ltd,RCL,,884887,2008.0,FY,2009-01-01,2009-12-31,2012-02-29 09:02:22+00:00,,,288458000.0,568214000.0,,-889000.0,121644000.0,2321261000.0,1312206000.0,-2274457000.0,844881000.0,1312206000.0,-2274457000.0,844881000.0,-118259000.0,152485000.0,152485000.0,2538000.0,569000.0,93847000.0,,,-181683000.0,-2477549000.0,-1009624000.0,,,290928000.0
Royal Caribbean Cruises Ltd,RCL,,884887,2008.0,Q3YTD,2009-01-01,2009-09-30,2010-10-27 16:35:53+00:00,,,205873000.0,421802000.0,,782000.0,85259000.0,996290000.0,156405000.0,-937981000.0,666129000.0,156405000.0,-937981000.0,663779000.0,-117015000.0,159068000.0,159068000.0,,290000.0,105864000.0,,,-181683000.0,-1153090000.0,-840175000.0,,,290928000.0
Royal Caribbean Cruises Ltd,RCL,,884887,2008.0,Q2,2009-04-01,2009-06-30,,,,100972000.0,137925000.0,,661000.0,126111000.0,75721000.0,-265209000.0,-110528000.0,228950000.0,-265209000.0,-110528000.0,228950000.0,-146126000.0,-35086000.0,-35086000.0,,,23196000.0,,,-29474000.0,-104250000.0,-340930000.0,,,
Royal Caribbean Cruises Ltd,RCL,,884887,2008.0,Q2YTD,2009-01-01,2009-06-30,2010-07-23 16:35:44+00:00,,,171856000.0,277781000.0,,1516000.0,136401000.0,76534000.0,-266570000.0,-170924000.0,342858000.0,-266570000.0,-170924000.0,342858000.0,-93120000.0,-71324000.0,-71324000.0,,,43420000.0,,,-181683000.0,-323589000.0,-343104000.0,,,290928000.0
Royal Caribbean Cruises Ltd,RCL,,884887,2008.0,Q1,2009-01-01,2009-03-31,2010-04-29 08:01:27+00:00,,,70884000.0,139856000.0,,855000.0,10290000.0,813000.0,-1361000.0,-60396000.0,113908000.0,-1361000.0,-60396000.0,113908000.0,53006000.0,-36238000.0,-36238000.0,,,20224000.0,,,-152209000.0,-219339000.0,-2174000.0,,,290928000.0
Royal Caribbean Cruises Ltd,RCL,,884887,2010.0,Q4,2010-10-01,2010-12-31,,,,86793000.0,163878000.0,,1123000.0,32675000.0,1339632000.0,1098278000.0,-1348514000.0,227112000.0,1098278000.0,-1348514000.0,227112000.0,-22001000.0,31900000.0,31900000.0,-1341000.0,14356000.0,-87151000.0,,,,-1261363000.0,-255710000.0,,,
Royal Caribbean Cruises Ltd,RCL,,884887,2010.0,FY,2010-01-01,2010-12-31,2013-02-25 08:01:35+00:00,,,297477000.0,643716000.0,,3249000.0,327831000.0,2421849000.0,756960000.0,-2287918000.0,1663019000.0,756960000.0,-2287918000.0,1663019000.0,135310000.0,515653000.0,515653000.0,175819000.0,26158000.0,-100729000.0,,,,-2187189000.0,-1691047000.0,,,
Royal Caribbean Cruises Ltd,RCL,,884887,2010.0,Q3,2010-07-01,2010-09-30,,,,51396000.0,162232000.0,,3236000.0,-84225000.0,400000.0,-228655000.0,-76476000.0,425005000.0,-228655000.0,-76476000.0,425005000.0,123110000.0,350179000.0,350179000.0,-3181000.0,425000.0,1809000.0,,,,-78285000.0,-229480000.0,,,
Royal Caribbean Cruises Ltd,RCL,,884887,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-10-31 07:30:59+00:00,,,210684000.0,479838000.0,,2126000.0,295156000.0,1082217000.0,-341318000.0,-939404000.0,1435907000.0,-341318000.0,-939404000.0,1435907000.0,157311000.0,483753000.0,483753000.0,177160000.0,11802000.0,-13578000.0,,,,-925826000.0,-1435337000.0,,,
Royal Caribbean Cruises Ltd,RCL,,884887,2010.0,Q2,2010-04-01,2010-06-30,,,,85351000.0,160031000.0,,-1023000.0,214577000.0,946383000.0,137962000.0,-694201000.0,597978000.0,137962000.0,-694201000.0,597978000.0,40716000.0,46127000.0,46127000.0,177243000.0,2777000.0,-13057000.0,,,,-681144000.0,-811198000.0,,,
