company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,capitalleaseobligations,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,employeebenefitassets,goodwill,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentemployeebenefitliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Teledyne Technologies Inc,TDY,549300VSMO9KYQWDND94,1094285,2009.0,FY,,2010-01-03,2011-03-03 17:11:33+00:00,96700000.0,228700000.0,164300000.0,-171800000.0,,26100000.0,,255100000.0,26200000.0,,501500000.0,109600000.0,251600000.0,164800000.0,187900000.0,900000.0,17600000.0,95500000.0,90200000.0,64500000.0,36300000.0,81000000.0,32600000.0,,583200000.0,500000.0,1421500000.0,666500000.0,568600000.0,326000000.0,666500000.0,667400000.0,754100000.0,1421500000.0,665000000.0,428100000.0,0.0,
Teledyne Technologies Inc,TDY,549300VSMO9KYQWDND94,1094285,2010.0,FY,,2011-01-02,2012-02-29 17:09:07+00:00,100600000.0,254800000.0,177300000.0,-185600000.0,,75100000.0,,267900000.0,28400000.0,,546300000.0,113900000.0,265300000.0,172300000.0,203400000.0,1000000.0,,78600000.0,75100000.0,61300000.0,46200000.0,85700000.0,42300000.0,,703700000.0,2000000.0,1557800000.0,786000000.0,648000000.0,341200000.0,786000000.0,787000000.0,770800000.0,1557800000.0,706400000.0,429600000.0,0.0,0.0
Teledyne Technologies Inc,TDY,549300VSMO9KYQWDND94,1094285,2010.0,Q3,,2010-10-03,2010-11-09 19:11:42+00:00,122500000.0,277500000.0,173100000.0,-173000000.0,,27100000.0,,264300000.0,35500000.0,,547500000.0,119900000.0,266000000.0,208500000.0,215400000.0,1000000.0,27900000.0,69500000.0,,,50000000.0,134300000.0,18600000.0,,667100000.0,3100000.0,1527900000.0,758400000.0,567200000.0,298700000.0,758400000.0,759400000.0,768500000.0,1527900000.0,745300000.0,469800000.0,0.0,
Teledyne Technologies Inc,TDY,549300VSMO9KYQWDND94,1094285,2010.0,Q2,,2010-07-04,2010-08-09 21:48:45+00:00,103600000.0,270000000.0,171800000.0,-179600000.0,,36500000.0,,262100000.0,38000000.0,,502600000.0,103400000.0,236500000.0,191300000.0,199900000.0,1000000.0,33800000.0,96500000.0,,,54300000.0,126700000.0,26200000.0,,636800000.0,600000.0,1456000000.0,719300000.0,562000000.0,276000000.0,719300000.0,720300000.0,735700000.0,1456000000.0,694100000.0,459700000.0,0.0,
Teledyne Technologies Inc,TDY,549300VSMO9KYQWDND94,1094285,2011.0,FY,,2012-01-01,2013-02-26 16:21:23+00:00,102000000.0,270000000.0,230800000.0,-241100000.0,,49400000.0,,292100000.0,35100000.0,,717800000.0,181400000.0,311400000.0,219400000.0,254600000.0,4800000.0,,79200000.0,,,69600000.0,117200000.0,28800000.0,,958900000.0,1400000.0,1826100000.0,979300000.0,602700000.0,334200000.0,979300000.0,984100000.0,842000000.0,1826100000.0,968800000.0,507800000.0,0.0,-30600000.0
Teledyne Technologies Inc,TDY,549300VSMO9KYQWDND94,1094285,2011.0,Q3,,2011-10-02,2011-11-07 16:35:45+00:00,116200000.0,281000000.0,281100000.0,-185800000.0,,37900000.0,,291200000.0,32000000.0,27200000.0,717900000.0,187300000.0,287900000.0,229800000.0,251800000.0,6000000.0,,15600000.0,0.0,0.0,61800000.0,108700000.0,17600000.0,,922000000.0,1400000.0,1844300000.0,1027400000.0,598300000.0,398700000.0,1027400000.0,1033400000.0,810900000.0,1844300000.0,994200000.0,412200000.0,0.0,
Teledyne Technologies Inc,TDY,549300VSMO9KYQWDND94,1094285,2011.0,Q2,,2011-07-03,2011-08-09 15:15:36+00:00,129600000.0,280600000.0,265100000.0,-164700000.0,,33200000.0,,284200000.0,31000000.0,28500000.0,721500000.0,197700000.0,324800000.0,230400000.0,255600000.0,6000000.0,,15800000.0,0.0,0.0,71100000.0,117100000.0,18000000.0,,888000000.0,1700000.0,1867600000.0,1007500000.0,593200000.0,396400000.0,1007500000.0,1013500000.0,854100000.0,1867600000.0,1018800000.0,457700000.0,0.0,
Teledyne Technologies Inc,TDY,549300VSMO9KYQWDND94,1094285,2011.0,Q1,,2011-04-03,2011-05-13 16:35:49+00:00,124100000.0,301100000.0,180300000.0,-173700000.0,,29900000.0,,280200000.0,26700000.0,,723000000.0,204800000.0,578600000.0,214800000.0,255300000.0,5900000.0,,43700000.0,78900000.0,62200000.0,70000000.0,104600000.0,38700000.0,,735700000.0,1600000.0,1943200000.0,842200000.0,690100000.0,368200000.0,842200000.0,848100000.0,1095100000.0,1943200000.0,997800000.0,726900000.0,0.0,
Teledyne Technologies Inc,TDY,549300VSMO9KYQWDND94,1094285,2012.0,FY,,2012-12-30,2014-02-24 21:53:32+00:00,148600000.0,350300000.0,256700000.0,-273400000.0,,45800000.0,,298200000.0,,0.0,990200000.0,265700000.0,556200000.0,281200000.0,349500000.0,55600000.0,,,,,56200000.0,239500000.0,67500000.0,,1123000000.0,2000000.0,2406400000.0,1147800000.0,744800000.0,407300000.0,1147800000.0,1203400000.0,1203000000.0,2406400000.0,1312100000.0,795700000.0,0.0,
Teledyne Technologies Inc,TDY,549300VSMO9KYQWDND94,1094285,2012.0,Q3,,2012-09-30,2012-11-06 17:15:11+00:00,152500000.0,349500000.0,239700000.0,-219300000.0,,24200000.0,,292800000.0,43300000.0,,990400000.0,277300000.0,645600000.0,287600000.0,343100000.0,55600000.0,,20200000.0,,,88200000.0,175000000.0,30400000.0,,1076800000.0,2100000.0,2434000000.0,1143300000.0,735000000.0,394300000.0,1143300000.0,1198900000.0,1235100000.0,2434000000.0,1355900000.0,840800000.0,0.0,-7000000.0
