company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,otheroperatingexpenses,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Albemarle Corp,ALB,,915913,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:10:25+00:00,2.12,2.12,0.48,2.09,-6539000.0,213008000.0,213008000.0,,194202000.0,18806000.0,1859441000.0,2467115000.0,23126000.0,601000.0,,67292000.0,64333000.0,255132000.0,1859441000.0,607674000.0,38175000.0,386757000.0,220917000.0,-37574000.0,183343000.0,2467115000.0,91600000.0,91657000.0,92741000.0
Albemarle Corp,ALB,,915913,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 11:36:14+00:00,1.95,1.95,0.5,1.94,-7028000.0,189623000.0,189623000.0,,178368000.0,11255000.0,1521532000.0,2005394000.0,22322000.0,-1423000.0,,60918000.0,24036000.0,212628000.0,1521532000.0,483862000.0,24584000.0,297582000.0,186280000.0,-26007000.0,160273000.0,2005394000.0,91500000.0,91512000.0,92046000.0
Albemarle Corp,ALB,,915913,2009.0,Q3,2009-07-01,2009-09-30,2010-10-29 10:32:19+00:00,0.57,0.57,0.125,0.57,5549000.0,57329000.0,57329000.0,,52131000.0,5198000.0,381197000.0,515276000.0,5809000.0,343000.0,,14983000.0,,56171000.0,381197000.0,134079000.0,6199000.0,71154000.0,62925000.0,-5856000.0,57069000.0,515276000.0,91500000.0,91588000.0,92174000.0
Albemarle Corp,ALB,,915913,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 09:11:13+00:00,0.42,0.42,0.125,0.42,-7749000.0,40132000.0,40132000.0,,38493000.0,1639000.0,335481000.0,445299000.0,6204000.0,1276000.0,,14953000.0,12393000.0,51481000.0,335481000.0,109818000.0,6088000.0,78827000.0,30991000.0,-4812000.0,26179000.0,445299000.0,91700000.0,91474000.0,92011000.0
Albemarle Corp,ALB,,915913,2010.0,Q4,2010-10-01,2010-12-31,,0.92,0.84,0.14,0.83,18839000.0,81397000.0,81397000.0,,77030000.0,4367000.0,412526000.0,604975000.0,8025000.0,1204000.0,,14672000.0,,79296000.0,412526000.0,192449000.0,7474000.0,93968000.0,98481000.0,-6270000.0,92211000.0,604975000.0,89200000.0,91393000.0,92184000.0
Albemarle Corp,ALB,,915913,2010.0,FY,2010-01-01,2010-12-31,2013-02-15 16:16:57+00:00,3.54,3.46,0.56,3.43,87756000.0,329417000.0,329417000.0,,315778000.0,13639000.0,1620854000.0,2362764000.0,37975000.0,2788000.0,,58394000.0,6958000.0,274615000.0,1620854000.0,741910000.0,25533000.0,339967000.0,401943000.0,-22745000.0,379198000.0,2362764000.0,89200000.0,91393000.0,92184000.0
Albemarle Corp,ALB,,915913,2010.0,Q3YTD,2010-01-01,2010-09-30,,2.62,2.62,0.42,2.6,68917000.0,248020000.0,248020000.0,,238748000.0,9272000.0,1208328000.0,1757789000.0,29950000.0,1584000.0,,43722000.0,6958000.0,195319000.0,1208328000.0,549461000.0,18059000.0,245999000.0,303462000.0,-16475000.0,286987000.0,1757789000.0,91000000.0,91312000.0,92082000.0
Albemarle Corp,ALB,,915913,2010.0,Q3,2010-07-01,2010-09-30,2011-10-25 12:05:50+00:00,1.03,1.03,0.14,1.02,27886000.0,97020000.0,97020000.0,,93689000.0,3331000.0,388213000.0,585036000.0,9179000.0,1303000.0,,14336000.0,0.0,61924000.0,388213000.0,196823000.0,6139000.0,76260000.0,120563000.0,-4836000.0,115727000.0,585036000.0,91000000.0,91312000.0,92082000.0
Albemarle Corp,ALB,,915913,2010.0,Q2YTD,2010-01-01,2010-06-30,,1.59,1.59,0.28,1.58,41031000.0,151000000.0,151000000.0,,145059000.0,5941000.0,820115000.0,1172753000.0,20771000.0,281000.0,,29386000.0,6958000.0,133395000.0,820115000.0,352638000.0,11920000.0,169739000.0,182899000.0,-11639000.0,171260000.0,1172753000.0,90800000.0,91308000.0,92111000.0
Albemarle Corp,ALB,,915913,2010.0,Q2,2010-04-01,2010-06-30,2011-07-26 12:33:08+00:00,0.9,0.9,0.14,0.89,24331000.0,86086000.0,86086000.0,,81751000.0,4335000.0,404316000.0,592483000.0,10495000.0,-729000.0,,14667000.0,0.0,66865000.0,404316000.0,188167000.0,5984000.0,81532000.0,106635000.0,-6713000.0,99922000.0,592483000.0,90800000.0,91308000.0,92111000.0
