company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Keurig Green Mountain Inc ,GMCR,,909954,2008.0,FY,2007-09-30,2008-09-27,2010-12-09 16:01:26+00:00,0.0,4812000.0,6701000.0,6087000.0,13500000.0,,,-41231000.0,5653000.0,33563000.0,44477000.0,-48311000.0,1946000.0,44351000.0,-48311000.0,1946000.0,-2014000.0,21669000.0,21669000.0,3196000.0,6168000.0,,,,0.0,-48718000.0,-907000.0,,0.0,407000.0
Keurig Green Mountain Inc ,GMCR,,909954,2009.0,Q4,2009-06-28,2009-09-26,,90000.0,1998000.0,20368000.0,5118000.0,4933000.0,,,-52592000.0,388590000.0,47500000.0,324237000.0,-69290000.0,-17236000.0,324237000.0,-69290000.0,-17236000.0,237711000.0,12932000.0,12932000.0,15493000.0,1638000.0,-119000.0,,,-50000000.0,-19271000.0,-96596000.0,-16895000.0,,10000.0
Keurig Green Mountain Inc ,GMCR,,909954,2009.0,FY,2008-09-28,2009-09-26,2011-11-14 06:54:31+00:00,-41361000.0,5859000.0,20368000.0,5118000.0,17987000.0,,,-46370000.0,394941000.0,50000000.0,342006000.0,-139616000.0,38617000.0,342006000.0,-139616000.0,38617000.0,241007000.0,54439000.0,54439000.0,6702000.0,10761000.0,-119000.0,,,-50000000.0,-48298000.0,-96801000.0,-16895000.0,,162000.0
Keurig Green Mountain Inc ,GMCR,,909954,2009.0,Q3YTD,2008-09-28,2009-06-27,2010-08-05 16:02:07+00:00,-41451000.0,3861000.0,,,13054000.0,,,6222000.0,6351000.0,2500000.0,17769000.0,-70326000.0,55853000.0,17769000.0,-70326000.0,55853000.0,3296000.0,41507000.0,41507000.0,-8791000.0,9123000.0,,,,,-29027000.0,-205000.0,,0.0,152000.0
Keurig Green Mountain Inc ,GMCR,,909954,2010.0,FY,2009-09-27,2010-09-25,2012-11-27 18:31:07+00:00,-154208000.0,15835000.0,42313000.0,6486000.0,29484000.0,,,-154517000.0,8788000.0,285000000.0,298322000.0,-533435000.0,-2297000.0,298322000.0,-533435000.0,-2297000.0,-237410000.0,79506000.0,79506000.0,27395000.0,14590000.0,-303022000.0,,,,-126205000.0,-10056000.0,,50000000.0,
Keurig Green Mountain Inc ,GMCR,,909954,2010.0,Q4,2010-06-27,2010-09-25,,305261000.0,6338000.0,42313000.0,6486000.0,9105000.0,,,-108583000.0,4661000.0,87999000.0,96719000.0,-40961000.0,-60338000.0,96719000.0,-40961000.0,-60338000.0,-4580000.0,26991000.0,26991000.0,5811000.0,8964000.0,-302362000.0,,,,-41819000.0,-4905000.0,,-1788000.0,-253000.0
Keurig Green Mountain Inc ,GMCR,,909954,2010.0,Q3TTM,2009-06-28,2010-06-26,,-459379000.0,11495000.0,20368000.0,5118000.0,25312000.0,,,-98526000.0,392717000.0,244501000.0,525840000.0,-561764000.0,40805000.0,525840000.0,-561764000.0,40805000.0,4881000.0,65447000.0,65447000.0,37077000.0,7264000.0,-779000.0,,,-50000000.0,-103657000.0,-101747000.0,-16895000.0,51788000.0,263000.0
Keurig Green Mountain Inc ,GMCR,,909954,2010.0,Q3,2010-03-28,2010-06-26,,-296761000.0,4293000.0,,,7712000.0,,,-59585000.0,574000.0,197001000.0,199083000.0,-326984000.0,-7253000.0,199083000.0,-326984000.0,-7253000.0,-135154000.0,18400000.0,18400000.0,21927000.0,1134000.0,-870000.0,,,,-31211000.0,374000.0,,1788000.0,70000.0
Keurig Green Mountain Inc ,GMCR,,909954,2010.0,Q3YTD,2009-09-27,2010-06-26,2011-08-08 16:15:58+00:00,-459469000.0,9497000.0,,,20379000.0,,0.0,-45934000.0,4127000.0,197001000.0,201603000.0,-492474000.0,58041000.0,201603000.0,-492474000.0,58041000.0,-232830000.0,52515000.0,52515000.0,21584000.0,5626000.0,-660000.0,0.0,0.0,,-84386000.0,-5151000.0,,51788000.0,253000.0
Keurig Green Mountain Inc ,GMCR,,909954,2010.0,Q2,2009-12-27,2010-03-27,,551000.0,3061000.0,,,6814000.0,,,21016000.0,3169000.0,,2270000.0,21445000.0,47228000.0,2270000.0,21445000.0,47228000.0,70943000.0,24055000.0,24055000.0,-7718000.0,3368000.0,330000.0,,,,-29474000.0,-4267000.0,,50000000.0,38000.0
