company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Linear Technology Corp,LLTC,,791907,2009.0,FY,2008-06-30,2009-06-28,2011-08-24 13:24:29+00:00,1.28,1.28,0.86,1.28,79694000.0,289207000.0,289207000.0,289207000.0,237868000.0,968498000.0,,185843000.0,3907000.0,128804000.0,237868000.0,730630000.0,66129000.0,22954000.0,318554000.0,412076000.0,-43175000.0,368901000.0,968498000.0,225900000.0,226321000.0,226387000.0
Linear Technology Corp,LLTC,,791907,2010.0,Q4,2010-03-29,2010-06-27,,0.88,0.55,0.23,0.54,43746000.0,124506000.0,124506000.0,124506000.0,79071000.0,366165000.0,,55050000.0,,37716000.0,79071000.0,287094000.0,28680000.0,2604000.0,92766000.0,194328000.0,-26076000.0,168252000.0,366165000.0,227300000.0,227723000.0,228860000.0
Linear Technology Corp,LLTC,,791907,2010.0,FY,2009-06-29,2010-06-27,2012-08-28 19:00:45+00:00,1.59,1.59,0.9,1.58,129070000.0,361341000.0,361341000.0,361341000.0,269076000.0,1169988000.0,,198957000.0,0.0,138544000.0,269076000.0,900912000.0,85814000.0,12814000.0,337501000.0,563411000.0,-73000000.0,490411000.0,1169988000.0,227300000.0,227723000.0,228860000.0
Linear Technology Corp,LLTC,,791907,2010.0,Q3YTD,2009-06-29,2010-03-28,,0.71,1.04,0.67,1.04,85324000.0,236835000.0,236835000.0,236835000.0,190005000.0,803823000.0,,143907000.0,,100828000.0,190005000.0,613818000.0,57134000.0,10210000.0,244735000.0,369083000.0,-46924000.0,322159000.0,803823000.0,228700000.0,227764000.0,229024000.0
Linear Technology Corp,LLTC,,791907,2010.0,Q3,2009-12-28,2010-03-28,2011-05-12 19:24:47+00:00,0.44,0.44,0.23,0.44,37212000.0,100612000.0,100612000.0,100612000.0,68801000.0,311324000.0,,51885000.0,,36710000.0,68801000.0,242523000.0,19100000.0,2996000.0,88595000.0,153928000.0,-16104000.0,137824000.0,311324000.0,228700000.0,227764000.0,229024000.0
Linear Technology Corp,LLTC,,791907,2010.0,Q2YTD,2009-06-29,2009-12-27,,0.27,0.6,0.44,0.6,48112000.0,136223000.0,136223000.0,136223000.0,121204000.0,492499000.0,,92022000.0,,64118000.0,121204000.0,371295000.0,38034000.0,7214000.0,156140000.0,215155000.0,-30820000.0,184335000.0,492499000.0,,227265000.0,228366000.0
Linear Technology Corp,LLTC,,791907,2010.0,Q2,2009-09-28,2009-12-27,2011-02-10 18:38:02+00:00,,0.33,0.22,0.33,24511000.0,75536000.0,75536000.0,75536000.0,61621000.0,256364000.0,,46682000.0,,32459000.0,61621000.0,194743000.0,18913000.0,3358000.0,79141000.0,115602000.0,-15555000.0,100047000.0,256364000.0,,227265000.0,228366000.0
Linear Technology Corp,LLTC,,791907,2010.0,Q1,2009-06-29,2009-09-27,2010-11-04 18:27:34+00:00,0.27,0.27,0.22,0.27,23601000.0,60687000.0,60687000.0,60687000.0,59583000.0,236135000.0,,45340000.0,,31659000.0,59583000.0,176552000.0,19121000.0,3856000.0,76999000.0,99553000.0,-15265000.0,84288000.0,236135000.0,224800000.0,226909000.0,227852000.0
Linear Technology Corp,LLTC,,791907,2011.0,Q4,2011-04-04,2011-07-03,,0.69,0.69,0.24,0.68,16610000.0,158232000.0,158232000.0,158232000.0,79011000.0,358557000.0,,55950000.0,,40958000.0,79011000.0,279546000.0,11761000.0,3965000.0,96908000.0,182638000.0,-7796000.0,174842000.0,358557000.0,230500000.0,230806000.0,232772000.0
Linear Technology Corp,LLTC,,791907,2011.0,FY,2010-06-28,2011-07-03,2013-08-16 20:04:39+00:00,2.52,2.52,0.94,2.5,143056000.0,580782000.0,580782000.0,580782000.0,324445000.0,1483962000.0,,226516000.0,0.0,165691000.0,324445000.0,1159517000.0,54176000.0,10704000.0,392207000.0,767310000.0,-43472000.0,723838000.0,1483962000.0,230500000.0,230806000.0,232772000.0
Linear Technology Corp,LLTC,,791907,2011.0,Q3YTD,2010-06-28,2011-04-03,,1.83,1.83,0.7,1.82,126446000.0,422550000.0,422550000.0,422550000.0,245434000.0,1125405000.0,,170566000.0,,124733000.0,245434000.0,879971000.0,42415000.0,6739000.0,295299000.0,584672000.0,-35676000.0,548996000.0,1125405000.0,232100000.0,231225000.0,233277000.0
Linear Technology Corp,LLTC,,791907,2011.0,Q3TTM,2010-03-29,2011-04-03,,2.71,2.38,0.93,2.36,170192000.0,547056000.0,547056000.0,547056000.0,324505000.0,1491570000.0,,225616000.0,,162449000.0,324505000.0,1167065000.0,71095000.0,9343000.0,388065000.0,779000000.0,-61752000.0,717248000.0,1491570000.0,232100000.0,231225000.0,233277000.0
Linear Technology Corp,LLTC,,791907,2011.0,Q3,2011-01-03,2011-04-03,2012-05-02 17:55:20+00:00,0.61,0.61,0.24,0.61,28993000.0,141557000.0,141557000.0,141557000.0,79100000.0,353192000.0,,55363000.0,0.0,39693000.0,79100000.0,274092000.0,11707000.0,3221000.0,95056000.0,179036000.0,-8486000.0,170550000.0,353192000.0,232100000.0,231225000.0,233277000.0
Linear Technology Corp,LLTC,,791907,2011.0,Q2YTD,2010-06-28,2011-01-02,,1.22,1.22,0.46,1.21,97453000.0,280993000.0,280993000.0,280993000.0,166334000.0,772213000.0,,115203000.0,,85040000.0,166334000.0,605879000.0,30708000.0,3518000.0,200243000.0,405636000.0,-27190000.0,378446000.0,772213000.0,231800000.0,230284000.0,232202000.0
