company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,allowanceforloanandleaselosses,aoci,cashandequivalents,commonequity,fedfundspurchased,goodwill,intangibleassets,interestbearingdeposits,loansandleases,loansheldforsale,longtermdebt,mortgageservicingrights,netloansandleases,netpremisesandequipment,noncontrollinginterests,noninterestbearingdeposits,otherassets,otherlongtermliabilities,othershorttermpayables,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2008.0,FY,,2008-12-31,2010-02-26 13:15:04+00:00,2787000000.0,98000000.0,2739000000.0,2143000000.0,287000000.0,2624000000.0,168000000.0,78613000000.0,84143000000.0,,13585000000.0,499000000.0,81356000000.0,2957000000.0,,,13690000000.0,3214000000.0,2029000000.0,5824000000.0,9959000000.0,119764000000.0,7836000000.0,12077000000.0,12077000000.0,107687000000.0,119764000000.0,4241000000.0,15731000000.0,-229000000.0
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2008.0,Q3,,2008-09-30,2009-11-06 17:09:11+00:00,2058000000.0,-60000000.0,2774000000.0,1892000000.0,2521000000.0,3592000000.0,188000000.0,77460000000.0,85498000000.0,,12947000000.0,687000000.0,83440000000.0,2839000000.0,,,7322000000.0,2122000000.0,1757000000.0,8013000000.0,8791000000.0,116294000000.0,9614000000.0,10696000000.0,10696000000.0,105598000000.0,116294000000.0,1082000000.0,15452000000.0,-231000000.0
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2008.0,Q2,,2008-06-30,2009-08-10 16:28:29+00:00,1580000000.0,-152000000.0,2853000000.0,1878000000.0,2447000000.0,3603000000.0,203000000.0,77416000000.0,85524000000.0,,15046000000.0,701000000.0,83944000000.0,2808000000.0,,,6654000000.0,3684000000.0,,8178000000.0,5628000000.0,114975000000.0,9672000000.0,10754000000.0,10754000000.0,104221000000.0,114975000000.0,1082000000.0,14209000000.0,-232000000.0
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2009.0,FY,,2009-12-31,2011-02-28 15:52:37+00:00,3749000000.0,241000000.0,2318000000.0,3522000000.0,182000000.0,2417000000.0,106000000.0,84305000000.0,76779000000.0,,10507000000.0,,73030000000.0,2899000000.0,,,11620000000.0,2701000000.0,773000000.0,6326000000.0,1415000000.0,113380000000.0,9888000000.0,13497000000.0,13497000000.0,99883000000.0,113380000000.0,3609000000.0,20990000000.0,-201000000.0
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2009.0,Q3,,2009-09-30,2009-11-06 17:09:11+00:00,3681000000.0,285000000.0,2130000000.0,3508000000.0,433000000.0,2417000000.0,119000000.0,79358000000.0,78419000000.0,,10162000000.0,626000000.0,74738000000.0,2912000000.0,,,8618000000.0,2547000000.0,878000000.0,6496000000.0,3674000000.0,110740000000.0,10089000000.0,13688000000.0,13688000000.0,97052000000.0,110740000000.0,3599000000.0,19180000000.0,-200000000.0
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2009.0,Q2,,2009-06-30,2009-08-10 16:28:29+00:00,3485000000.0,152000000.0,2899000000.0,3501000000.0,435000000.0,2417000000.0,133000000.0,80820000000.0,81429000000.0,,10102000000.0,595000000.0,77944000000.0,2914000000.0,,,7969000000.0,4125000000.0,,6663000000.0,6802000000.0,115984000000.0,10112000000.0,13700000000.0,13700000000.0,102284000000.0,115984000000.0,3588000000.0,21113000000.0,-204000000.0
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2009.0,Q1,,2009-03-31,2010-05-07 16:00:31+00:00,3070000000.0,151000000.0,2491000000.0,2136000000.0,363000000.0,2623000000.0,154000000.0,79782000000.0,82569000000.0,,12178000000.0,481000000.0,79499000000.0,2960000000.0,,,9822000000.0,2908000000.0,904000000.0,5792000000.0,11076000000.0,119313000000.0,7850000000.0,12102000000.0,12102000000.0,107211000000.0,119313000000.0,4252000000.0,21283000000.0,-229000000.0
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2010.0,Q3,,2010-09-30,2010-11-08 16:09:47+00:00,3194000000.0,432000000.0,2215000000.0,3486000000.0,368000000.0,2417000000.0,72000000.0,81362000000.0,76009000000.0,,10953000000.0,,72815000000.0,2847000000.0,,,12574000000.0,3082000000.0,869000000.0,6456000000.0,1775000000.0,112322000000.0,10242000000.0,13884000000.0,13913000000.0,98409000000.0,112322000000.0,3642000000.0,19382000000.0,-132000000.0
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2010.0,Q2,,2010-06-30,2010-08-09 10:49:35+00:00,3693000000.0,440000000.0,2216000000.0,3475000000.0,240000000.0,2417000000.0,83000000.0,82115000000.0,76232000000.0,,10989000000.0,646000000.0,72539000000.0,2863000000.0,,,12466000000.0,2703000000.0,721000000.0,6289000000.0,1556000000.0,112025000000.0,10070000000.0,13701000000.0,13701000000.0,98324000000.0,112025000000.0,3631000000.0,18795000000.0,-134000000.0
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2010.0,Q1,,2010-03-31,2010-05-07 16:00:31+00:00,3802000000.0,288000000.0,2133000000.0,3532000000.0,271000000.0,2417000000.0,94000000.0,83574000000.0,77423000000.0,,10947000000.0,725000000.0,73621000000.0,2876000000.0,,,11583000000.0,2459000000.0,633000000.0,6169000000.0,1359000000.0,112651000000.0,9788000000.0,13408000000.0,13408000000.0,99243000000.0,112651000000.0,3620000000.0,19202000000.0,-201000000.0
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2011.0,FY,,2011-12-31,2013-02-22 17:24:10+00:00,2255000000.0,470000000.0,2663000000.0,4843000000.0,346000000.0,2417000000.0,40000000.0,85710000000.0,81018000000.0,,9682000000.0,,78763000000.0,2944000000.0,50000000.0,,11325000000.0,3270000000.0,1469000000.0,7554000000.0,3239000000.0,116967000000.0,12803000000.0,13201000000.0,13251000000.0,103716000000.0,116967000000.0,398000000.0,18815000000.0,-64000000.0
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2011.0,Q2,,2011-06-30,2011-08-05 17:02:31+00:00,2614000000.0,396000000.0,2380000000.0,4820000000.0,403000000.0,2417000000.0,49000000.0,80598000000.0,77967000000.0,,10152000000.0,,75353000000.0,2887000000.0,,,10471000000.0,3282000000.0,1067000000.0,7024000000.0,2702000000.0,110805000000.0,12174000000.0,12572000000.0,12601000000.0,98204000000.0,110805000000.0,398000000.0,17248000000.0,-66000000.0
