company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,netincreaseinfedfundssold,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 13:15:04+00:00,,535000000.0,2996000000.0,367000000.0,0.0,-478000000.0,0.0,6752000000.0,0.0,6670000000.0,-6010000000.0,-705000000.0,6670000000.0,-6010000000.0,-705000000.0,-45000000.0,4326000000.0,1076000000.0,1076000000.0,,-2298000000.0,3068000000.0,,-898000000.0,628000000.0,-22135000000.0,-459000000.0,-5494000000.0,-1084000000.0,0.0,16538000000.0,46000000.0
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 15:52:37+00:00,,416000000.0,2053000000.0,8000000.0,,936000000.0,,6635000000.0,4480000000.0,2890000000.0,-5904000000.0,3093000000.0,2890000000.0,-5904000000.0,3093000000.0,79000000.0,-893000000.0,-2113000000.0,-2113000000.0,,-298000000.0,-4345000000.0,,-706000000.0,4560000000.0,-85791000000.0,-552000000.0,-2272000000.0,,-9000000.0,80405000000.0,34000000.0
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2008.0,Q4,2008-10-01,2008-12-31,,,8000000.0,473000000.0,-260000000.0,,96000000.0,,1173000000.0,3408000000.0,3063000000.0,-3008000000.0,-90000000.0,3063000000.0,-3008000000.0,-90000000.0,-35000000.0,935000000.0,-2142000000.0,-2142000000.0,,-11000000.0,-2233000000.0,,-129000000.0,2227000000.0,-24275000000.0,-228000000.0,-82000000.0,,-9000000.0,21491000000.0,4000000.0
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2008.0,Q3,2008-07-01,2008-09-30,,,110000000.0,481000000.0,96000000.0,,-740000000.0,,2663000000.0,,1012000000.0,-912000000.0,-179000000.0,1012000000.0,-912000000.0,-179000000.0,-79000000.0,43000000.0,-55000000.0,-55000000.0,,-420000000.0,77000000.0,,-111000000.0,940000000.0,-20368000000.0,-83000000.0,-1660000000.0,,,19537000000.0,2000000.0
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-06 17:09:11+00:00,,408000000.0,1580000000.0,268000000.0,0.0,840000000.0,0.0,5462000000.0,1072000000.0,-173000000.0,-2896000000.0,3183000000.0,-173000000.0,-2896000000.0,3183000000.0,114000000.0,-1828000000.0,29000000.0,29000000.0,,-287000000.0,-2112000000.0,,-577000000.0,2333000000.0,-61516000000.0,-324000000.0,-2190000000.0,,0.0,58914000000.0,30000000.0
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-10 16:28:29+00:00,,298000000.0,1099000000.0,172000000.0,0.0,1580000000.0,0.0,2799000000.0,1072000000.0,-1185000000.0,-1984000000.0,3362000000.0,-1185000000.0,-1984000000.0,3362000000.0,193000000.0,-1871000000.0,84000000.0,84000000.0,,133000000.0,-2189000000.0,,-466000000.0,1393000000.0,-41148000000.0,-241000000.0,-530000000.0,,0.0,39377000000.0,28000000.0
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2009.0,FY,2009-01-01,2009-12-31,2011-02-28 15:52:37+00:00,,109000000.0,1416000000.0,341000000.0,562000000.0,650000000.0,986000000.0,527000000.0,,-5291000000.0,1076000000.0,3794000000.0,-5291000000.0,1076000000.0,3794000000.0,-421000000.0,9550000000.0,-737000000.0,-737000000.0,,-3000000.0,-4229000000.0,9000000.0,-247000000.0,3543000000.0,-126958000000.0,-248000000.0,-11609000000.0,,-269000000.0,127691000000.0,20000000.0
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2009.0,Q4,2009-10-01,2009-12-31,,,12000000.0,289000000.0,599000000.0,,1045000000.0,,523000000.0,,2891000000.0,-4026000000.0,1323000000.0,2891000000.0,-4026000000.0,1323000000.0,188000000.0,6204000000.0,-1572000000.0,-1572000000.0,,474000000.0,-1476000000.0,9000000.0,-59000000.0,777000000.0,-28565000000.0,-91000000.0,-2266000000.0,,-35000000.0,24629000000.0,-8000000.0
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2009.0,Q3YTD,2009-01-01,2009-09-30,2009-11-06 17:09:11+00:00,,97000000.0,1127000000.0,-258000000.0,562000000.0,-395000000.0,986000000.0,4000000.0,0.0,-8182000000.0,5102000000.0,2471000000.0,-8182000000.0,5102000000.0,2471000000.0,-609000000.0,3346000000.0,835000000.0,835000000.0,,-477000000.0,-2753000000.0,,-188000000.0,2766000000.0,-98393000000.0,-157000000.0,-9343000000.0,,-234000000.0,103062000000.0,28000000.0
Fifth Third Bancorp,FITB,THRNG6BD57P9QWTQLG42,35527,2009.0,Q3TTM,2008-10-01,2009-09-30,,,105000000.0,1600000000.0,-518000000.0,562000000.0,-299000000.0,986000000.0,1177000000.0,3408000000.0,-5119000000.0,2094000000.0,2381000000.0,-5119000000.0,2094000000.0,2381000000.0,-644000000.0,4281000000.0,-1307000000.0,-1307000000.0,,-488000000.0,-4986000000.0,,-317000000.0,4993000000.0,-122668000000.0,-385000000.0,-9425000000.0,,-243000000.0,124553000000.0,32000000.0
