company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otherincome,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Jacobs Engineering Group Inc,J,549300CZ8QS1GE53O776,52988,2007.0,FY,2006-10-01,2007-09-28,2009-11-20 15:16:24+00:00,2.42,2.42,,2.35,161512000.0,287130000.0,287130000.0,,287130000.0,,7262621000.0,8473970000.0,,-5059000.0,769393000.0,7262621000.0,1211349000.0,8019000.0,19764000.0,769393000.0,441956000.0,6686000.0,448642000.0,8473970000.0,118600000.0,118600000.0,122200000.0
Jacobs Engineering Group Inc,J,549300CZ8QS1GE53O776,52988,2008.0,FY,2007-09-29,2008-09-26,2010-11-23 14:30:57+00:00,3.47,3.47,,3.38,236669000.0,421299000.0,421299000.0,,420742000.0,-557000.0,9517673000.0,11252159000.0,,3876000.0,1091427000.0,9517673000.0,1734486000.0,4414000.0,15447000.0,1091427000.0,643059000.0,14909000.0,657968000.0,11252159000.0,121083000.0,121083000.0,121083000.0
Jacobs Engineering Group Inc,J,549300CZ8QS1GE53O776,52988,2008.0,Q3,2008-04-01,2008-06-30,2009-07-29 20:34:13+00:00,0.89,0.89,,0.87,61130000.0,108677000.0,108677000.0,,108677000.0,,2467283000.0,2918927000.0,,-1436000.0,282773000.0,2467283000.0,451644000.0,987000.0,3359000.0,282773000.0,168871000.0,936000.0,169807000.0,2918927000.0,122100000.0,122100000.0,124900000.0
Jacobs Engineering Group Inc,J,549300CZ8QS1GE53O776,52988,2009.0,Q4,2009-07-01,2009-10-02,,0.65,0.65,,0.63,44616000.0,79241000.0,79241000.0,,79317000.0,-76000.0,2204570000.0,2552547000.0,,-1287000.0,225834000.0,2204570000.0,347977000.0,488000.0,3489000.0,225834000.0,122143000.0,1714000.0,123857000.0,2552547000.0,122772000.0,122772000.0,122772000.0
Jacobs Engineering Group Inc,J,549300CZ8QS1GE53O776,52988,2009.0,FY,2008-09-27,2009-10-02,2011-11-21 17:26:43+00:00,3.26,3.26,,3.21,224919000.0,399213000.0,399213000.0,,399854000.0,-641000.0,9906493000.0,11467376000.0,,-6670000.0,940310000.0,9906493000.0,1560883000.0,2916000.0,13145000.0,940310000.0,620573000.0,3559000.0,624132000.0,11467376000.0,122772000.0,122772000.0,122772000.0
Jacobs Engineering Group Inc,J,549300CZ8QS1GE53O776,52988,2009.0,Q3YTD,2008-09-27,2009-06-30,,2.61,2.61,,2.58,180303000.0,319972000.0,319972000.0,,320537000.0,-565000.0,7701923000.0,8914829000.0,,-5383000.0,714476000.0,7701923000.0,1212906000.0,2428000.0,9656000.0,714476000.0,498430000.0,1845000.0,500275000.0,8914829000.0,122953000.0,122953000.0,122953000.0
Jacobs Engineering Group Inc,J,549300CZ8QS1GE53O776,52988,2009.0,Q3,2009-04-01,2009-06-30,2010-07-30 15:18:10+00:00,0.77,0.77,,0.76,53381000.0,94686000.0,94686000.0,,94900000.0,-214000.0,2334861000.0,2706724000.0,,-670000.0,225189000.0,2334861000.0,371863000.0,402000.0,2465000.0,225189000.0,146674000.0,1393000.0,148067000.0,2706724000.0,122953000.0,122953000.0,122953000.0
Jacobs Engineering Group Inc,J,549300CZ8QS1GE53O776,52988,2009.0,Q2YTD,2008-09-27,2009-04-03,,1.84,1.84,,1.82,126922000.0,225286000.0,225286000.0,,225637000.0,-351000.0,5367062000.0,6208105000.0,,-4713000.0,489287000.0,5367062000.0,841043000.0,2026000.0,7191000.0,489287000.0,351756000.0,452000.0,352208000.0,6208105000.0,122800000.0,122800000.0,124200000.0
Jacobs Engineering Group Inc,J,549300CZ8QS1GE53O776,52988,2009.0,Q2,2009-01-01,2009-04-03,2010-04-29 16:16:56+00:00,0.89,0.89,,0.88,61457000.0,109170000.0,109170000.0,,109287000.0,-117000.0,2571828000.0,2975452000.0,,-1853000.0,232936000.0,2571828000.0,403624000.0,797000.0,2589000.0,232936000.0,170688000.0,-61000.0,170627000.0,2975452000.0,122800000.0,122800000.0,124200000.0
Jacobs Engineering Group Inc,J,549300CZ8QS1GE53O776,52988,2009.0,Q1,2008-10-01,2009-01-02,2010-01-28 15:47:23+00:00,0.95,0.95,,0.94,65465000.0,116116000.0,116116000.0,,116350000.0,-234000.0,2795234000.0,3232653000.0,,-2860000.0,256351000.0,2795234000.0,437419000.0,1229000.0,4602000.0,256351000.0,181068000.0,513000.0,181581000.0,3232653000.0,122500000.0,122500000.0,123800000.0
