company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,goodwill,intangibleassets,longtermdebt,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,prepaidexpenses,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
Jacobs Engineering Group Inc,J,549300CZ8QS1GE53O776,52988,2008.0,FY,,2008-09-26,2009-11-20 15:16:24+00:00,467888000.0,1957773000.0,825587000.0,-129270000.0,604420000.0,,753744000.0,234203000.0,142553000.0,48353000.0,924060000.0,,55675000.0,256140000.0,6178000.0,,,,,347804000.0,394241000.0,,,45488000.0,,1620673000.0,966000.0,4278238000.0,2245147000.0,2750234000.0,1576997000.0,2245147000.0,2251325000.0,2026913000.0,4278238000.0,1271864000.0,449916000.0,0.0
Jacobs Engineering Group Inc,J,549300CZ8QS1GE53O776,52988,2009.0,FY,,2009-10-02,2010-11-23 14:30:57+00:00,340651000.0,1618561000.0,679109000.0,-211515000.0,1033619000.0,,828090000.0,252149000.0,117066000.0,6497000.0,929842000.0,,737000.0,240350000.0,5562000.0,,,,,439973000.0,500501000.0,,,49203000.0,,2009338000.0,17495000.0,4428614000.0,2625913000.0,2818449000.0,1295901000.0,2625913000.0,2631475000.0,1797139000.0,4428614000.0,1369815000.0,501238000.0,0.0
Jacobs Engineering Group Inc,J,549300CZ8QS1GE53O776,52988,2009.0,Q3,,2009-06-30,2009-07-29 20:34:13+00:00,350350000.0,1650998000.0,726511000.0,-132642000.0,1059470000.0,0.0,809066000.0,265783000.0,138537000.0,49157000.0,922197000.0,,13275000.0,243431000.0,5639000.0,,,,,366848000.0,365641000.0,,,44055000.0,,1938226000.0,34530000.0,4425536000.0,2614650000.0,2893060000.0,1426331000.0,2614650000.0,2620289000.0,1805247000.0,4425536000.0,1289045000.0,378916000.0,0.0
Jacobs Engineering Group Inc,J,549300CZ8QS1GE53O776,52988,2010.0,FY,,2010-10-01,2011-11-21 17:26:43+00:00,303877000.0,1659844000.0,661278000.0,-285741000.0,938842000.0,0.0,893423000.0,194899000.0,117698000.0,0.0,1118889000.0,,509000.0,215032000.0,5880000.0,,,,,582954000.0,579027000.0,,,50658000.0,,2251366000.0,79399000.0,4683917000.0,2859048000.0,2767042000.0,1239453000.0,2859048000.0,2864928000.0,1818989000.0,4683917000.0,1701843000.0,579536000.0,0.0
Jacobs Engineering Group Inc,J,549300CZ8QS1GE53O776,52988,2010.0,Q3,,2010-07-02,2010-07-30 15:18:10+00:00,284999000.0,1661767000.0,784213000.0,-240613000.0,941680000.0,,878235000.0,203876000.0,128508000.0,,1118195000.0,,517000.0,220153000.0,5792000.0,,,,,549227000.0,475769000.0,,,41246000.0,,2174378000.0,93610000.0,4660776000.0,2812000000.0,2773201000.0,1366698000.0,2812000000.0,2817792000.0,1842984000.0,4660776000.0,1667422000.0,476286000.0,0.0
Jacobs Engineering Group Inc,J,549300CZ8QS1GE53O776,52988,2010.0,Q2,,2010-04-02,2010-04-29 16:16:56+00:00,316308000.0,1698774000.0,695803000.0,-210308000.0,839057000.0,,860107000.0,237685000.0,128444000.0,7331000.0,1125591000.0,,561000.0,223776000.0,5593000.0,,,,,591125000.0,485268000.0,,,44055000.0,,2156895000.0,95579000.0,4650822000.0,2806694000.0,2710330000.0,1352706000.0,2806694000.0,2812287000.0,1838535000.0,4650822000.0,1716716000.0,485829000.0,0.0
Jacobs Engineering Group Inc,J,549300CZ8QS1GE53O776,52988,2010.0,Q1,,2010-01-01,2010-01-28 15:47:23+00:00,338269000.0,1549760000.0,684559000.0,-206207000.0,1055038000.0,,842741000.0,276832000.0,117637000.0,37193000.0,1133309000.0,,628000.0,221575000.0,5526000.0,,,,,552780000.0,506182000.0,,,50437000.0,,2081354000.0,113459000.0,4680536000.0,2717888000.0,2772872000.0,1450312000.0,2717888000.0,2723414000.0,1957122000.0,4680536000.0,1686089000.0,506810000.0,0.0
Jacobs Engineering Group Inc,J,549300CZ8QS1GE53O776,52988,2011.0,FY,,2011-09-30,2012-11-20 17:04:40+00:00,351299000.0,2077494000.0,937291000.0,-237538000.0,905633000.0,0.0,986245000.0,276739000.0,133418000.0,37166000.0,1872768000.0,,2042000.0,284633000.0,10397000.0,,,,,861734000.0,705273000.0,,,63546000.0,0.0,2564281000.0,566031000.0,6199226000.0,3312988000.0,3180091000.0,2168526000.0,3312988000.0,3323385000.0,2875841000.0,6199226000.0,2734502000.0,707315000.0,0.0
Jacobs Engineering Group Inc,J,549300CZ8QS1GE53O776,52988,2011.0,Q3,,2011-07-01,2011-07-29 13:50:39+00:00,330335000.0,2177632000.0,934185000.0,-296276000.0,773819000.0,0.0,968101000.0,281064000.0,116894000.0,35488000.0,1744255000.0,,2455000.0,292870000.0,11335000.0,,,,,877466000.0,753869000.0,,,56381000.0,,2470018000.0,548743000.0,6039317000.0,3141843000.0,3124726000.0,2129815000.0,3141843000.0,3153178000.0,2886139000.0,6039317000.0,2621721000.0,756324000.0,0.0
Jacobs Engineering Group Inc,J,549300CZ8QS1GE53O776,52988,2011.0,Q2,,2011-04-01,2011-04-29 13:52:06+00:00,306026000.0,1984258000.0,815287000.0,-284571000.0,747911000.0,,938519000.0,290795000.0,127047000.0,19678000.0,1731661000.0,,379696000.0,234548000.0,8645000.0,,,,,737890000.0,722139000.0,,,74298000.0,,2386861000.0,54538000.0,5637613000.0,3040809000.0,2933514000.0,1486324000.0,3040809000.0,3049454000.0,2588159000.0,5637613000.0,2469551000.0,1101835000.0,0.0
