company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherrevenue,rdexpense,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Regeneron Pharmaceuticals Inc,REGN,549300RCBFWIRX3HYQ56,872589,2008.0,FY,2008-01-01,2008-12-31,2011-02-17 07:30:53+00:00,-1.0,-1.0,-1.0,2351000.0,-79129000.0,-79129000.0,-79129000.0,923000.0,238457000.0,,,,274903000.0,48880000.0,923000.0,237534000.0,8690000.0,18161000.0,323783000.0,-86249000.0,9471000.0,-76778000.0,238457000.0,78827000.0,79100000.0,79100000.0
Regeneron Pharmaceuticals Inc,REGN,549300RCBFWIRX3HYQ56,872589,2009.0,FY,2009-01-01,2009-12-31,2012-02-21 07:31:08+00:00,-0.85,-0.85,-0.85,-4122000.0,-67830000.0,-67830000.0,-67830000.0,1686000.0,379268000.0,,,,398762000.0,52923000.0,1686000.0,377582000.0,2337000.0,4488000.0,451685000.0,-74103000.0,2151000.0,-71952000.0,379268000.0,79782000.0,79800000.0,79800000.0
Regeneron Pharmaceuticals Inc,REGN,549300RCBFWIRX3HYQ56,872589,2009.0,Q3,2009-07-01,2009-09-30,2010-10-28 07:33:17+00:00,-0.01,-0.01,-0.01,0.0,,,,472000.0,117455000.0,1015000.0,,,105434000.0,12840000.0,472000.0,116983000.0,581000.0,857000.0,118274000.0,-1291000.0,1291000.0,0.0,117455000.0,79866.0,79866.0,79866.0
Regeneron Pharmaceuticals Inc,REGN,549300RCBFWIRX3HYQ56,872589,2009.0,Q2,2009-04-01,2009-06-30,2010-07-28 07:30:36+00:00,-0.19,-0.19,-0.19,0.0,,,,435000.0,90032000.0,14938000.0,,,94231000.0,11632000.0,435000.0,89597000.0,0.0,1328000.0,105863000.0,-16266000.0,16266000.0,0.0,90032000.0,79626000.0,79626000.0,79626000.0
Regeneron Pharmaceuticals Inc,REGN,549300RCBFWIRX3HYQ56,872589,2010.0,Q4,2010-10-01,2010-12-31,,-0.16,-0.16,-0.16,,-14597000.0,-14597000.0,-14597000.0,599000.0,133675000.0,,,,125212000.0,20641000.0,599000.0,133076000.0,2458000.0,638000.0,145853000.0,-12777000.0,-1820000.0,-14597000.0,133675000.0,82900000.0,82926000.0,82926000.0
Regeneron Pharmaceuticals Inc,REGN,549300RCBFWIRX3HYQ56,872589,2010.0,FY,2010-01-01,2010-12-31,2013-02-15 16:13:21+00:00,-1.26,-1.26,-1.26,0.0,-104468000.0,-104468000.0,-104468000.0,2093000.0,459074000.0,,,,489252000.0,65201000.0,2093000.0,456981000.0,9118000.0,2122000.0,554453000.0,-97472000.0,-6996000.0,-104468000.0,459074000.0,82900000.0,82926000.0,82926000.0
Regeneron Pharmaceuticals Inc,REGN,549300RCBFWIRX3HYQ56,872589,2010.0,Q3,2010-07-01,2010-09-30,2011-10-27 07:31:02+00:00,-0.41,-0.41,-0.41,0.0,-33875000.0,-33875000.0,-33875000.0,372000.0,105979000.0,,,,122043000.0,15658000.0,372000.0,105607000.0,2234000.0,453000.0,137701000.0,-32094000.0,-1781000.0,-33875000.0,105979000.0,81638000.0,82600000.0,82600000.0
Regeneron Pharmaceuticals Inc,REGN,549300RCBFWIRX3HYQ56,872589,2010.0,Q3YTD,2010-01-01,2010-09-30,,-1.1,-1.1,-1.1,,-89871000.0,-89871000.0,-89871000.0,1494000.0,325399000.0,,,,364040000.0,44560000.0,1494000.0,323905000.0,6660000.0,1484000.0,408600000.0,-84695000.0,-5176000.0,-89871000.0,325399000.0,81638000.0,82600000.0,82600000.0
Regeneron Pharmaceuticals Inc,REGN,549300RCBFWIRX3HYQ56,872589,2010.0,Q2,2010-04-01,2010-06-30,2011-07-28 07:30:53+00:00,-0.31,-0.31,-0.31,0.0,-25474000.0,-25474000.0,-25474000.0,405000.0,115886000.0,,,,124526000.0,14679000.0,405000.0,115481000.0,2342000.0,592000.0,139205000.0,-23724000.0,-1750000.0,-25474000.0,115886000.0,81492000.0,82200000.0,82200000.0
Regeneron Pharmaceuticals Inc,REGN,549300RCBFWIRX3HYQ56,872589,2010.0,Q2YTD,2010-01-01,2010-06-30,,-0.69,-0.69,-0.69,,-55996000.0,-55996000.0,-55996000.0,1122000.0,219420000.0,,,,241997000.0,28902000.0,1122000.0,218298000.0,4426000.0,1031000.0,270899000.0,-52601000.0,-3395000.0,-55996000.0,219420000.0,81492000.0,82200000.0,82200000.0
