company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
DISH Network Corp,DISH,,1001082,2007.0,FY,2007-01-01,2007-12-31,2010-03-01 07:11:37+00:00,1.69,1.69,,1329410000.0,1.68,,494099000.0,756054000.0,756054000.0,,756054000.0,0.0,7529403000.0,11090375000.0,-55804000.0,,33907000.0,624251000.0,7529403000.0,3560972000.0,405319000.0,137872000.0,1987568000.0,1573404000.0,-323251000.0,1250153000.0,11090375000.0,447400000.0,447302000.0,456834000.0
DISH Network Corp,DISH,,1001082,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 06:02:12+00:00,2.01,2.01,,1000230000.0,1.98,,665859000.0,902947000.0,902947000.0,,902947000.0,,8016742000.0,11617187000.0,-168713000.0,,,544035000.0,8016742000.0,3600445000.0,369878000.0,51217000.0,1544265000.0,2056180000.0,-487374000.0,1568806000.0,11617187000.0,449200000.0,448786000.0,460226000.0
DISH Network Corp,DISH,,1001082,2008.0,Q3,2008-07-01,2008-09-30,2009-11-09 07:25:46+00:00,0.2,0.2,,245646000.0,0.2,,134697000.0,91895000.0,91895000.0,,91895000.0,0.0,2125713000.0,2936781000.0,-106055000.0,,0.0,147582000.0,2125713000.0,811068000.0,101802000.0,16609000.0,393228000.0,417840000.0,-191248000.0,226592000.0,2936781000.0,459500000.0,449425000.0,460042000.0
DISH Network Corp,DISH,,1001082,2008.0,Q2,2008-04-01,2008-06-30,2009-08-10 06:03:00+00:00,0.75,0.75,,248247000.0,0.73,,193464000.0,335885000.0,335885000.0,,335885000.0,,1911044000.0,2914990000.0,-11500000.0,,0.0,134991000.0,1911044000.0,1003946000.0,93231000.0,13372000.0,383238000.0,620708000.0,-91359000.0,529349000.0,2914990000.0,447800000.0,449724000.0,460853000.0
DISH Network Corp,DISH,,1001082,2009.0,Q4,2009-10-01,2009-12-31,,0.4,0.4,2.0,243045000.0,0.4,,94402000.0,178806000.0,178806000.0,,178879000.0,-73000.0,2180126000.0,2962982000.0,26365000.0,,32689000.0,152177000.0,2180126000.0,782856000.0,114499000.0,6397000.0,427911000.0,354945000.0,-81737000.0,273208000.0,2962982000.0,447600000.0,446874000.0,448596000.0
DISH Network Corp,DISH,,1001082,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 06:05:20+00:00,1.42,1.42,2.0,940033000.0,1.42,,377429000.0,635403000.0,635403000.0,,635545000.0,-142000.0,8373553000.0,11664151000.0,-15707000.0,,361024000.0,602611000.0,8373553000.0,3290598000.0,388425000.0,30034000.0,1903668000.0,1386930000.0,-374098000.0,1012832000.0,11664151000.0,447600000.0,446874000.0,448596000.0
DISH Network Corp,DISH,,1001082,2009.0,Q3YTD,2009-01-01,2009-09-30,,1.02,1.02,,696988000.0,1.02,,283027000.0,456597000.0,456597000.0,,456666000.0,-69000.0,6193427000.0,8701169000.0,-42072000.0,,328335000.0,450434000.0,6193427000.0,2507742000.0,273926000.0,23637000.0,1475757000.0,1031985000.0,-292361000.0,739624000.0,8701169000.0,447600000.0,446823000.0,447431000.0
DISH Network Corp,DISH,,1001082,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 06:19:54+00:00,0.18,0.18,,228395000.0,0.18,,20989000.0,80493000.0,80493000.0,,80562000.0,-69000.0,2179511000.0,2892147000.0,-1915000.0,,131930000.0,157648000.0,2179511000.0,712636000.0,98857000.0,7591000.0,517973000.0,194663000.0,-93181000.0,101482000.0,2892147000.0,447600000.0,446823000.0,447431000.0
DISH Network Corp,DISH,,1001082,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.84,0.84,,468593000.0,0.84,,262038000.0,376104000.0,376104000.0,,376104000.0,,4013916000.0,5809022000.0,-40157000.0,,196405000.0,292786000.0,4013916000.0,1795106000.0,175069000.0,16046000.0,957784000.0,837322000.0,-199180000.0,638142000.0,5809022000.0,453000000.0,446752000.0,447421000.0
DISH Network Corp,DISH,,1001082,2009.0,Q2,2009-04-01,2009-06-30,2010-08-09 06:36:15+00:00,0.14,0.14,,245300000.0,0.14,,75135000.0,63420000.0,63420000.0,,63420000.0,,2043358000.0,2903701000.0,-44334000.0,,196405000.0,155879000.0,2043358000.0,860343000.0,91132000.0,11262000.0,597584000.0,262759000.0,-124204000.0,138555000.0,2903701000.0,453000000.0,446752000.0,447421000.0
