company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,cashinterestreceived,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
DISH Network Corp,DISH,,1001082,2007.0,FY,2007-01-01,2007-12-31,2010-03-01 07:11:37+00:00,-319928000.0,,,,1329410000.0,,456754000.0,54674000.0,0.0,-976016000.0,-2470832000.0,2616720000.0,,,,-976016000.0,-2470832000.0,2616720000.0,-830128000.0,756054000.0,756054000.0,,74502000.0,13018000.0,-94713000.0,,0.0,-3725842000.0,-1444522000.0,-1043708000.0,0.0,3114173000.0
DISH Network Corp,DISH,,1001082,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 06:02:12+00:00,,,,,1000230000.0,,91601000.0,21011000.0,750000000.0,-1411841000.0,-1597471000.0,2188344000.0,,,,-1411841000.0,-1597471000.0,2188344000.0,-820968000.0,902947000.0,902947000.0,,193566000.0,,-712826000.0,,-585147000.0,-4648931000.0,-1129890000.0,-1514972000.0,-82733000.0,4894176000.0
DISH Network Corp,DISH,,1001082,2008.0,Q4,2008-10-01,2008-12-31,,,-361737000.0,-252249000.0,-36354000.0,233970000.0,,-146920000.0,1108000.0,,-974206000.0,-262119000.0,362957000.0,,,,-974206000.0,-262119000.0,362957000.0,-873368000.0,216584000.0,216584000.0,,59323000.0,,-250000.0,,,-304612000.0,-285625000.0,-974487000.0,-827000.0,328368000.0
DISH Network Corp,DISH,,1001082,2008.0,Q3,2008-07-01,2008-09-30,,,110455000.0,63494000.0,15376000.0,245646000.0,,35811000.0,1425000.0,,-610915000.0,349474000.0,483498000.0,,,,-610915000.0,349474000.0,483498000.0,222057000.0,91895000.0,91895000.0,,110146000.0,,1895000.0,,,-2769577000.0,-315923000.0,-530434000.0,-81906000.0,3433079000.0
DISH Network Corp,DISH,,1001082,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-09 07:25:46+00:00,,361737000.0,252249000.0,36354000.0,766260000.0,,238521000.0,19903000.0,750000000.0,-437635000.0,-1335352000.0,1825387000.0,,,,-437635000.0,-1335352000.0,1825387000.0,52400000.0,686363000.0,686363000.0,,134243000.0,,-712576000.0,,-585147000.0,-4344319000.0,-844265000.0,-540485000.0,-81906000.0,4565808000.0
DISH Network Corp,DISH,,1001082,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-10 06:03:00+00:00,,251282000.0,188755000.0,20978000.0,520614000.0,,202710000.0,18478000.0,750000000.0,173280000.0,-1684826000.0,1341889000.0,,,,173280000.0,-1684826000.0,1341889000.0,-169657000.0,594468000.0,594468000.0,,24097000.0,,-714471000.0,,-585147000.0,-1574742000.0,-528342000.0,-10051000.0,0.0,1132729000.0
DISH Network Corp,DISH,,1001082,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 06:05:20+00:00,,,,,940033000.0,,580415000.0,5418000.0,1400000000.0,418283000.0,-2605556000.0,2194543000.0,,,,418283000.0,-2605556000.0,2194543000.0,7270000.0,635403000.0,635403000.0,,38692000.0,,-341000.0,,-894150000.0,-6138149000.0,-1037190000.0,-74391000.0,-18594000.0,4570124000.0
DISH Network Corp,DISH,,1001082,2009.0,Q4,2009-10-01,2009-12-31,,,-250576000.0,-252150000.0,-10511000.0,243045000.0,,-104505000.0,2850000.0,400000000.0,-517030000.0,164490000.0,302814000.0,,,,-517030000.0,164490000.0,302814000.0,-49726000.0,178806000.0,178806000.0,,-14532000.0,,-258000.0,,-894150000.0,-1975898000.0,-312874000.0,-25730000.0,,2453520000.0
DISH Network Corp,DISH,,1001082,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-05 06:19:54+00:00,,250576000.0,252150000.0,10511000.0,696988000.0,,684920000.0,2568000.0,1000000000.0,935313000.0,-2770046000.0,1891729000.0,,,,935313000.0,-2770046000.0,1891729000.0,56996000.0,456597000.0,456597000.0,,53224000.0,,-83000.0,,,-4162251000.0,-724316000.0,-48661000.0,-18594000.0,2116604000.0
DISH Network Corp,DISH,,1001082,2009.0,Q3TTM,2008-10-01,2009-09-30,,,-111161000.0,-99000.0,-25843000.0,930958000.0,,538000000.0,3676000.0,1000000000.0,-38893000.0,-3032165000.0,2254686000.0,,,,-38893000.0,-3032165000.0,2254686000.0,-816372000.0,673181000.0,673181000.0,,112547000.0,,-333000.0,,,-4466863000.0,-1009941000.0,-1023148000.0,-19421000.0,2444972000.0
