company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otherincome,otheroperatingexpenses,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2007.0,FY,2007-01-01,2007-12-31,2010-02-18 10:57:26+00:00,58000000.0,5.07,5.07,,345000000.0,5.03,383000000.0,910000000.0,932000000.0,-22000000.0,834000000.0,76000000.0,7828000000.0,12220000000.0,,,-160000000.0,24000000.0,348000000.0,0.0,2369000000.0,7828000000.0,4392000000.0,93000000.0,,2984000000.0,1408000000.0,-93000000.0,1315000000.0,12220000000.0,164500000.0,164500000.0,165800000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2008.0,FY,2008-01-01,2008-12-31,2011-02-17 10:14:47+00:00,135000000.0,3.27,3.27,2.09,428000000.0,3.25,284000000.0,624000000.0,624000000.0,,538000000.0,86000000.0,10155000000.0,15849000000.0,,,-165000000.0,4000000.0,474000000.0,163000000.0,3493000000.0,10155000000.0,5694000000.0,254000000.0,,4532000000.0,1162000000.0,-254000000.0,908000000.0,15849000000.0,164600000.0,164600000.0,164600000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2008.0,Q3,2008-07-01,2008-09-30,2009-10-26 14:12:27+00:00,34000000.0,0.71,0.71,0.52,105000000.0,0.7,65000000.0,138000000.0,138000000.0,,117000000.0,21000000.0,2701000000.0,4225000000.0,,,-62000000.0,5000000.0,114000000.0,163000000.0,900000000.0,2701000000.0,1524000000.0,62000000.0,,1259000000.0,265000000.0,-62000000.0,203000000.0,4225000000.0,164800000.0,164800000.0,167100000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2008.0,Q2,2008-04-01,2008-06-30,2009-07-27 13:51:09+00:00,37000000.0,1.52,1.52,0.52,128000000.0,1.51,116000000.0,278000000.0,278000000.0,,250000000.0,28000000.0,2829000000.0,4474000000.0,,,-47000000.0,4000000.0,118000000.0,0.0,946000000.0,2829000000.0,1645000000.0,65000000.0,,1186000000.0,459000000.0,-65000000.0,394000000.0,4474000000.0,164500000.0,164500000.0,165600000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2009.0,FY,2009-01-01,2009-12-31,2011-02-17 10:14:47+00:00,126000000.0,2.04,2.04,2.13,354000000.0,2.03,191000000.0,426000000.0,426000000.0,,336000000.0,90000000.0,7539000000.0,12239000000.0,,,-178000000.0,13000000.0,388000000.0,186000000.0,3001000000.0,7539000000.0,4700000000.0,193000000.0,,3890000000.0,810000000.0,-193000000.0,617000000.0,12239000000.0,164800000.0,164800000.0,164800000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2009.0,Q4,2009-10-01,2009-12-31,,33000000.0,0.87,0.87,0.54,90000000.0,0.86,37000000.0,163000000.0,163000000.0,,142000000.0,21000000.0,1934000000.0,3116000000.0,,,-68000000.0,3000000.0,102000000.0,,773000000.0,1934000000.0,1182000000.0,49000000.0,,933000000.0,249000000.0,-49000000.0,200000000.0,3116000000.0,164800000.0,164800000.0,164800000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2009.0,Q3,2009-07-01,2009-09-30,2009-10-26 14:12:27+00:00,32000000.0,0.96,0.96,0.53,88000000.0,0.96,90000000.0,185000000.0,185000000.0,,159000000.0,26000000.0,1989000000.0,3225000000.0,,,-56000000.0,3000000.0,95000000.0,0.0,752000000.0,1989000000.0,1236000000.0,47000000.0,,914000000.0,322000000.0,-47000000.0,275000000.0,3225000000.0,165600000.0,165600000.0,165600000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2009.0,Q3YTD,2009-01-01,2009-09-30,,93000000.0,1.17,1.17,1.59,264000000.0,1.17,154000000.0,263000000.0,263000000.0,,194000000.0,69000000.0,5605000000.0,9123000000.0,,,-110000000.0,10000000.0,286000000.0,186000000.0,2228000000.0,5605000000.0,3518000000.0,144000000.0,,2957000000.0,561000000.0,-144000000.0,417000000.0,9123000000.0,165600000.0,165600000.0,165600000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2009.0,Q2,2009-04-01,2009-06-30,2009-07-27 13:51:09+00:00,31000000.0,0.89,0.89,0.53,88000000.0,0.89,84000000.0,169000000.0,169000000.0,,146000000.0,23000000.0,1898000000.0,3115000000.0,,,-47000000.0,3000000.0,97000000.0,0.0,743000000.0,1898000000.0,1217000000.0,49000000.0,,915000000.0,302000000.0,-49000000.0,253000000.0,3115000000.0,164000000.0,164000000.0,164000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2009.0,Q2YTD,2009-01-01,2009-06-30,,61000000.0,0.21,0.21,1.06,176000000.0,0.21,64000000.0,78000000.0,78000000.0,,35000000.0,43000000.0,3616000000.0,5898000000.0,,,-54000000.0,7000000.0,191000000.0,186000000.0,1476000000.0,3616000000.0,2282000000.0,97000000.0,,2043000000.0,239000000.0,-97000000.0,142000000.0,5898000000.0,164000000.0,164000000.0,164000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2009.0,Q1,2009-01-01,2009-03-31,2010-04-26 14:04:42+00:00,30000000.0,-0.68,-0.68,0.53,88000000.0,-0.68,-20000000.0,-91000000.0,-91000000.0,,-111000000.0,20000000.0,1718000000.0,2783000000.0,,,-7000000.0,4000000.0,94000000.0,186000000.0,733000000.0,1718000000.0,1065000000.0,48000000.0,,1128000000.0,-63000000.0,-48000000.0,-111000000.0,2783000000.0,163200000.0,163200000.0,163200000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2010.0,Q4,2010-10-01,2010-12-31,,32000000.0,1.26,1.26,0.55,86000000.0,1.24,63000000.0,228000000.0,228000000.0,,205000000.0,23000000.0,2086000000.0,3379000000.0,,,-28000000.0,3000000.0,104000000.0,,787000000.0,2086000000.0,1293000000.0,52000000.0,34000000.0,984000000.0,309000000.0,-18000000.0,291000000.0,3379000000.0,164500000.0,164500000.0,164500000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2010.0,FY,2010-01-01,2010-12-31,2013-02-21 10:37:46+00:00,124000000.0,4.67,4.67,2.18,346000000.0,4.63,415000000.0,880000000.0,880000000.0,,769000000.0,111000000.0,8214000000.0,13423000000.0,,,-180000000.0,12000000.0,394000000.0,0.0,3063000000.0,8214000000.0,5209000000.0,189000000.0,34000000.0,3759000000.0,1450000000.0,-155000000.0,1295000000.0,13423000000.0,164500000.0,164500000.0,164500000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2010.0,Q3,2010-07-01,2010-09-30,2010-11-01 13:31:56+00:00,30000000.0,1.59,1.59,0.55,86000000.0,1.58,94000000.0,292000000.0,292000000.0,,262000000.0,30000000.0,2108000000.0,3460000000.0,,,-63000000.0,3000000.0,97000000.0,,767000000.0,2108000000.0,1352000000.0,46000000.0,,920000000.0,432000000.0,-46000000.0,386000000.0,3460000000.0,164200000.0,164200000.0,164200000.0
