company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accumulateddepreciation,aoci,assetretirementandlitigationobligation,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,goodwill,grossppe,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2008.0,FY,,2008-12-31,2010-02-18 10:57:26+00:00,2724000000.0,2804000000.0,5245000000.0,-1628000000.0,244000000.0,1021000000.0,,1064000000.0,515000000.0,2641000000.0,8043000000.0,1472000000.0,3009000000.0,509000000.0,1702000000.0,2798000000.0,156000000.0,,425000000.0,2322000000.0,306000000.0,583000000.0,,,930000000.0,999000000.0,8156000000.0,903000000.0,,14698000000.0,3333000000.0,6348000000.0,4210000000.0,3333000000.0,3489000000.0,11209000000.0,14698000000.0,5552000000.0,6999000000.0,-4259000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2009.0,FY,,2009-12-31,2011-02-17 10:14:47+00:00,2648000000.0,2628000000.0,5559000000.0,-1261000000.0,238000000.0,1057000000.0,,1093000000.0,485000000.0,2784000000.0,8313000000.0,1416000000.0,3074000000.0,499000000.0,1548000000.0,2754000000.0,169000000.0,,328000000.0,1954000000.0,256000000.0,657000000.0,,,806000000.0,1147000000.0,8139000000.0,272000000.0,7000000.0,14240000000.0,3753000000.0,5981000000.0,3577000000.0,3753000000.0,3922000000.0,10318000000.0,14240000000.0,5505000000.0,6741000000.0,-4218000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2009.0,Q3,,2009-09-30,2009-10-26 14:12:27+00:00,2720000000.0,2853000000.0,,-1431000000.0,234000000.0,898000000.0,,1046000000.0,,2798000000.0,,1456000000.0,3082000000.0,506000000.0,1656000000.0,2765000000.0,196000000.0,,336000000.0,2088000000.0,841000000.0,694000000.0,,,796000000.0,1226000000.0,8088000000.0,455000000.0,,14569000000.0,3538000000.0,6248000000.0,3869000000.0,3538000000.0,3734000000.0,10835000000.0,14569000000.0,5556000000.0,6966000000.0,-4165000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2009.0,Q2,,2009-06-30,2009-07-27 13:51:09+00:00,2513000000.0,2847000000.0,,-1613000000.0,231000000.0,1052000000.0,0.0,1006000000.0,,2696000000.0,,1446000000.0,3306000000.0,499000000.0,1672000000.0,2745000000.0,193000000.0,,293000000.0,2174000000.0,851000000.0,693000000.0,,,757000000.0,1091000000.0,8017000000.0,896000000.0,,14565000000.0,3175000000.0,6422000000.0,4102000000.0,3175000000.0,3368000000.0,11197000000.0,14565000000.0,5398000000.0,7095000000.0,-4235000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2010.0,FY,,2010-12-31,2012-02-16 11:47:39+00:00,3002000000.0,2778000000.0,5729000000.0,-1411000000.0,243000000.0,1341000000.0,,1209000000.0,451000000.0,2719000000.0,8415000000.0,1268000000.0,4043000000.0,550000000.0,1573000000.0,2686000000.0,195000000.0,,293000000.0,1970000000.0,278000000.0,595000000.0,,0.0,694000000.0,968000000.0,8548000000.0,28000000.0,637000000.0,14975000000.0,3638000000.0,7058000000.0,3625000000.0,3638000000.0,3833000000.0,11142000000.0,14975000000.0,5231000000.0,7517000000.0,-4708000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2010.0,Q3,,2010-09-30,2010-11-01 13:31:56+00:00,2860000000.0,2958000000.0,,-1280000000.0,240000000.0,930000000.0,,1163000000.0,,2725000000.0,,1297000000.0,3066000000.0,536000000.0,1638000000.0,2620000000.0,228000000.0,,316000000.0,1820000000.0,779000000.0,594000000.0,,,637000000.0,1053000000.0,8433000000.0,69000000.0,,14120000000.0,3874000000.0,6305000000.0,3523000000.0,3874000000.0,4102000000.0,10018000000.0,14120000000.0,5195000000.0,6495000000.0,-4442000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2010.0,Q2,,2010-06-30,2010-07-26 13:34:32+00:00,2724000000.0,2781000000.0,,-1603000000.0,236000000.0,784000000.0,,1081000000.0,,2526000000.0,,1238000000.0,3017000000.0,525000000.0,1541000000.0,2533000000.0,189000000.0,,301000000.0,1949000000.0,780000000.0,590000000.0,,,658000000.0,851000000.0,8262000000.0,59000000.0,,13366000000.0,3450000000.0,5886000000.0,3373000000.0,3450000000.0,3639000000.0,9727000000.0,13366000000.0,4947000000.0,6354000000.0,-4290000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2010.0,Q1,,2010-03-31,2010-04-26 14:04:42+00:00,2685000000.0,2809000000.0,,-1353000000.0,241000000.0,689000000.0,,1064000000.0,,2687000000.0,,1343000000.0,3051000000.0,503000000.0,1599000000.0,2660000000.0,197000000.0,,319000000.0,1930000000.0,825000000.0,621000000.0,,,641000000.0,1008000000.0,8080000000.0,112000000.0,,13756000000.0,3592000000.0,5922000000.0,3418000000.0,3592000000.0,3789000000.0,9967000000.0,13756000000.0,5174000000.0,6549000000.0,-4199000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2011.0,FY,,2011-12-31,2013-02-21 10:37:46+00:00,2996000000.0,2830000000.0,5893000000.0,-1800000000.0,241000000.0,1457000000.0,,1267000000.0,473000000.0,2660000000.0,8614000000.0,1125000000.0,3574000000.0,387000000.0,1607000000.0,2721000000.0,197000000.0,,272000000.0,2275000000.0,302000000.0,598000000.0,,0.0,795000000.0,872000000.0,9288000000.0,108000000.0,25000000.0,14382000000.0,3249000000.0,6694000000.0,3702000000.0,3249000000.0,3446000000.0,10936000000.0,14382000000.0,4967000000.0,7234000000.0,-5506000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2011.0,Q3,,2011-09-30,2011-10-31 13:33:06+00:00,3105000000.0,3088000000.0,,-1464000000.0,237000000.0,1301000000.0,0.0,1255000000.0,,2698000000.0,,1174000000.0,3590000000.0,400000000.0,1737000000.0,2669000000.0,244000000.0,,286000000.0,1828000000.0,777000000.0,581000000.0,,,662000000.0,908000000.0,9159000000.0,102000000.0,37000000.0,14543000000.0,3662000000.0,6940000000.0,3788000000.0,3662000000.0,3906000000.0,10637000000.0,14543000000.0,4934000000.0,6849000000.0,-5288000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2011.0,Q2,,2011-06-30,2011-08-01 15:26:18+00:00,3199000000.0,3345000000.0,,-1083000000.0,234000000.0,982000000.0,0.0,1243000000.0,,2871000000.0,,1280000000.0,3613000000.0,405000000.0,1821000000.0,2759000000.0,234000000.0,,305000000.0,1869000000.0,828000000.0,612000000.0,,,713000000.0,1036000000.0,8938000000.0,111000000.0,263000000.0,15267000000.0,4054000000.0,7239000000.0,3922000000.0,4054000000.0,4288000000.0,10979000000.0,15267000000.0,5269000000.0,7057000000.0,-5044000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2011.0,Q1,,2011-03-31,2011-05-02 13:50:15+00:00,3045000000.0,3126000000.0,,-1187000000.0,246000000.0,796000000.0,,1226000000.0,,2814000000.0,,1283000000.0,3993000000.0,554000000.0,1755000000.0,2696000000.0,229000000.0,,302000000.0,1834000000.0,820000000.0,608000000.0,,,672000000.0,984000000.0,8687000000.0,96000000.0,587000000.0,15103000000.0,3766000000.0,7084000000.0,3749000000.0,3766000000.0,3995000000.0,11108000000.0,15103000000.0,5323000000.0,7359000000.0,-4960000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2012.0,FY,,2012-12-31,2014-02-20 11:41:47+00:00,3061000000.0,2813000000.0,,-1666000000.0,237000000.0,1306000000.0,,1354000000.0,430000000.0,2761000000.0,,1085000000.0,3368000000.0,422000000.0,1687000000.0,2888000000.0,259000000.0,669000000.0,231000000.0,2344000000.0,392000000.0,758000000.0,,0.0,338000000.0,915000000.0,9871000000.0,642000000.0,1087000000.0,15878000000.0,4063000000.0,7715000000.0,4461000000.0,4063000000.0,4322000000.0,11556000000.0,15878000000.0,5275000000.0,7095000000.0,-5496000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2012.0,Q3,,2012-09-30,2012-10-29 13:37:25+00:00,3105000000.0,3190000000.0,,-1704000000.0,234000000.0,1392000000.0,0.0,1335000000.0,,2706000000.0,,1066000000.0,3365000000.0,424000000.0,1777000000.0,2759000000.0,271000000.0,,263000000.0,2218000000.0,799000000.0,749000000.0,,,874000000.0,904000000.0,9734000000.0,636000000.0,619000000.0,15606000000.0,3861000000.0,7777000000.0,4490000000.0,3861000000.0,4132000000.0,11474000000.0,15606000000.0,5070000000.0,6984000000.0,-5504000000.0
