company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2007.0,FY,2007-01-01,2007-12-31,2010-02-18 10:57:26+00:00,-233000000.0,,,403000000.0,0.0,11000000.0,-344000000.0,194000000.0,1852000000.0,1216000000.0,-2245000000.0,1062000000.0,0.0,38000000.0,1000000.0,1216000000.0,-2207000000.0,1063000000.0,83000000.0,910000000.0,932000000.0,-22000000.0,71000000.0,0.0,-1716000000.0,-402000000.0,0.0,-364000000.0,-154000000.0,-274000000.0,,68000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2008.0,FY,2008-01-01,2008-12-31,2011-02-17 10:14:47+00:00,-1673000000.0,,,563000000.0,225000000.0,-10000000.0,-41000000.0,13000000.0,3010000000.0,-1057000000.0,125000000.0,1437000000.0,,,,-1057000000.0,125000000.0,1437000000.0,495000000.0,624000000.0,624000000.0,,291000000.0,40000000.0,1703000000.0,-422000000.0,,-383000000.0,-3691000000.0,-7000000.0,208000000.0,45000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2008.0,Q3,2008-07-01,2008-09-30,,-46000000.0,,,,225000000.0,-21000000.0,,5000000.0,53000000.0,-258000000.0,63000000.0,,,,,-258000000.0,63000000.0,466000000.0,250000000.0,,,,,,-30000000.0,-100000000.0,,-89000000.0,-216000000.0,,,3000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-26 14:12:27+00:00,-1630000000.0,,,,225000000.0,-1000000.0,,13000000.0,3028000000.0,-936000000.0,59000000.0,,,,,-936000000.0,59000000.0,868000000.0,-10000000.0,,,,,40000000.0,1667000000.0,-314000000.0,0.0,-235000000.0,-3697000000.0,-6000000.0,,32000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-07-27 13:51:09+00:00,-1584000000.0,,,,,20000000.0,,8000000.0,2975000000.0,-678000000.0,-4000000.0,,,,,-678000000.0,-4000000.0,402000000.0,-260000000.0,,,,,40000000.0,1697000000.0,-214000000.0,0.0,-146000000.0,-3481000000.0,-6000000.0,,29000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2009.0,FY,2009-01-01,2009-12-31,2011-02-17 10:14:47+00:00,-26000000.0,,,480000000.0,,17000000.0,223000000.0,12000000.0,430000000.0,-1123000000.0,-203000000.0,1345000000.0,,,,-1123000000.0,-203000000.0,1345000000.0,36000000.0,426000000.0,426000000.0,,216000000.0,,22000000.0,-430000000.0,-3000000.0,-239000000.0,-1076000000.0,-59000000.0,,43000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-01 13:31:56+00:00,-24000000.0,,,,,16000000.0,,,415000000.0,-761000000.0,-138000000.0,,,,,-761000000.0,-138000000.0,760000000.0,-123000000.0,,,,,,19000000.0,-291000000.0,-3000000.0,-152000000.0,-885000000.0,,,22000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2009.0,Q3,2009-07-01,2009-09-30,,-3000000.0,,,,,22000000.0,,,-6000000.0,-824000000.0,-6000000.0,,,,,-824000000.0,-6000000.0,654000000.0,-154000000.0,,,,,,,-107000000.0,41000000.0,-49000000.0,-711000000.0,,,5000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-07-26 13:34:32+00:00,-21000000.0,,,,,-6000000.0,,,421000000.0,63000000.0,-132000000.0,,,,,63000000.0,-132000000.0,106000000.0,31000000.0,,,,,,19000000.0,-184000000.0,-44000000.0,-103000000.0,-174000000.0,,,17000000.0
PPG Industries Inc,PPG,549300BKPEP01R3V6C59,79879,2009.0,Q2,2009-04-01,2009-06-30,,-10000000.0,,,,,25000000.0,,,394000000.0,143000000.0,-44000000.0,,,,,143000000.0,-44000000.0,397000000.0,521000000.0,,,,,,2000000.0,-97000000.0,,-52000000.0,-154000000.0,,,16000000.0
