company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,othergains,otherincome,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
International Paper Co,IP,824LMFJDH41EY779Q875,51434,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 17:17:49+00:00,2.72,2.72,,1086000000.0,2.7,0.0,415000000.0,1192000000.0,1239000000.0,-47000000.0,1168000000.0,24000000.0,17094000000.0,21890000000.0,169000000.0,0.0,327000000.0,-9000000.0,95000000.0,1831000000.0,17263000000.0,4627000000.0,297000000.0,3003000000.0,1624000000.0,30000000.0,1654000000.0,21890000000.0,429400000.0,429400000.0,432600000.0
International Paper Co,IP,824LMFJDH41EY779Q875,51434,2008.0,FY,2008-01-01,2008-12-31,2010-02-25 17:17:49+00:00,-3.05,-3.05,,1347000000.0,-3.05,1777000000.0,162000000.0,-1279000000.0,-1266000000.0,-13000000.0,-1282000000.0,3000000.0,20028000000.0,24829000000.0,182000000.0,49000000.0,-106000000.0,-267000000.0,370000000.0,1947000000.0,20210000000.0,4619000000.0,492000000.0,5174000000.0,-555000000.0,-598000000.0,-1153000000.0,24829000000.0,420300000.0,420300000.0,420300000.0
International Paper Co,IP,824LMFJDH41EY779Q875,51434,2008.0,Q3,2008-07-01,2008-09-30,2009-11-06 12:23:05+00:00,,0.35,0.25,374000000.0,0.35,107000000.0,118000000.0,152000000.0,152000000.0,0.0,149000000.0,3000000.0,5530000000.0,7069000000.0,48000000.0,5000000.0,,-3000000.0,97000000.0,507000000.0,5578000000.0,1491000000.0,144000000.0,1082000000.0,409000000.0,-144000000.0,265000000.0,7069000000.0,,425700000.0,423400000.0
International Paper Co,IP,824LMFJDH41EY779Q875,51434,2009.0,Q4,2009-10-01,2009-12-31,,0.08,-0.24,0.03,384000000.0,-0.25,-48000000.0,-321000000.0,-97000000.0,-97000000.0,,-101000000.0,4000000.0,4268000000.0,5977000000.0,43000000.0,10000000.0,-59000000.0,,1040000000.0,496000000.0,4311000000.0,1666000000.0,163000000.0,1872000000.0,-206000000.0,-222000000.0,-428000000.0,5977000000.0,425300000.0,425300000.0,425300000.0
International Paper Co,IP,824LMFJDH41EY779Q875,51434,2009.0,FY,2009-01-01,2009-12-31,2011-02-25 13:01:02+00:00,1.56,1.56,0.325,1472000000.0,1.55,0.0,469000000.0,681000000.0,681000000.0,0.0,663000000.0,18000000.0,16395000000.0,23366000000.0,188000000.0,-49000000.0,-59000000.0,0.0,1353000000.0,2031000000.0,16583000000.0,6783000000.0,669000000.0,4856000000.0,1927000000.0,-728000000.0,1199000000.0,23366000000.0,425300000.0,425300000.0,425300000.0
International Paper Co,IP,824LMFJDH41EY779Q875,51434,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 15:14:48+00:00,0.87,0.87,0.025,378000000.0,0.87,,212000000.0,377000000.0,377000000.0,,371000000.0,6000000.0,4057000000.0,5919000000.0,48000000.0,0.0,0.0,,151000000.0,527000000.0,4105000000.0,1814000000.0,169000000.0,1056000000.0,758000000.0,-169000000.0,589000000.0,5919000000.0,426100000.0,426100000.0,428700000.0
International Paper Co,IP,824LMFJDH41EY779Q875,51434,2009.0,Q3YTD,2009-01-01,2009-09-30,,1.48,1.8,0.3,1088000000.0,1.8,48000000.0,790000000.0,778000000.0,778000000.0,,764000000.0,14000000.0,12127000000.0,17389000000.0,145000000.0,-59000000.0,,,313000000.0,1535000000.0,12272000000.0,5117000000.0,506000000.0,2984000000.0,2133000000.0,-506000000.0,1627000000.0,17389000000.0,426100000.0,426100000.0,428700000.0
International Paper Co,IP,824LMFJDH41EY779Q875,51434,2009.0,Q2,2009-04-01,2009-06-30,2009-08-10 14:13:23+00:00,,0.32,0.025,367000000.0,0.32,48000000.0,348000000.0,140000000.0,140000000.0,0.0,136000000.0,4000000.0,4060000000.0,5802000000.0,47000000.0,-32000000.0,0.0,0.0,79000000.0,508000000.0,4107000000.0,1695000000.0,173000000.0,1002000000.0,693000000.0,-173000000.0,520000000.0,5802000000.0,,425000000.0,425400000.0
International Paper Co,IP,824LMFJDH41EY779Q875,51434,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.61,0.93,0.28,710000000.0,0.93,48000000.0,578000000.0,401000000.0,401000000.0,,393000000.0,8000000.0,8070000000.0,11470000000.0,97000000.0,-59000000.0,,,162000000.0,1008000000.0,8167000000.0,3303000000.0,337000000.0,1928000000.0,1375000000.0,-337000000.0,1038000000.0,11470000000.0,,425000000.0,425400000.0
International Paper Co,IP,824LMFJDH41EY779Q875,51434,2009.0,Q1,2009-01-01,2009-03-31,2010-05-07 14:47:38+00:00,0.61,0.61,0.25,343000000.0,0.61,,230000000.0,261000000.0,261000000.0,,257000000.0,4000000.0,4010000000.0,5668000000.0,50000000.0,-27000000.0,,,83000000.0,500000000.0,4060000000.0,1608000000.0,164000000.0,926000000.0,682000000.0,-164000000.0,518000000.0,5668000000.0,421300000.0,421300000.0,423100000.0
