company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,longtermdebt,netinventory,netppe,noncurrentdeferredtaxassets,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
MOLEX INC,MOLX,,67472,2010.0,FY,,2010-06-30,2011-08-05 11:06:05+00:00,395474000.0,734932000.0,262346000.0,200770000.0,376352000.0,,638796000.0,112531000.0,21505000.0,96403000.0,131910000.0,183434000.0,469369000.0,1055144000.0,94191000.0,135448000.0,64129000.0,26898000.0,11207000.0,179512000.0,19869000.0,2232445000.0,110070000.0,18508000.0,3236578000.0,1985131000.0,1775821000.0,912696000.0,1985131000.0,1985131000.0,1251447000.0,3236578000.0,405613000.0,338751000.0,-1098087000.0
MOLEX INC,MOLX,,67472,2011.0,FY,,2011-06-30,2012-08-09 13:41:52+00:00,359812000.0,811449000.0,295126000.0,380443000.0,532599000.0,0.0,674494000.0,129158000.0,2383000.0,90913000.0,149452000.0,222794000.0,535953000.0,1168448000.0,38178000.0,100866000.0,32239000.0,14049000.0,,186429000.0,23879000.0,2408083000.0,119764000.0,13947000.0,3597852000.0,2356981000.0,2055345000.0,882047000.0,2368266000.0,2368266000.0,1229586000.0,3597852000.0,374059000.0,347539000.0,-1106039000.0
MOLEX INC,MOLX,,67472,2011.0,Q3,,2011-03-31,2011-05-03 17:00:46+00:00,353188000.0,780761000.0,393148000.0,329047000.0,447796000.0,,677209000.0,115278000.0,20906000.0,,148422000.0,202549000.0,546080000.0,1139918000.0,81767000.0,130033000.0,36978000.0,,,189571000.0,22244000.0,2365875000.0,116724000.0,20400000.0,3506971000.0,2268179000.0,1947293000.0,883966000.0,2268179000.0,2268179000.0,1238792000.0,3506971000.0,419760000.0,354826000.0,-1103952000.0
MOLEX INC,MOLX,,67472,2011.0,Q2,,2010-12-31,2011-01-27 16:03:43+00:00,377592000.0,759814000.0,387341000.0,299395000.0,392390000.0,,665553000.0,114944000.0,18842000.0,,134218000.0,198639000.0,559637000.0,1129141000.0,85222000.0,129420000.0,55713000.0,,,180731000.0,19103000.0,2328374000.0,107668000.0,18239000.0,3430049000.0,2191444000.0,1900737000.0,891443000.0,2191444000.0,2191444000.0,1238605000.0,3430049000.0,400171000.0,347162000.0,-1101878000.0
MOLEX INC,MOLX,,67472,2011.0,Q1,,2010-09-30,2010-10-29 14:02:47+00:00,385271000.0,790101000.0,389675000.0,271074000.0,340644000.0,,656176000.0,113455000.0,37374000.0,,132848000.0,171907000.0,546808000.0,1111292000.0,90318000.0,140889000.0,41963000.0,,,181831000.0,18672000.0,2280685000.0,116200000.0,18261000.0,3367521000.0,2107533000.0,1851232000.0,928520000.0,2107533000.0,2107533000.0,1259988000.0,3367521000.0,404997000.0,331468000.0,-1100402000.0
MOLEX INC,MOLX,,67472,2012.0,FY,,2012-06-30,2013-08-08 12:50:03+00:00,355491000.0,751279000.0,306808000.0,286395000.0,637417000.0,0.0,711394000.0,110789000.0,35360000.0,89404000.0,160986000.0,150032000.0,531825000.0,1150549000.0,50038000.0,115176000.0,33098000.0,,,170692000.0,18174000.0,2539931000.0,104933000.0,14830000.0,3611503000.0,2424764000.0,2079238000.0,891996000.0,2436125000.0,2436125000.0,1175378000.0,3611503000.0,381716000.0,283382000.0,-1112956000.0
MOLEX INC,MOLX,,67472,2012.0,Q3,,2012-03-31,2012-04-26 08:58:09+00:00,314999000.0,724141000.0,387453000.0,329556000.0,608809000.0,0.0,715132000.0,125807000.0,49737000.0,,161143000.0,155128000.0,546909000.0,1126467000.0,41434000.0,91284000.0,39454000.0,,,175795000.0,20870000.0,2511045000.0,100976000.0,13654000.0,3563613000.0,2443166000.0,2058774000.0,853165000.0,2443166000.0,2443166000.0,1120447000.0,3563613000.0,378372000.0,267282000.0,-1112567000.0
MOLEX INC,MOLX,,67472,2012.0,Q2,,2011-12-31,2012-01-26 11:04:50+00:00,317103000.0,708197000.0,403834000.0,309552000.0,607336000.0,0.0,701891000.0,130759000.0,27672000.0,,166409000.0,196671000.0,552264000.0,1135735000.0,37273000.0,93056000.0,39084000.0,,,181831000.0,20538000.0,2482317000.0,127631000.0,11230000.0,3570118000.0,2383613000.0,2048870000.0,876240000.0,2383613000.0,2383613000.0,1186505000.0,3570118000.0,385513000.0,310265000.0,-1110147000.0
MOLEX INC,MOLX,,67472,2012.0,Q1,,2011-09-30,2011-10-27 12:54:46+00:00,349657000.0,782833000.0,414803000.0,320595000.0,557376000.0,0.0,692171000.0,131819000.0,32349000.0,,148349000.0,176925000.0,547209000.0,1144023000.0,39404000.0,96232000.0,40917000.0,,,177498000.0,22253000.0,2453482000.0,129781000.0,11150000.0,3580578000.0,2358578000.0,2071304000.0,926590000.0,2358578000.0,2358578000.0,1222000000.0,3580578000.0,365251000.0,295410000.0,-1107670000.0
MOLEX INC,MOLX,,67472,2013.0,FY,,2013-06-30,2013-10-24 15:22:50+00:00,347700000.0,703434000.0,127652000.0,253248000.0,711561000.0,0.0,765405000.0,54163000.0,15966000.0,113433000.0,191053000.0,310000000.0,531810000.0,1114092000.0,52543000.0,76275000.0,32538000.0,,,185282000.0,18382000.0,2623868000.0,54283000.0,10378000.0,3586854000.0,2523163000.0,2043884000.0,659034000.0,2523163000.0,2523163000.0,1063691000.0,3586854000.0,428878000.0,404657000.0,-1119358000.0
MOLEX INC,MOLX,,67472,2013.0,Q3,,2013-03-31,2013-04-25 16:09:40+00:00,301536000.0,657447000.0,225592000.0,277936000.0,702786000.0,0.0,753442000.0,57229000.0,0.0,,191551000.0,315000000.0,544633000.0,1135637000.0,49095000.0,92020000.0,30015000.0,,,183288000.0,17381000.0,2609443000.0,88725000.0,10145000.0,3561826000.0,2521572000.0,2002255000.0,615853000.0,2521572000.0,2521572000.0,1040254000.0,3561826000.0,423934000.0,424401000.0,-1119249000.0
MOLEX INC,MOLX,,67472,2013.0,Q2,,2012-12-31,2013-01-24 13:20:19+00:00,344997000.0,745851000.0,370749000.0,317888000.0,705047000.0,0.0,742526000.0,101398000.0,40876000.0,,195030000.0,230000000.0,566889000.0,1177342000.0,48063000.0,95424000.0,33109000.0,,,180130000.0,19700000.0,2603761000.0,115869000.0,11738000.0,3764597000.0,2546982000.0,2164032000.0,872491000.0,2546982000.0,2546982000.0,1217615000.0,3764597000.0,423223000.0,345124000.0,-1117193000.0
MOLEX INC,MOLX,,67472,2013.0,Q1,,2012-09-30,2012-10-25 14:22:00+00:00,412429000.0,770976000.0,417138000.0,319528000.0,685972000.0,0.0,730572000.0,109101000.0,49828000.0,,161163000.0,150000000.0,564377000.0,1178875000.0,52653000.0,113847000.0,38341000.0,,,168309000.0,19321000.0,2572359000.0,75074000.0,16111000.0,3745878000.0,2508241000.0,2184878000.0,954469000.0,2508241000.0,2508241000.0,1237637000.0,3745878000.0,382125000.0,283168000.0,-1114218000.0
MOLEX INC,MOLX,,67472,2014.0,Q1,,2013-09-30,2013-10-24 15:22:50+00:00,354565000.0,736983000.0,144866000.0,276271000.0,665156000.0,0.0,770525000.0,54100000.0,20833000.0,123729000.0,231050000.0,315000000.0,580481000.0,1128494000.0,51735000.0,74431000.0,39901000.0,,,187034000.0,20702000.0,2665101000.0,42458000.0,11083000.0,3686017000.0,2589433000.0,2087704000.0,686451000.0,2589433000.0,2589433000.0,1096584000.0,3686017000.0,469819000.0,410133000.0,-1122464000.0
